date,status,trades,gap_events,long_trades,short_trades,reverse_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-11,FLAT,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,100000.00,0,0,0.00,0.00,0.0000,
2021-05-12,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,100000.00,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-13,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,100000.00,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-14,TRADED,4,0,2,2,4,0,0,1,3,0,3716.95,929.24,5890.75,-1324.84,6188.79,1547.20,10496.23,-2612.48,106188.79,1,3,2173.80,4307.44,3.8983,
2021-05-15,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,106188.79,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-16,TRADED,2,0,1,1,2,0,0,1,1,0,-1153.64,-576.82,87.11,-1240.75,-2340.35,-1170.17,176.38,-2516.73,103848.44,1,1,1240.75,2516.73,2.3661,
2021-05-17,TRADED,2,0,1,1,2,0,0,1,1,0,784.57,392.29,2919.25,-2134.68,1345.25,672.62,6074.27,-4729.02,105193.69,1,1,2134.68,4729.02,4.3021,
2021-05-18,TRADED,2,0,1,1,2,0,0,0,2,0,-1516.97,-758.49,-246.52,-1270.45,-3510.95,-1755.47,-556.78,-2954.17,101682.74,0,2,1516.97,3510.95,3.3376,
2021-05-19,TRADED,1,0,0,1,1,0,0,1,0,0,4852.49,4852.49,4852.49,4852.49,11021.06,11021.06,11021.06,11021.06,112703.80,1,0,0.00,0.00,0.0000,
2021-05-20,TRADED,3,0,2,1,3,0,0,1,2,0,-4360.42,-1453.47,475.30,-2706.77,-11544.78,-3848.26,1195.59,-7306.15,101159.01,1,2,4835.72,12740.38,11.3043,
2021-05-21,TRADED,4,0,2,2,4,0,0,0,4,0,-8643.23,-2160.81,-1290.40,-4320.01,-21118.67,-5279.67,-3232.62,-10483.31,80040.33,0,4,8643.23,21118.68,20.8767,
2021-05-22,TRADED,4,0,2,2,4,0,0,0,4,0,-4168.68,-1042.17,-320.29,-2199.44,-11313.26,-2828.32,-831.43,-6055.17,68727.08,0,4,4168.68,11313.25,14.1344,
2021-05-23,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,68727.08,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-24,TRADED,1,0,0,1,1,0,0,1,0,0,3443.82,3443.82,3443.82,3443.82,9014.65,9014.65,9014.65,9014.65,77741.72,1,0,0.00,0.00,0.0000,
2021-05-25,TRADED,2,0,1,1,2,0,0,2,0,0,4227.46,2113.73,3638.52,588.94,12001.76,6000.88,10467.95,1533.81,89743.48,2,0,0.00,0.00,0.0000,
2021-05-26,TRADED,1,0,1,0,1,0,0,1,0,0,1363.43,1363.43,1363.43,1363.43,3606.17,3606.17,3606.17,3606.17,93349.65,1,0,0.00,0.00,0.0000,
2021-05-27,TRADED,2,0,1,1,2,0,0,0,2,0,-818.61,-409.31,-218.97,-599.64,-2081.29,-1040.64,-559.00,-1522.29,91268.36,0,2,818.61,2081.29,2.2296,
2021-05-28,TRADED,2,0,1,1,2,0,0,2,0,0,2912.33,1456.16,2778.07,134.26,7534.44,3767.22,7161.63,372.81,98802.81,2,0,0.00,0.00,0.0000,
2021-05-29,TRADED,2,0,1,1,2,0,0,0,2,0,-1409.74,-704.87,-257.90,-1151.84,-3877.42,-1938.71,-713.47,-3163.95,94925.38,0,2,1409.74,3877.43,3.9244,
2021-05-30,TRADED,3,0,1,2,3,0,0,2,1,0,1892.04,630.68,1476.80,-335.56,5477.35,1825.78,4280.27,-932.65,100402.74,2,1,335.56,932.65,0.9204,
2021-05-31,TRADED,3,0,2,1,3,0,0,1,2,0,-3256.12,-1085.37,148.40,-1920.41,-9196.54,-3065.51,403.80,-5513.55,91206.20,1,2,3404.52,9600.34,9.5618,
2021-06-01,TRADED,2,0,1,1,2,0,0,0,2,0,-735.33,-367.67,-355.54,-379.79,-1982.97,-991.49,-953.72,-1029.25,89223.22,0,2,735.33,1982.98,2.1742,
2021-06-02,TRADED,1,0,0,1,1,0,0,1,0,0,578.52,578.52,578.52,578.52,1566.80,1566.80,1566.80,1566.80,90790.02,1,0,0.00,0.00,0.0000,
