period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,reverse_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,21,4,1,0,38,0,19,19,38,0,0,8,8,0,-2134.32,-133.40,-8793.79,-549.61,91206.20,2021-05-25,4227.46,12001.76,2021-05-21,-8643.23,-21118.67,3,3,17172.33,43976.72,39.0197
2021-06,30,0,0,0,73,0,36,37,73,0,0,11,19,0,-1420.75,-47.36,-2730.65,-91.02,88475.57,2021-06-14,4227.11,11751.83,2021-06-16,-2300.56,-5696.29,3,5,4509.63,11336.31,12.4293
2021-07,31,1,0,0,78,0,39,39,78,0,0,17,13,0,1129.94,37.66,1770.76,59.03,90246.34,2021-07-26,3083.88,9167.76,2021-07-09,-2297.24,-7025.06,6,3,5539.62,17255.46,18.4185
2021-08,31,2,0,0,71,0,36,35,71,0,0,13,16,0,-965.13,-33.28,-1019.20,-35.14,89227.12,2021-08-14,4086.26,9035.53,2021-08-31,-2474.35,-5173.26,4,6,9560.56,19631.65,18.0341
2021-09,30,3,0,0,61,0,30,31,61,0,0,17,10,0,13069.25,484.05,27447.08,1016.56,116674.18,2021-09-21,3196.37,6558.22,2021-09-26,-1980.79,-4694.32,5,2,1980.79,4694.33,4.0645
2021-10,31,3,0,0,72,0,36,36,72,0,0,11,17,0,-8154.03,-291.22,-13501.09,-482.18,103173.13,2021-10-28,5176.41,8539.93,2021-10-08,-3214.86,-5927.44,2,6,14570.29,25405.01,20.9378
2021-11,30,0,0,0,73,1,37,36,72,1,0,11,19,0,-6415.22,-213.84,-11661.37,-388.71,91511.75,2021-11-27,4661.13,7937.13,2021-11-22,-4155.58,-7068.12,3,5,10270.67,17786.12,16.3125
2021-12,31,1,0,0,62,0,31,31,62,0,0,11,19,0,469.58,15.65,-42.97,-1.43,91468.77,2021-12-04,7424.11,13391.39,2021-12-15,-2787.17,-5861.21,2,6,8123.61,16943.91,16.6916
2022-01,31,3,0,0,77,0,38,39,77,0,0,7,21,0,-3044.77,-108.74,-9297.26,-332.05,82171.50,2022-01-23,5424.70,13195.60,2022-01-24,-1671.88,-4708.05,3,9,7024.94,17869.82,18.1874
2022-02,28,1,0,0,74,0,37,37,74,0,0,11,16,0,-3683.43,-136.42,-5773.77,-213.84,76397.75,2022-02-05,4181.07,11691.32,2022-02-08,-3420.82,-7669.08,3,4,9611.60,22199.37,23.9768
