trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_short_ma,entry_long_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_short_ma,exit_long_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2021-05-14,2021-05-12,2021-05-14,2021-05-12 10:30:00+00:00,2021-05-12 10:45:00+00:00,SHORT,56122.54,57050.68,57084.20,2021-05-14 01:15:00+00:00,2021-05-14 01:30:00+00:00,50231.79,reverse_signal,49477.35,49429.19,5890.75,1.78181529,100000.00,89503.77,10496.23,10.4962,10496.23,110496.23,2,25-SMA crossed above 50-SMA.
T00002,2021-05-14,2021-05-14,2021-05-14,2021-05-14 01:15:00+00:00,2021-05-14 01:30:00+00:00,LONG,50231.79,49477.35,49429.19,2021-05-14 07:45:00+00:00,2021-05-14 08:00:00+00:00,50047.39,reverse_signal,49509.97,49520.07,-184.40,1.99077118,100000.00,99632.90,-367.10,-0.3671,10129.13,110129.13,0,25-SMA crossed below 50-SMA.
T00003,2021-05-14,2021-05-14,2021-05-14,2021-05-14 07:45:00+00:00,2021-05-14 08:00:00+00:00,SHORT,50047.39,49509.97,49520.07,2021-05-14 09:15:00+00:00,2021-05-14 09:30:00+00:00,50711.95,reverse_signal,49696.40,49679.69,-664.56,1.99810619,100000.00,101327.86,-1327.86,-1.3279,8801.27,108801.27,0,25-SMA crossed above 50-SMA.
T00004,2021-05-14,2021-05-14,2021-05-14,2021-05-14 09:15:00+00:00,2021-05-14 09:30:00+00:00,LONG,50711.95,49696.40,49679.69,2021-05-14 21:00:00+00:00,2021-05-14 21:15:00+00:00,49387.11,reverse_signal,50560.28,50596.29,-1324.84,1.97192181,100000.00,97387.52,-2612.48,-2.6125,6188.79,106188.79,0,25-SMA crossed below 50-SMA.
T00005,2021-05-16,2021-05-14,2021-05-16,2021-05-14 21:00:00+00:00,2021-05-14 21:15:00+00:00,SHORT,49387.11,50560.28,50596.29,2021-05-16 06:00:00+00:00,2021-05-16 06:15:00+00:00,49300.00,reverse_signal,48041.65,47999.00,87.11,2.02481984,100000.00,99823.62,176.38,0.1764,6365.17,106365.17,2,25-SMA crossed above 50-SMA.
T00006,2021-05-16,2021-05-16,2021-05-16,2021-05-16 06:00:00+00:00,2021-05-16 06:15:00+00:00,LONG,49300.00,48041.65,47999.00,2021-05-16 16:00:00+00:00,2021-05-16 16:15:00+00:00,48059.25,reverse_signal,48767.62,48774.54,-1240.75,2.02839757,100000.00,97483.27,-2516.73,-2.5167,3848.44,103848.44,0,25-SMA crossed below 50-SMA.
T00007,2021-05-17,2021-05-16,2021-05-17,2021-05-16 16:00:00+00:00,2021-05-16 16:15:00+00:00,SHORT,48059.25,48767.62,48774.54,2021-05-17 11:15:00+00:00,2021-05-17 11:30:00+00:00,45140.00,reverse_signal,44778.31,44732.50,2919.25,2.08076489,100000.00,93925.73,6074.27,6.0743,9922.71,109922.71,1,25-SMA crossed above 50-SMA.
T00008,2021-05-17,2021-05-17,2021-05-17,2021-05-17 11:15:00+00:00,2021-05-17 11:30:00+00:00,LONG,45140.00,44778.31,44732.50,2021-05-17 16:30:00+00:00,2021-05-17 16:45:00+00:00,43005.32,reverse_signal,44520.56,44528.58,-2134.68,2.21533008,100000.00,95270.98,-4729.02,-4.7290,5193.69,105193.69,0,25-SMA crossed below 50-SMA.
T00009,2021-05-18,2021-05-17,2021-05-18,2021-05-17 16:30:00+00:00,2021-05-17 16:45:00+00:00,SHORT,43005.32,44520.56,44528.58,2021-05-18 00:30:00+00:00,2021-05-18 00:45:00+00:00,44275.77,reverse_signal,43919.08,43858.37,-1270.45,2.32529371,100000.00,102954.17,-2954.17,-2.9542,2239.52,102239.52,1,25-SMA crossed above 50-SMA.
T00010,2021-05-18,2021-05-18,2021-05-18,2021-05-18 00:30:00+00:00,2021-05-18 00:45:00+00:00,LONG,44275.77,43919.08,43858.37,2021-05-18 12:45:00+00:00,2021-05-18 13:00:00+00:00,44029.25,reverse_signal,45055.33,45067.72,-246.52,2.25857167,100000.00,99443.22,-556.78,-0.5568,1682.74,101682.74,0,25-SMA crossed below 50-SMA.
