period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,max_profit_date,max_profit_points,max_loss_date,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points
2025-05,22,2,1,0,202,0,100,102,202,0,0,5,14,0,-3678.27,-193.59,2025-05-31,3439.41,2025-05-12,-2626.97,2,7,10225.99
2025-06,30,3,0,0,332,0,170,162,332,0,0,10,17,0,-1684.98,-62.41,2025-06-26,4915.68,2025-06-19,-2596.15,3,5,5497.58
2025-07,31,1,0,0,306,0,156,150,306,0,0,13,17,0,3531.07,117.70,2025-07-11,6124.02,2025-07-17,-3126.60,4,8,11440.38
2025-08,31,2,0,0,321,0,160,161,321,0,0,13,16,0,4851.70,167.30,2025-08-03,4406.87,2025-08-28,-1588.24,4,4,4326.71
2025-09,30,2,0,0,299,0,161,138,299,0,0,12,16,0,2648.17,94.58,2025-09-30,3707.16,2025-09-01,-1677.40,3,3,4449.22
2025-10,31,4,0,0,278,1,147,131,277,1,0,13,14,0,12888.07,477.34,2025-10-12,7319.05,2025-10-15,-2695.76,5,4,6481.50
2025-11,30,2,0,0,350,0,177,173,350,0,0,10,18,0,921.71,32.92,2025-11-05,4772.52,2025-11-22,-4812.74,2,4,8463.02
2025-12,31,2,0,0,267,0,144,123,267,0,0,15,14,0,4181.49,144.19,2025-12-01,4352.25,2025-12-17,-2798.74,3,3,6765.56
2026-01,31,4,0,0,305,0,152,153,305,0,0,10,17,0,-1375.81,-50.96,2026-01-30,3507.04,2026-01-23,-3056.81,2,6,6945.55
2026-02,28,5,0,0,258,0,126,132,258,0,0,9,14,0,9940.43,432.19,2026-02-06,12176.67,2026-02-09,-2885.19,2,6,14953.16
2026-03,31,5,0,0,303,0,164,139,303,0,0,11,15,0,2385.44,91.75,2026-03-28,4509.64,2026-03-12,-2708.76,3,3,4858.41
2026-04,30,2,0,0,300,0,142,158,300,0,0,12,16,0,365.14,13.04,2026-04-14,2466.00,2026-04-15,-2172.35,2,4,3881.06
2026-05,9,1,0,0,69,1,39,30,67,1,1,4,4,0,2554.02,319.25,2026-05-02,1986.73,2026-05-06,-1678.64,2,2,1787.44
