date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-05-11,FLAT,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,
2025-05-12,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-13,TRADED,2,0,0,2,2,0,0,0,2,0,-1151.78,-575.89,-103.36,-1048.42,0,2,1151.78,
2025-05-14,TRADED,12,0,6,6,12,0,0,1,11,0,-1838.96,-153.25,43.66,-653.85,1,11,1882.62,
2025-05-15,TRADED,6,0,3,3,6,0,0,1,5,0,-965.69,-160.95,199.09,-388.49,1,3,965.69,
2025-05-16,TRADED,7,0,5,2,7,0,0,1,6,0,-1224.10,-174.87,131.38,-475.40,1,5,1283.18,
2025-05-17,TRADED,5,0,2,3,5,0,0,2,3,0,-383.56,-76.71,59.59,-224.11,2,3,454.01,
2025-05-18,TRADED,7,0,4,3,7,0,0,1,6,0,34.25,4.89,612.94,-216.97,1,4,460.77,
2025-05-19,TRADED,2,0,1,1,2,0,0,0,2,0,-1969.22,-984.61,-495.50,-1473.72,0,2,1969.22,
2025-05-20,TRADED,8,0,3,5,8,0,0,1,7,0,-1134.66,-141.83,539.37,-781.21,1,7,1674.03,
2025-05-21,TRADED,6,0,3,3,6,0,0,1,5,0,-1636.45,-272.74,53.52,-883.87,1,3,1636.45,
2025-05-22,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-23,TRADED,4,0,2,2,4,0,0,1,3,0,2005.17,501.29,2515.34,-285.82,1,3,510.17,
2025-05-24,TRADED,2,0,1,1,2,0,0,1,1,0,1829.06,914.53,2518.16,-689.10,1,1,689.10,
2025-05-25,TRADED,4,0,2,2,4,0,0,1,3,0,169.41,42.35,357.94,-104.90,1,3,188.53,
2025-05-26,TRADED,6,0,3,3,6,0,0,0,6,0,-985.31,-164.22,-73.72,-304.90,0,6,985.31,
2025-05-27,TRADED,5,0,3,2,5,0,0,0,5,0,-1614.74,-322.95,-99.33,-721.33,0,5,1614.74,
2025-05-28,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-29,TRADED,7,0,3,4,7,0,0,2,5,0,-232.74,-33.25,707.55,-610.87,1,3,940.29,
2025-05-30,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-31,TRADED,1,0,0,1,1,0,0,1,0,0,3504.67,3504.67,3504.67,3504.67,1,0,0.00,
2025-06-01,TRADED,10,0,6,4,10,0,0,0,10,0,-1051.76,-105.18,-14.14,-456.18,0,10,1051.76,
2025-06-02,TRADED,7,0,6,1,7,0,0,0,7,0,-940.98,-134.43,-15.63,-274.96,0,7,940.98,
2025-06-03,TRADED,6,0,5,1,6,0,0,1,5,0,-1581.06,-263.51,21.73,-951.79,1,4,1600.20,
2025-06-04,TRADED,9,0,3,6,9,0,0,0,9,0,-1308.69,-145.41,-12.88,-401.35,0,9,1308.69,
2025-06-05,TRADED,6,0,2,4,6,0,0,0,6,0,-1691.37,-281.90,-79.20,-744.72,0,6,1691.37,
2025-06-06,TRADED,2,0,1,1,2,0,0,1,1,0,1398.04,699.02,1402.96,-4.92,1,1,4.92,
2025-06-07,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-06-08,TRADED,7,0,4,3,7,0,0,2,5,0,1957.87,279.70,2260.89,-141.61,1,5,320.73,
2025-06-09,TRADED,4,0,1,3,4,0,0,0,4,0,-312.34,-78.08,-6.46,-232.76,0,4,312.34,
2025-06-10,TRADED,6,0,4,2,6,0,0,1,5,0,1633.25,272.21,3147.51,-734.47,1,5,1514.26,
2025-06-11,TRADED,9,0,6,3,9,0,0,0,9,0,-1378.20,-153.13,-15.91,-414.81,0,9,1378.20,
2025-06-12,TRADED,3,0,1,2,3,0,0,1,2,0,315.16,105.05,998.35,-354.84,1,2,683.19,
2025-06-13,TRADED,4,0,3,1,4,0,0,1,3,0,683.65,170.91,1425.42,-303.18,1,3,741.77,
2025-06-14,TRADED,2,0,1,1,2,0,0,1,1,0,107.28,53.64,150.21,-42.93,1,1,42.93,
2025-06-15,TRADED,5,0,3,2,5,0,0,1,4,0,-409.10,-81.82,99.56,-262.35,1,4,508.66,
2025-06-16,TRADED,3,0,2,1,3,0,0,0,3,0,-296.86,-98.95,-37.09,-177.93,0,3,296.86,
2025-06-17,TRADED,5,0,3,2,5,0,0,1,4,0,769.58,153.92,1256.62,-279.83,1,4,487.04,
2025-06-18,TRADED,11,0,5,6,11,0,0,2,9,0,837.56,76.14,2079.20,-346.41,1,8,1241.64,
2025-06-19,TRADED,13,0,7,6,13,0,0,0,13,0,-2329.56,-179.20,-14.44,-471.70,0,13,2329.56,
2025-06-20,TRADED,8,0,6,2,8,0,0,1,7,0,-419.59,-52.45,272.55,-286.24,1,7,692.14,
2025-06-21,TRADED,7,0,5,2,7,0,0,0,7,0,-331.38,-47.34,-8.80,-223.03,0,7,331.38,
2025-06-22,TRADED,4,0,2,2,4,0,0,1,3,0,-24.03,-6.01,126.36,-87.66,1,2,117.89,
2025-06-23,TRADED,6,0,3,3,6,0,0,0,6,0,-1472.45,-245.41,-104.56,-441.41,0,6,1472.45,
2025-06-24,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-06-25,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-06-26,TRADED,7,0,3,4,7,0,0,1,6,0,4136.20,590.89,5012.54,-285.99,1,6,876.34,
2025-06-27,TRADED,10,0,4,6,10,0,0,0,10,0,-2134.57,-213.46,-18.23,-456.66,0,10,2134.57,
2025-06-28,TRADED,9,0,6,3,9,0,0,2,7,0,-115.24,-12.80,37.59,-70.61,1,4,115.64,
2025-06-29,TRADED,10,0,5,5,10,0,0,1,9,0,-450.01,-45.00,177.29,-209.13,1,5,450.01,
2025-06-30,TRADED,5,0,1,4,5,0,0,0,5,0,-1145.00,-229.00,-114.85,-374.90,0,5,1145.00,
2025-07-01,TRADED,1,0,0,1,1,0,0,1,0,0,647.03,647.03,647.03,647.03,1,0,0.00,
2025-07-02,TRADED,1,0,0,1,1,0,0,0,1,0,-288.16,-288.16,-288.16,-288.16,0,1,288.16,
2025-07-03,TRADED,5,0,3,2,5,0,0,1,4,0,1444.51,288.90,2695.75,-979.68,1,4,1251.24,
2025-07-04,TRADED,3,0,3,0,3,0,0,0,3,0,-134.27,-44.76,-4.71,-115.42,0,3,134.27,
2025-07-05,TRADED,14,0,7,7,14,0,0,1,13,0,64.65,4.62,937.89,-154.23,1,13,873.24,
