period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,max_profit_date,max_profit_points,max_loss_date,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points
2025-05,21,4,1,0,84,0,41,43,84,0,0,5,11,0,-5594.65,-349.67,2025-05-31,3504.67,2025-05-19,-1969.22,3,5,10270.17
2025-06,30,3,0,0,178,0,98,80,178,0,0,9,18,0,-5553.60,-205.69,2025-06-26,4136.20,2025-06-19,-2329.56,3,5,6573.86
2025-07,31,1,0,0,166,0,90,76,166,0,0,12,18,0,-456.88,-15.23,2025-07-11,6057.05,2025-07-30,-2938.37,2,5,11918.60
2025-08,31,2,0,0,160,0,78,82,160,0,0,8,21,0,4311.40,148.67,2025-08-03,4478.81,2025-08-19,-2370.14,2,7,5401.81
2025-09,30,2,0,0,148,0,81,67,148,0,0,11,17,0,-1648.67,-58.88,2025-09-30,3766.57,2025-09-15,-2147.74,2,5,8933.93
2025-10,31,3,0,0,145,1,79,66,144,1,0,15,13,0,11575.47,413.41,2025-10-12,7925.68,2025-10-15,-2251.15,3,3,4852.02
2025-11,30,2,0,0,167,0,90,77,167,0,0,10,18,0,-715.43,-25.55,2025-11-21,5393.63,2025-11-22,-3602.18,2,4,7444.31
2025-12,31,1,0,0,146,0,81,65,146,0,0,14,16,0,940.72,31.36,2025-12-03,4836.85,2025-12-17,-3415.91,3,6,10247.38
2026-01,31,3,0,0,161,0,80,81,161,0,0,11,17,0,1290.67,46.10,2026-01-30,4594.21,2026-01-27,-1965.74,2,5,6251.88
2026-02,28,4,0,0,124,0,60,64,124,0,0,12,12,0,16767.41,698.64,2026-02-06,9915.87,2026-02-17,-1933.32,4,5,8007.80
2026-03,31,5,0,0,153,0,82,71,153,0,0,12,14,0,4772.23,183.55,2026-03-08,4384.59,2026-03-31,-2429.76,4,3,3862.34
2026-04,30,1,0,0,155,0,69,86,155,0,0,11,18,0,-206.37,-7.12,2026-04-14,2216.63,2026-04-16,-1669.19,2,4,3625.57
2026-05,9,1,0,0,38,1,19,19,36,1,1,5,3,0,806.92,100.86,2026-05-02,2064.85,2026-05-06,-1276.66,3,2,1791.47
