trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,holding_days,remarks
T00001,2025-05-13,2025-05-12,2025-05-13,2025-05-12 19:00:00+00:00,2025-05-12 20:00:00+00:00,SHORT,101850.92,103748.04,2025-05-13 08:00:00+00:00,2025-05-13 09:00:00+00:00,102899.34,stop_loss_ma_touch,102899.34,-1048.42,1,
T00002,2025-05-13,2025-05-13,2025-05-13,2025-05-13 08:00:00+00:00,2025-05-13 09:00:00+00:00,SHORT,102716.62,102819.98,2025-05-13 09:00:00+00:00,2025-05-13 10:00:00+00:00,102819.98,stop_loss_ma_touch,102819.98,-103.36,0,
T00003,2025-05-14,2025-05-13,2025-05-14,2025-05-13 09:00:00+00:00,2025-05-13 10:00:00+00:00,LONG,103467.55,102778.42,2025-05-14 02:00:00+00:00,2025-05-14 03:00:00+00:00,103511.21,stop_loss_ma_touch,103511.21,43.66,1,
T00004,2025-05-14,2025-05-14,2025-05-14,2025-05-14 02:00:00+00:00,2025-05-14 03:00:00+00:00,LONG,103710.50,103579.54,2025-05-14 03:00:00+00:00,2025-05-14 04:00:00+00:00,103579.54,stop_loss_ma_touch,103579.54,-130.96,0,
T00005,2025-05-14,2025-05-14,2025-05-14,2025-05-14 03:00:00+00:00,2025-05-14 04:00:00+00:00,SHORT,103585.29,103657.07,2025-05-14 04:00:00+00:00,2025-05-14 05:00:00+00:00,103657.07,stop_loss_ma_touch,103657.07,-71.78,0,
T00006,2025-05-14,2025-05-14,2025-05-14,2025-05-14 04:00:00+00:00,2025-05-14 05:00:00+00:00,LONG,103747.99,103699.02,2025-05-14 05:00:00+00:00,2025-05-14 06:00:00+00:00,103699.02,stop_loss_ma_touch,103699.02,-48.97,0,
T00007,2025-05-14,2025-05-14,2025-05-14,2025-05-14 05:00:00+00:00,2025-05-14 06:00:00+00:00,LONG,103912.36,103759.06,2025-05-14 06:00:00+00:00,2025-05-14 07:00:00+00:00,103759.06,stop_loss_ma_touch,103759.06,-153.30,0,
T00008,2025-05-14,2025-05-14,2025-05-14,2025-05-14 06:00:00+00:00,2025-05-14 07:00:00+00:00,SHORT,103754.66,103809.18,2025-05-14 08:00:00+00:00,2025-05-14 09:00:00+00:00,103852.62,stop_loss_ma_touch,103852.62,-97.96,0,
T00009,2025-05-14,2025-05-14,2025-05-14,2025-05-14 08:00:00+00:00,2025-05-14 09:00:00+00:00,SHORT,103220.54,103873.61,2025-05-14 10:00:00+00:00,2025-05-14 11:00:00+00:00,103874.39,stop_loss_ma_touch,103874.39,-653.85,0,
T00010,2025-05-14,2025-05-14,2025-05-14,2025-05-14 10:00:00+00:00,2025-05-14 11:00:00+00:00,SHORT,103717.42,103880.31,2025-05-14 11:00:00+00:00,2025-05-14 12:00:00+00:00,103880.31,stop_loss_ma_touch,103880.31,-162.89,0,
T00011,2025-05-14,2025-05-14,2025-05-14,2025-05-14 11:00:00+00:00,2025-05-14 12:00:00+00:00,LONG,103952.28,103888.81,2025-05-14 13:00:00+00:00,2025-05-14 14:00:00+00:00,103901.50,stop_loss_ma_touch,103901.50,-50.78,0,
T00012,2025-05-14,2025-05-14,2025-05-14,2025-05-14 13:00:00+00:00,2025-05-14 14:00:00+00:00,LONG,103989.43,103911.40,2025-05-14 14:00:00+00:00,2025-05-14 15:00:00+00:00,103911.40,stop_loss_ma_touch,103911.40,-78.03,0,
T00013,2025-05-14,2025-05-14,2025-05-14,2025-05-14 14:00:00+00:00,2025-05-14 15:00:00+00:00,SHORT,103287.70,103914.57,2025-05-14 21:00:00+00:00,2025-05-14 22:00:00+00:00,103708.45,stop_loss_ma_touch,103708.45,-420.75,0,
T00014,2025-05-14,2025-05-14,2025-05-14,2025-05-14 21:00:00+00:00,2025-05-14 22:00:00+00:00,SHORT,103666.03,103679.38,2025-05-14 22:00:00+00:00,2025-05-14 23:00:00+00:00,103679.38,stop_loss_ma_touch,103679.38,-13.35,0,
T00015,2025-05-15,2025-05-14,2025-05-15,2025-05-14 22:00:00+00:00,2025-05-14 23:00:00+00:00,SHORT,103536.17,103653.90,2025-05-15 00:00:00+00:00,2025-05-15 01:00:00+00:00,103629.50,stop_loss_ma_touch,103629.50,-93.33,1,
T00016,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 01:00:00+00:00,LONG,103831.66,103626.17,2025-05-15 01:00:00+00:00,2025-05-15 02:00:00+00:00,103626.17,stop_loss_ma_touch,103626.17,-205.49,0,
T00017,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:00:00+00:00,2025-05-15 02:00:00+00:00,SHORT,103058.12,103598.22,2025-05-15 15:00:00+00:00,2025-05-15 16:00:00+00:00,102859.03,stop_loss_ma_touch,102859.03,199.09,0,
T00018,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:00:00+00:00,2025-05-15 16:00:00+00:00,LONG,103286.86,102848.61,2025-05-15 18:00:00+00:00,2025-05-15 19:00:00+00:00,102898.37,stop_loss_ma_touch,102898.37,-388.49,0,
T00019,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:00:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102863.82,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,102863.82,stop_loss_ma_touch,102863.82,-151.45,0,
T00020,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,LONG,103179.60,102858.72,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,102853.58,stop_loss_ma_touch,102853.58,-326.02,0,
T00021,2025-05-16,2025-05-15,2025-05-16,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,LONG,103323.25,102839.30,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,103250.95,stop_loss_ma_touch,103250.95,-72.30,1,
T00022,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,LONG,103427.69,103298.44,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,103559.07,stop_loss_ma_touch,103559.07,131.38,0,
T00023,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,LONG,104048.99,103637.28,2025-05-16 14:00:00+00:00,2025-05-16 15:00:00+00:00,103637.28,stop_loss_ma_touch,103637.28,-411.71,0,
