date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,remarks
2025-05-10,FLAT,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,
2025-05-11,TRADED,3,0,3,0,3,0,0,0,3,0,-675.66,-225.22,-51.36,-418.90,0,3,675.66,
2025-05-12,TRADED,13,0,7,6,13,0,0,0,13,0,-2415.75,-185.83,-2.27,-456.59,0,13,2415.75,
2025-05-13,TRADED,2,0,0,2,2,0,0,1,1,0,-219.75,-109.88,36.19,-255.94,1,1,255.94,
2025-05-14,TRADED,17,0,9,8,17,0,0,1,16,0,-1480.29,-87.08,240.90,-566.48,1,16,1721.19,
2025-05-15,TRADED,9,0,4,5,9,0,0,1,8,0,-828.35,-92.04,639.45,-384.69,1,5,1141.58,
2025-05-16,TRADED,11,0,7,4,11,0,0,1,10,0,-1256.26,-114.21,116.36,-445.97,1,8,1262.47,
2025-05-17,TRADED,9,0,3,6,9,0,0,2,7,0,-386.28,-42.92,149.65,-233.64,1,5,472.02,
2025-05-18,TRADED,9,0,5,4,9,0,0,1,8,0,196.85,21.87,600.74,-102.09,1,5,270.82,
2025-05-19,TRADED,2,0,1,1,2,0,0,1,1,0,-522.27,-261.13,106.99,-629.26,1,1,629.26,
2025-05-20,TRADED,10,0,4,6,10,0,0,2,8,0,-1482.79,-148.28,522.85,-713.33,1,6,2005.64,
2025-05-21,TRADED,8,0,5,3,8,0,0,2,6,0,-266.74,-33.34,489.00,-365.03,2,4,724.45,
2025-05-22,TRADED,1,0,1,0,1,0,0,1,0,0,3531.10,3531.10,3531.10,3531.10,1,0,0.00,
2025-05-23,TRADED,7,0,2,5,7,0,0,1,6,0,-633.87,-90.55,327.89,-326.25,1,6,961.76,
2025-05-24,TRADED,3,0,2,1,3,0,0,1,2,0,1726.86,575.62,2498.10,-671.21,1,2,771.24,
2025-05-25,TRADED,6,0,2,4,6,0,0,1,5,0,-50.19,-8.36,360.33,-146.04,1,5,410.52,
2025-05-26,TRADED,8,0,3,5,8,0,0,1,7,0,-88.06,-11.01,848.45,-307.03,1,7,936.51,
2025-05-27,TRADED,5,0,3,2,5,0,0,1,4,0,-833.22,-166.64,47.95,-370.77,1,3,833.22,
2025-05-28,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-29,TRADED,11,0,5,6,11,0,0,2,9,0,-192.29,-17.48,833.95,-303.22,1,6,1026.24,
2025-05-30,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-05-31,TRADED,2,0,1,1,2,0,0,1,1,0,3460.08,1730.04,3476.85,-16.77,1,1,16.77,
2025-06-01,TRADED,14,0,8,6,14,0,0,0,14,0,-1153.27,-82.38,-12.85,-365.28,0,14,1153.27,
2025-06-02,TRADED,11,0,10,1,11,0,0,0,11,0,-733.36,-66.67,-3.48,-172.30,0,11,733.36,
2025-06-03,TRADED,9,0,6,3,9,0,0,2,7,0,-989.10,-109.90,48.57,-293.71,1,6,1013.75,
2025-06-04,TRADED,11,0,5,6,11,0,0,0,11,0,-830.52,-75.50,-10.23,-157.68,0,11,830.52,
2025-06-05,TRADED,7,0,3,4,7,0,0,2,5,0,-933.48,-133.35,149.98,-487.03,1,3,1083.46,
2025-06-06,TRADED,2,0,1,1,2,0,0,1,1,0,1269.66,634.83,1433.01,-163.35,1,1,163.35,
2025-06-07,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0,0,0.00,Open position carried through this UTC date with no realized exit.
2025-06-08,TRADED,11,0,6,5,11,0,0,2,9,0,1846.29,167.84,2275.36,-126.70,1,8,429.07,
2025-06-09,TRADED,5,0,1,4,5,0,0,0,5,0,-222.55,-44.51,-10.30,-76.69,0,5,222.55,
2025-06-10,TRADED,8,0,6,2,8,0,0,1,7,0,1321.73,165.22,3231.32,-580.74,1,7,1909.59,
