period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,21,2,1,0,145,0,67,78,145,0,0,9,9,0,3921.14,217.84,61346.64,3408.15,1061346.65,2021-05-17,3387.45,71132.64,2021-05-20,-2311.32,-59120.34,3,4,4719.16,127012.70,11.3141
2021-06,30,1,0,0,282,0,147,135,282,0,0,11,18,0,7678.55,264.78,220764.05,7612.55,1282110.69,2021-06-14,3664.33,103066.80,2021-06-11,-2297.57,-62241.54,3,5,2845.15,77579.31,6.6070
2021-07,31,1,0,0,298,0,151,147,298,0,0,16,14,0,5365.51,178.85,174201.36,5806.71,1456312.06,2021-07-26,3471.84,101385.86,2021-07-29,-2064.90,-51734.09,3,3,2757.85,68698.50,4.5651
2021-08,31,3,0,0,243,0,126,117,243,0,0,12,16,0,6589.56,235.34,168371.40,6013.26,1624683.43,2021-08-07,3498.37,89804.19,2021-08-27,-1246.96,-26490.65,2,3,2374.58,50768.95,3.1991
2021-09,30,3,0,0,344,0,176,168,344,0,0,10,17,0,-1856.87,-68.77,-51875.53,-1921.32,1572807.82,2021-09-21,3694.13,74558.61,2021-09-25,-2598.55,-61426.37,3,4,5250.75,114216.47,6.9232
2021-10,31,3,0,0,361,0,178,183,361,0,0,11,17,0,-1865.08,-66.61,4092.09,146.15,1576899.98,2021-10-02,3224.01,76233.54,2021-10-17,-2348.57,-38514.06,2,5,8230.02,140795.98,8.2092
2021-11,30,4,0,0,290,1,134,156,289,1,0,9,17,0,682.16,26.24,11648.48,448.02,1588548.47,2021-11-09,4582.76,77458.13,2021-11-21,-2815.60,-47672.22,2,6,5882.81,94863.58,6.0158
2021-12,31,3,0,0,364,0,185,179,364,0,0,10,18,0,-4448.94,-158.89,-104090.91,-3717.53,1484457.54,2021-12-04,6846.54,119991.51,2021-12-05,-3065.70,-62625.94,2,3,8712.04,183104.27,11.1775
2022-01,31,2,0,0,391,0,210,181,391,0,0,9,20,0,-6709.63,-231.37,-161782.06,-5578.69,1322675.40,2022-01-22,6127.17,146722.19,2022-01-08,-2109.49,-50457.43,2,5,10501.95,245124.57,16.5127
2022-02,28,3,0,0,365,0,175,190,365,0,0,11,14,0,443.10,17.72,32785.65,1311.43,1355461.08,2022-02-05,4408.47,119713.82,2022-02-06,-2182.38,-52526.05,3,3,7474.33,172273.09,11.7418
2022-03,31,3,0,0,435,0,226,209,435,0,0,9,19,0,371.55,13.27,16860.28,602.15,1372321.33,2022-03-05,4280.36,98212.12,2022-03-08,-2255.81,-58722.01,2,7,6433.51,159536.29,10.4390
2022-04,30,4,0,0,285,0,156,129,285,0,0,13,13,0,3032.89,116.65,63297.73,2434.53,1435619.13,2022-04-23,1851.18,44376.09,2022-04-08,-1422.67,-32659.52,2,3,1833.95,47604.48,3.3534
2022-05,31,4,0,0,359,0,195,164,359,0,0,15,12,0,627.36,23.24,-17656.56,-653.95,1417962.52,2022-05-06,3032.58,76980.85,2022-05-11,-3741.33,-120558.34,4,2,5560.71,186435.38,12.1412
2022-06,30,3,0,0,248,0,121,127,248,0,0,13,14,0,4614.22,170.90,153773.30,5695.31,1571735.77,2022-06-14,4190.18,148099.34,2022-06-15,-1743.05,-83449.48,3,3,1982.11,89385.78,5.4705
2022-07,31,2,0,0,299,0,164,135,299,0,0,11,18,0,-1277.22,-44.04,-54098.93,-1865.48,1517636.88,2022-07-28,1485.30,70386.03,2022-07-01,-1173.41,-61144.59,2,4,2814.71,137022.96,8.7179
2022-08,31,2,0,0,354,0,182,172,354,0,0,12,17,0,-52.61,-1.81,-14893.62,-513.57,1502743.29,2022-08-20,1536.79,63670.81,2022-08-02,-971.69,-42025.37,4,6,2314.88,108088.73,6.7712
2022-09,30,2,0,0,336,0,184,152,336,0,0,10,18,0,-506.08,-18.07,-27117.88,-968.50,1475625.50,2022-09-10,1614.33,85548.29,2022-09-15,-956.14,-47491.38,3,4,2320.69,120085.64,7.5624
2022-10,31,3,0,0,358,0,167,191,358,0,0,12,16,0,-396.18,-14.15,-19081.17,-681.47,1456544.33,2022-10-27,998.47,52646.04,2022-10-03,-460.49,-24001.96,3,5,1829.76,93493.69,6.2989
2022-11,30,2,0,0,365,0,183,182,365,0,0,12,16,0,493.21,17.61,10130.05,361.79,1466674.39,2022-11-10,3111.68,157400.99,2022-11-11,-1011.96,-59037.83,3,4,2210.32,131923.41,8.3946
2022-12,31,2,0,0,449,0,224,225,449,0,0,10,19,0,-535.17,-18.45,-33661.52,-1160.74,1433012.96,2022-12-17,678.87,38714.60,2022-12-02,-282.54,-16673.47,4,7,1583.90,94442.83,6.1830
2023-01,31,3,0,0,342,0,184,158,342,0,0,11,17,0,2038.73,72.81,132267.07,4723.82,1565279.93,2023-01-15,2998.47,174048.31,2023-01-22,-581.20,-25443.29,2,3,2248.35,98107.11,6.0114
2023-02,28,3,0,0,237,0,112,125,237,0,0,11,14,0,3459.46,138.38,156355.01,6254.20,1721635.04,2023-02-16,2680.05,124348.03,2023-02-23,-573.96,-23961.17,4,3,847.03,36829.98,2.3529
2023-03,31,3,0,0,373,1,182,191,372,1,0,10,18,0,1514.31,54.08,103112.11,3682.58,1824747.14,2023-03-14,3021.48,157150.85,2023-03-15,-1150.62,-46214.16,3,7,2759.48,99218.55,5.3219
2023-04,30,1,0,0,331,0,176,155,331,0,0,10,19,0,-567.21,-19.56,-22750.88,-784.51,1801996.15,2023-04-11,1747.47,61823.07,2023-04-27,-2095.63,-72507.14,4,4,3814.93,132362.63,6.8427
2023-05,31,5,0,0,287,1,151,136,286,1,0,14,12,0,1396.90,53.73,49221.58,1893.14,1851217.72,2023-05-12,1131.43,40897.57,2023-05-10,-1065.05,-38843.46,5,5,1623.21,58826.03,3.2148
2023-06,30,2,0,0,357,0,193,164,357,0,0,11,17,0,1583.03,56.54,70428.02,2515.29,1921645.68,2023-06-22,2223.15,86707.18,2023-06-11,-584.31,-22655.65,3,4,1725.70,66705.86,3.5063
2023-07,31,1,0,0,376,0,205,171,376,0,0,8,22,0,-1485.35,-49.51,-50948.61,-1698.29,1870697.03,2023-07-15,883.73,28234.20,2023-07-16,-469.19,-15481.98,3,9,1741.02,58542.12,3.0345
2023-08,31,3,0,0,322,0,168,154,322,0,0,11,17,0,3237.38,115.62,111680.36,3988.58,1982377.31,2023-08-19,3102.94,106307.99,2023-08-21,-368.91,-14139.68,3,5,947.34,36423.54,1.8444
2023-09,30,1,0,0,417,0,199,218,417,0,0,8,21,0,-2317.90,-79.93,-89383.91,-3082.20,1892993.40,2023-09-02,1228.04,44922.68,2023-09-20,-543.77,-20036.96,2,6,3759.97,142690.79,7.0385
2023-10,31,3,0,0,335,0,175,160,335,0,0,11,17,0,899.87,32.14,45906.58,1639.52,1938899.94,2023-10-24,2515.14,86730.27,2023-10-25,-1155.72,-33900.79,3,5,2224.20,65137.69,3.2503
2023-11,30,0,0,0,371,0,194,177,371,0,0,10,20,0,-2788.47,-92.95,-76984.66,-2566.16,1861915.30,2023-11-16,1098.66,30923.24,2023-11-01,-1273.62,-37001.75,3,7,3646.44,101680.34,5.2442
2023-12,31,2,0,0,266,0,138,128,266,0,0,16,13,0,6058.37,208.91,152514.66,5259.13,2014429.99,2023-12-05,1993.70,50603.40,2023-12-10,-639.98,-14600.21,4,3,1180.00,26799.97,1.3556
2024-01,31,2,0,0,420,0,227,193,420,0,0,10,19,0,-3450.75,-118.99,-77028.91,-2656.17,1937401.14,2024-01-13,2302.28,48178.82,2024-01-10,-2043.49,-44522.88,2,5,7008.85,160746.39,7.7644
2024-02,29,3,0,0,295,1,143,152,294,1,0,7,19,0,8797.31,338.36,182328.48,7012.63,2119729.65,2024-02-29,9605.73,189296.60,2024-02-16,-1682.26,-32316.69,1,7,4147.94,80052.88,3.9977
2024-03,31,2,0,0,304,0,159,145,304,0,0,11,18,0,-202.15,-6.97,1137.49,39.22,2120867.20,2024-03-26,4978.34,77028.15,2024-03-08,-2996.52,-44523.79,2,3,6891.55,100181.00,4.7028
2024-04,30,0,0,0,329,0,163,166,329,0,0,15,15,0,-2203.20,-73.44,-41019.03,-1367.30,2079848.17,2024-04-25,2274.45,34161.04,2024-04-26,-1803.76,-28022.11,6,4,4846.27,76320.60,3.5426
2024-05,31,2,0,0,287,1,148,139,286,1,0,17,12,0,12459.18,429.63,203577.07,7019.90,2283425.34,2024-05-01,4170.38,66507.15,2024-05-07,-1960.91,-30805.58,4,2,2531.58,39708.95,1.8030
2024-06,30,1,0,0,347,0,192,155,347,0,0,10,19,0,-3719.22,-128.25,-54785.93,-1889.17,2228639.43,2024-06-25,2550.23,39159.29,2024-06-19,-1584.62,-24342.64,2,5,6071.65,90352.51,3.9569
2024-07,31,6,0,0,259,0,135,124,259,0,0,11,14,0,7270.87,290.83,127644.38,5105.78,2356283.83,2024-07-04,3989.14,63154.39,2024-07-21,-2091.68,-31136.73,3,3,5312.41,79364.85,3.3109
2024-08,31,1,0,0,292,0,155,137,292,0,0,14,16,0,6513.78,217.13,100939.66,3364.66,2457223.51,2024-08-28,3866.91,59662.14,2024-08-16,-2267.61,-38945.11,3,3,3670.71,60425.81,2.4523
2024-09,30,3,0,0,290,0,142,148,290,0,0,14,13,0,1502.22,55.64,30978.76,1147.36,2488202.33,2024-09-28,1945.14,30803.79,2024-09-23,-1567.11,-24713.17,3,4,3943.48,62404.70,2.4626
2024-10,31,3,0,0,299,1,140,159,298,1,0,15,13,0,6981.78,249.35,111313.47,3975.48,2599515.88,2024-10-30,2859.91,43678.62,2024-10-31,-1203.48,-16655.15,3,2,1263.72,20762.35,0.8240
2024-11,30,2,0,0,357,0,174,183,357,0,0,13,15,0,1726.06,61.64,50065.65,1788.06,2649581.49,2024-11-07,4605.18,69781.24,2024-11-13,-3414.28,-38666.46,3,4,11896.67,131812.16,4.8124
2024-12,31,1,0,0,349,0,170,179,349,0,0,10,20,0,-7588.83,-252.96,-82327.41,-2744.25,2567254.03,2024-12-05,4496.93,46906.10,2024-12-08,-2806.95,-28105.93,4,5,8392.80,83788.02,3.1606
2025-01,31,4,0,0,326,0,172,154,326,0,0,10,17,0,-5120.74,-189.66,-45509.30,-1685.53,2521744.75,2025-01-09,6827.59,67795.02,2025-01-23,-3728.20,-35958.69,3,5,14872.75,142733.64,5.3829
2025-02,28,3,0,0,274,0,146,128,274,0,0,9,16,0,1545.27,61.81,11904.63,476.19,2533649.40,2025-02-03,5800.46,56669.20,2025-02-27,-2162.67,-25531.67,2,8,11276.82,115738.77,4.4610
2025-03,31,2,0,0,345,0,175,170,345,0,0,13,16,0,4479.57,154.47,46975.66,1619.85,2580625.12,2025-03-04,6570.10,71822.33,2025-03-07,-5144.29,-58228.20,6,4,14015.43,162965.62,5.9921
2025-04,30,1,0,0,340,0,184,156,340,0,0,12,17,0,-5838.97,-201.34,-59250.09,-2043.11,2521374.98,2025-04-10,3352.97,43767.14,2025-04-04,-4796.49,-57942.17,4,4,9095.45,101249.37,3.8606
2025-05,31,3,0,0,310,0,158,152,310,0,0,10,18,0,44.58,1.59,3217.25,114.90,2524592.29,2025-05-09,4797.95,50089.52,2025-05-12,-2626.97,-25230.37,2,8,11672.34,111835.39,4.3418
2025-06,30,3,0,0,332,0,170,162,332,0,0,10,17,0,-1684.95,-62.41,-13414.66,-496.84,2511177.54,2025-06-26,4915.68,49251.68,2025-06-19,-2596.15,-24774.95,3,5,5497.56,53132.47,2.0926
2025-07,31,1,0,0,306,0,156,150,306,0,0,13,17,0,3531.07,117.70,36566.24,1218.87,2547743.79,2025-07-11,6124.02,55130.38,2025-07-17,-3126.60,-26301.10,4,8,11440.37,96579.11,3.6523
