period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,19,0,1,0,82,0,40,42,82,0,0,6,12,0,-4366.10,-242.56,-112885.94,-6271.44,887114.05,2021-05-25,2148.64,63879.14,2021-05-21,-3127.27,-76321.19,2,4,8104.00,207617.99,20.2541
2021-06,30,1,0,0,152,0,76,76,152,0,0,11,18,0,2815.41,97.08,79665.48,2747.09,966779.61,2021-06-10,3520.97,107839.04,2021-06-11,-2096.04,-57010.31,3,5,3094.00,91600.36,8.8309
2021-07,31,0,0,0,157,0,81,76,157,0,0,14,17,0,4176.72,134.73,140889.32,4544.82,1107668.96,2021-07-26,3497.83,101704.05,2021-07-06,-1525.28,-44427.51,3,3,3031.62,76071.05,6.4903
2021-08,31,3,0,0,132,0,66,66,132,0,0,10,18,0,2897.15,103.47,87715.61,3132.70,1195384.61,2021-08-07,2821.73,72376.19,2021-08-31,-1216.97,-25521.63,2,5,3693.40,75969.81,5.9755
2021-09,30,3,0,0,180,0,94,86,180,0,0,9,18,0,-5472.56,-202.69,-130837.58,-4845.84,1064547.01,2021-09-21,3955.77,80760.08,2021-09-17,-2309.46,-48456.90,3,4,7951.11,171969.48,14.0733
2021-10,31,3,0,0,180,0,92,88,180,0,0,12,16,0,-688.52,-24.59,18970.60,677.52,1083517.61,2021-10-02,3752.53,86583.32,2021-10-29,-3254.39,-53250.46,3,4,6981.74,119241.65,9.9418
2021-11,30,4,0,0,151,1,66,85,150,1,0,9,17,0,30.23,1.16,1529.07,58.81,1085046.67,2021-11-09,5057.86,83942.29,2021-11-01,-2306.92,-37496.11,2,4,5298.00,85629.37,7.9029
2021-12,31,2,0,0,185,0,92,93,185,0,0,9,20,0,-4944.41,-170.50,-112159.59,-3867.57,972887.05,2021-12-04,6903.91,122716.50,2021-12-06,-2413.95,-49461.66,2,4,9055.87,191185.66,16.9239
2022-01,31,2,0,0,195,0,100,95,195,0,0,8,21,0,-6483.44,-223.57,-160364.74,-5529.82,812522.38,2022-01-22,5699.97,137951.17,2022-01-23,-1416.97,-40322.69,2,5,8623.25,199928.69,20.5500
2022-02,28,2,0,0,177,0,89,88,177,0,0,12,14,0,1381.08,53.12,53527.21,2058.74,866049.57,2022-02-05,4310.01,116581.31,2022-02-13,-1999.18,-47352.13,3,3,5889.40,144520.28,15.1076
2022-03,31,3,0,0,214,0,113,101,214,0,0,11,17,0,1480.67,52.88,42002.13,1500.08,908051.66,2022-03-05,4116.75,94789.03,2022-03-08,-2129.30,-55089.65,3,4,5263.83,124221.37,12.0338
2022-04,30,4,0,0,154,0,85,69,154,0,0,13,13,0,3809.88,146.53,80974.08,3114.39,989025.78,2022-04-23,1878.55,45177.03,2022-04-24,-1151.84,-29084.55,2,3,2237.41,55726.79,5.6410
