trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2021-05-14,2021-05-14,2021-05-14,2021-05-14 07:00:00+00:00,2021-05-14 08:00:00+00:00,LONG,50047.39,49457.41,2021-05-14 18:00:00+00:00,2021-05-14 19:00:00+00:00,49937.97,stop_loss_ma_touch,49937.97,-109.42,19.98106195,1000000.00,997813.67,-2186.33,-0.2186,-2186.33,997813.67,0,
T00002,2021-05-14,2021-05-14,2021-05-14,2021-05-14 18:00:00+00:00,2021-05-14 19:00:00+00:00,LONG,50525.35,50050.63,2021-05-14 20:00:00+00:00,2021-05-14 21:00:00+00:00,50119.64,stop_loss_ma_touch,50119.64,-405.71,19.79204498,1000000.00,991970.17,-8029.83,-0.8030,-10216.16,989783.84,0,
T00003,2021-05-14,2021-05-14,2021-05-14,2021-05-14 20:00:00+00:00,2021-05-14 21:00:00+00:00,SHORT,49193.30,50114.36,2021-05-14 22:00:00+00:00,2021-05-14 23:00:00+00:00,50125.53,stop_loss_ma_touch,50125.53,-932.23,20.32797149,1000000.00,1018950.34,-18950.34,-1.8950,-29166.50,970833.50,0,
T00004,2021-05-15,2021-05-14,2021-05-15,2021-05-14 22:00:00+00:00,2021-05-14 23:00:00+00:00,SHORT,49965.88,50170.16,2021-05-14 23:00:00+00:00,2021-05-15 00:00:00+00:00,50170.16,stop_loss_ma_touch,50170.16,-204.28,20.01365732,1000000.00,1004088.39,-4088.39,-0.4088,-33254.89,966745.11,1,
T00005,2021-05-15,2021-05-15,2021-05-15,2021-05-14 23:00:00+00:00,2021-05-15 00:00:00+00:00,SHORT,49893.48,50178.64,2021-05-15 00:00:00+00:00,2021-05-15 01:00:00+00:00,50178.64,stop_loss_ma_touch,50178.64,-285.16,20.04269897,1000000.00,1005715.38,-5715.38,-0.5715,-38970.27,961029.73,0,
T00006,2021-05-15,2021-05-15,2021-05-15,2021-05-15 00:00:00+00:00,2021-05-15 01:00:00+00:00,SHORT,49495.53,50154.95,2021-05-15 01:00:00+00:00,2021-05-15 02:00:00+00:00,50154.95,stop_loss_ma_touch,50154.95,-659.42,20.20384467,1000000.00,1013322.82,-13322.82,-1.3323,-52293.09,947706.91,0,
T00007,2021-05-15,2021-05-15,2021-05-15,2021-05-15 01:00:00+00:00,2021-05-15 02:00:00+00:00,LONG,50678.11,50179.97,2021-05-15 02:00:00+00:00,2021-05-15 03:00:00+00:00,50179.97,stop_loss_ma_touch,50179.97,-498.14,19.73238544,1000000.00,990170.51,-9829.49,-0.9829,-62122.58,937877.42,0,
T00008,2021-05-16,2021-05-15,2021-05-16,2021-05-15 02:00:00+00:00,2021-05-15 03:00:00+00:00,SHORT,50126.01,50205.11,2021-05-16 04:00:00+00:00,2021-05-16 05:00:00+00:00,48471.28,stop_loss_ma_touch,48471.28,1654.73,19.94972271,1000000.00,966988.60,33011.40,3.3011,-29111.17,970888.83,1,
T00009,2021-05-16,2021-05-16,2021-05-16,2021-05-16 04:00:00+00:00,2021-05-16 05:00:00+00:00,SHORT,48118.82,48419.20,2021-05-16 06:00:00+00:00,2021-05-16 07:00:00+00:00,48354.95,stop_loss_ma_touch,48354.95,-236.13,20.78188950,1000000.00,1004907.23,-4907.23,-0.4907,-34018.40,965981.60,0,
T00010,2021-05-16,2021-05-16,2021-05-16,2021-05-16 06:00:00+00:00,2021-05-16 07:00:00+00:00,LONG,49045.26,48356.34,2021-05-16 14:00:00+00:00,2021-05-16 15:00:00+00:00,48445.50,stop_loss_ma_touch,48445.50,-599.76,20.38933018,1000000.00,987771.30,-12228.70,-1.2229,-46247.11,953752.89,0,
