date,status,trades,gap_events,long_trades,short_trades,stop_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-12,FLAT,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-13,HELD,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-14,TRADED,10,0,4,6,10,0,0,2,8,0,-730.12,-73.01,1185.91,-487.00,-15229.31,-1522.93,23246.92,-9925.91,984770.70,1,5,1916.03,38476.22,3.7602,
2021-05-15,TRADED,3,0,1,2,3,0,0,0,3,0,-933.40,-311.13,-154.40,-574.21,-18730.92,-6243.64,-3086.77,-11580.51,966039.79,0,3,933.40,18730.91,1.9021,
2021-05-16,TRADED,4,0,1,3,4,0,0,2,2,0,993.31,248.33,1662.81,-679.90,19546.35,4886.59,33172.60,-13841.47,985586.14,2,2,697.87,14212.67,1.4216,
2021-05-17,TRADED,4,0,2,2,4,0,0,2,2,0,2793.53,698.38,2535.99,-313.94,58170.71,14542.68,52490.55,-7003.93,1043756.85,1,1,313.94,7003.93,0.6666,
2021-05-18,TRADED,3,0,2,1,3,0,0,2,1,0,-65.41,-21.80,112.55,-237.45,-1464.35,-488.12,2536.94,-5341.16,1042292.49,1,1,237.45,5341.17,0.5105,
2021-05-19,TRADED,7,0,2,5,7,0,0,1,6,0,1632.51,233.22,3589.59,-528.81,32392.72,4627.53,81527.39,-12947.63,1074685.21,1,6,1957.08,49134.67,4.3721,
2021-05-20,TRADED,8,0,4,4,8,0,0,1,7,0,-2003.31,-250.41,15.71,-589.00,-51012.59,-6376.57,408.41,-15516.52,1023672.63,1,6,2003.31,51012.58,4.7467,
2021-05-21,TRADED,11,0,6,5,11,0,0,0,11,0,-4533.49,-412.14,-7.53,-999.51,-111405.05,-10127.73,-185.36,-24874.98,912267.59,0,11,4533.49,111405.04,10.8829,
