trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2021-05-14,2021-05-14 00:30:00+00:00,SHORT,23246.92,23246.92,1023246.92,1023246.92,0.00,0.0000
T00002,2021-05-14,2021-05-14 01:00:00+00:00,SHORT,-949.32,22297.61,1022297.61,1023246.92,949.31,0.0928
T00003,2021-05-14,2021-05-14 02:30:00+00:00,LONG,-4814.04,17483.57,1017483.57,1023246.92,5763.35,0.5632
T00004,2021-05-14,2021-05-14 06:00:00+00:00,SHORT,-2433.92,15049.64,1015049.64,1023246.92,8197.28,0.8011
T00005,2021-05-14,2021-05-14 06:30:00+00:00,LONG,-1781.80,13267.84,1013267.84,1023246.92,9979.08,0.9752
T00006,2021-05-14,2021-05-14 07:30:00+00:00,SHORT,-9925.91,3341.94,1003341.94,1023246.92,19904.98,1.9453
T00007,2021-05-14,2021-05-14 19:00:00+00:00,LONG,169.10,3511.04,1003511.04,1023246.92,19735.88,1.9288
T00008,2021-05-14,2021-05-14 20:30:00+00:00,LONG,-8450.61,-4939.57,995060.43,1023246.92,28186.49,2.7546
T00009,2021-05-14,2021-05-14 23:00:00+00:00,SHORT,-6570.19,-11509.76,988490.24,1023246.92,34756.68,3.3967
T00010,2021-05-14,2021-05-14 23:30:00+00:00,SHORT,-3719.54,-15229.30,984770.70,1023246.92,38476.22,3.7602
T00011,2021-05-15,2021-05-15 00:30:00+00:00,SHORT,-3086.77,-18316.07,981683.93,1023246.92,41562.99,4.0619
T00012,2021-05-15,2021-05-15 01:30:00+00:00,SHORT,-11580.51,-29896.57,970103.43,1023246.92,53143.49,5.1936
T00013,2021-05-15,2021-05-15 03:00:00+00:00,LONG,-4063.64,-33960.21,966039.79,1023246.92,57207.13,5.5907
T00014,2021-05-16,2021-05-16 04:30:00+00:00,SHORT,33172.60,-787.62,999212.38,1023246.92,24034.54,2.3489
T00015,2021-05-16,2021-05-16 06:30:00+00:00,SHORT,586.42,-201.19,999798.81,1023246.92,23448.11,2.2915
T00016,2021-05-16,2021-05-16 14:30:00+00:00,LONG,-13841.47,-14042.66,985957.34,1023246.92,37289.58,3.6442
T00017,2021-05-16,2021-05-16 15:00:00+00:00,SHORT,-371.20,-14413.86,985586.14,1023246.92,37660.78,3.6805
T00018,2021-05-17,2021-05-17 12:00:00+00:00,SHORT,52490.55,38076.69,1038076.69,1038076.69,0.00,0.0000
T00019,2021-05-17,2021-05-17 12:30:00+00:00,LONG,-2048.11,36028.58,1036028.58,1038076.69,2048.11,0.1973
T00020,2021-05-17,2021-05-17 21:00:00+00:00,SHORT,14732.20,50760.78,1050760.78,1050760.78,0.00,0.0000
T00021,2021-05-17,2021-05-17 21:30:00+00:00,LONG,-7003.93,43756.85,1043756.85,1050760.78,7003.93,0.6666
T00022,2021-05-18,2021-05-18 00:30:00+00:00,SHORT,2536.94,46293.79,1046293.79,1050760.78,4466.99,0.4251
T00023,2021-05-18,2021-05-18 01:00:00+00:00,LONG,-5341.16,40952.62,1040952.62,1050760.78,9808.16,0.9334
T00024,2021-05-18,2021-05-18 13:00:00+00:00,LONG,1339.87,42292.49,1042292.49,1050760.78,8468.29,0.8059
T00025,2021-05-19,2021-05-19 17:00:00+00:00,SHORT,81527.39,123819.88,1123819.88,1123819.88,0.00,0.0000
T00026,2021-05-19,2021-05-19 17:30:00+00:00,LONG,-5881.12,117938.76,1117938.76,1123819.88,5881.12,0.5233
T00027,2021-05-19,2021-05-19 18:00:00+00:00,LONG,-12947.63,104991.13,1104991.13,1123819.88,18828.75,1.6754
T00028,2021-05-19,2021-05-19 20:30:00+00:00,SHORT,-10376.28,94614.84,1094614.84,1123819.88,29205.04,2.5987
T00029,2021-05-19,2021-05-19 22:30:00+00:00,SHORT,-7873.29,86741.55,1086741.55,1123819.88,37078.33,3.2993
T00030,2021-05-19,2021-05-19 23:00:00+00:00,SHORT,-8606.39,78135.17,1078135.17,1123819.88,45684.71,4.0651
T00031,2021-05-19,2021-05-19 23:30:00+00:00,SHORT,-3449.96,74685.21,1074685.21,1123819.88,49134.67,4.3721
T00032,2021-05-20,2021-05-20 03:30:00+00:00,SHORT,-15516.52,59168.69,1059168.69,1123819.88,64651.19,5.7528
T00033,2021-05-20,2021-05-20 04:30:00+00:00,SHORT,408.41,59577.10,1059577.10,1123819.88,64242.78,5.7165
T00034,2021-05-20,2021-05-20 16:30:00+00:00,LONG,-5337.77,54239.33,1054239.33,1123819.88,69580.55,6.1914
T00035,2021-05-20,2021-05-20 17:00:00+00:00,LONG,-12464.12,41775.21,1041775.21,1123819.88,82044.67,7.3005
T00036,2021-05-20,2021-05-20 17:30:00+00:00,SHORT,-1569.11,40206.11,1040206.11,1123819.88,83613.77,7.4401
T00037,2021-05-20,2021-05-20 18:00:00+00:00,SHORT,-2492.91,37713.19,1037713.19,1123819.88,86106.69,7.6620
T00038,2021-05-20,2021-05-20 18:30:00+00:00,LONG,-10450.89,27262.31,1027262.31,1123819.88,96557.57,8.5919
T00039,2021-05-20,2021-05-20 23:00:00+00:00,LONG,-3589.68,23672.63,1023672.63,1123819.88,100147.25,8.9113
T00040,2021-05-21,2021-05-21 04:00:00+00:00,LONG,-24070.83,-398.20,999601.80,1123819.88,124218.08,11.0532
T00041,2021-05-21,2021-05-21 04:30:00+00:00,LONG,-4643.99,-5042.19,994957.81,1123819.88,128862.07,11.4664
T00042,2021-05-21,2021-05-21 07:00:00+00:00,SHORT,-12153.67,-17195.85,982804.15,1123819.88,141015.73,12.5479
T00043,2021-05-21,2021-05-21 07:30:00+00:00,SHORT,-185.36,-17381.21,982618.79,1123819.88,141201.09,12.5644
T00044,2021-05-21,2021-05-21 10:00:00+00:00,SHORT,-24874.98,-42256.19,957743.81,1123819.88,166076.07,14.7778
T00045,2021-05-21,2021-05-21 10:30:00+00:00,LONG,-6100.68,-48356.87,951643.13,1123819.88,172176.75,15.3207
T00046,2021-05-21,2021-05-21 11:30:00+00:00,LONG,-5853.91,-54210.78,945789.22,1123819.88,178030.66,15.8416
T00047,2021-05-21,2021-05-21 12:00:00+00:00,SHORT,-6470.28,-60681.06,939318.94,1123819.88,184500.94,16.4173
T00048,2021-05-21,2021-05-21 13:00:00+00:00,LONG,-11855.26,-72536.32,927463.68,1123819.88,196356.20,17.4722
T00049,2021-05-21,2021-05-21 13:30:00+00:00,SHORT,-2632.03,-75168.35,924831.65,1123819.88,198988.23,17.7064
T00050,2021-05-21,2021-05-21 14:30:00+00:00,LONG,-12564.06,-87732.41,912267.59,1123819.88,211552.29,18.8244
T00051,2021-05-22,2021-05-22 11:00:00+00:00,SHORT,27896.97,-59835.45,940164.55,1123819.88,183655.33,16.3421
T00052,2021-05-22,2021-05-22 20:00:00+00:00,LONG,-28790.17,-88625.62,911374.38,1123819.88,212445.50,18.9039
T00053,2021-05-22,2021-05-22 22:30:00+00:00,LONG,3382.39,-85243.23,914756.77,1123819.88,209063.11,18.6029
T00054,2021-05-22,2021-05-22 23:00:00+00:00,LONG,-6988.83,-92232.06,907767.94,1123819.88,216051.94,19.2248
