trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2021-05-14,2021-05-13,2021-05-14,2021-05-13 07:00:00+00:00,2021-05-13 07:30:00+00:00,SHORT,51013.63,53757.77,2021-05-14 00:00:00+00:00,2021-05-14 00:30:00+00:00,49827.72,stop_loss_ma_touch,49827.72,1185.91,19.60260425,1000000.00,976753.08,23246.92,2.3247,23246.92,1023246.92,1,
T00002,2021-05-14,2021-05-14,2021-05-14,2021-05-14 00:00:00+00:00,2021-05-14 00:30:00+00:00,SHORT,49783.19,49830.45,2021-05-14 00:30:00+00:00,2021-05-14 01:00:00+00:00,49830.45,stop_loss_ma_touch,49830.45,-47.26,20.08710169,1000000.00,1000949.32,-949.32,-0.0949,22297.61,1022297.61,0,
T00003,2021-05-14,2021-05-14,2021-05-14,2021-05-14 00:30:00+00:00,2021-05-14 01:00:00+00:00,LONG,50063.95,49836.45,2021-05-14 02:00:00+00:00,2021-05-14 02:30:00+00:00,49822.94,stop_loss_ma_touch,49822.94,-241.01,19.97445268,1000000.00,995185.96,-4814.04,-0.4814,17483.57,1017483.57,0,
T00004,2021-05-14,2021-05-14,2021-05-14,2021-05-14 02:00:00+00:00,2021-05-14 02:30:00+00:00,SHORT,49541.47,49804.11,2021-05-14 05:30:00+00:00,2021-05-14 06:00:00+00:00,49662.05,stop_loss_ma_touch,49662.05,-120.58,20.18510957,1000000.00,1002433.92,-2433.92,-0.2434,15049.64,1015049.64,0,
T00005,2021-05-14,2021-05-14,2021-05-14,2021-05-14 05:30:00+00:00,2021-05-14 06:00:00+00:00,LONG,49724.99,49636.39,2021-05-14 06:00:00+00:00,2021-05-14 06:30:00+00:00,49636.39,stop_loss_ma_touch,49636.39,-88.60,20.11061239,1000000.00,998218.20,-1781.80,-0.1782,13267.84,1013267.84,0,
T00006,2021-05-14,2021-05-14,2021-05-14,2021-05-14 06:00:00+00:00,2021-05-14 06:30:00+00:00,SHORT,49063.52,49597.61,2021-05-14 07:00:00+00:00,2021-05-14 07:30:00+00:00,49550.52,stop_loss_ma_touch,49550.52,-487.00,20.38174187,1000000.00,1009925.91,-9925.91,-0.9926,3341.94,1003341.94,0,
T00007,2021-05-14,2021-05-14,2021-05-14,2021-05-14 07:00:00+00:00,2021-05-14 07:30:00+00:00,LONG,49970.31,49528.79,2021-05-14 18:30:00+00:00,2021-05-14 19:00:00+00:00,49978.76,stop_loss_ma_touch,49978.76,8.45,20.01188306,1000000.00,1000169.10,169.10,0.0169,3511.04,1003511.04,0,
T00008,2021-05-14,2021-05-14,2021-05-14,2021-05-14 18:30:00+00:00,2021-05-14 19:00:00+00:00,LONG,50525.35,50035.09,2021-05-14 20:00:00+00:00,2021-05-14 20:30:00+00:00,50098.38,stop_loss_ma_touch,50098.38,-426.97,19.79204498,1000000.00,991549.39,-8450.61,-0.8451,-4939.57,995060.43,0,
T00009,2021-05-14,2021-05-14,2021-05-14,2021-05-14 20:00:00+00:00,2021-05-14 20:30:00+00:00,SHORT,49802.21,50113.42,2021-05-14 22:30:00+00:00,2021-05-14 23:00:00+00:00,50129.42,stop_loss_ma_touch,50129.42,-327.21,20.07943021,1000000.00,1006570.19,-6570.19,-0.6570,-11509.76,988490.24,0,
T00010,2021-05-14,2021-05-14,2021-05-14,2021-05-14 22:30:00+00:00,2021-05-14 23:00:00+00:00,SHORT,49965.88,50151.73,2021-05-14 23:00:00+00:00,2021-05-14 23:30:00+00:00,50151.73,stop_loss_ma_touch,50151.73,-185.85,20.01365732,1000000.00,1003719.54,-3719.54,-0.3720,-15229.30,984770.70,0,
T00011,2021-05-15,2021-05-14,2021-05-15,2021-05-14 23:00:00+00:00,2021-05-14 23:30:00+00:00,SHORT,50019.99,50170.15,2021-05-15 00:00:00+00:00,2021-05-15 00:30:00+00:00,50174.39,stop_loss_ma_touch,50174.39,-154.40,19.99200720,1000000.00,1003086.77,-3086.77,-0.3087,-18316.07,981683.93,1,
T00012,2021-05-15,2021-05-15,2021-05-15,2021-05-15 00:00:00+00:00,2021-05-15 00:30:00+00:00,SHORT,49584.19,50170.24,2021-05-15 01:00:00+00:00,2021-05-15 01:30:00+00:00,50158.40,stop_loss_ma_touch,50158.40,-574.21,20.16771878,1000000.00,1011580.51,-11580.51,-1.1581,-29896.57,970103.43,0,
T00013,2021-05-15,2021-05-15,2021-05-15,2021-05-15 01:00:00+00:00,2021-05-15 01:30:00+00:00,LONG,50395.69,50161.82,2021-05-15 02:30:00+00:00,2021-05-15 03:00:00+00:00,50190.90,stop_loss_ma_touch,50190.90,-204.79,19.84296673,1000000.00,995936.36,-4063.64,-0.4064,-33960.21,966039.79,0,
