trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,holding_days,remarks
T00001,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 00:30:00+00:00,LONG,103788.54,103612.77,2025-05-15 01:00:00+00:00,2025-05-15 01:30:00+00:00,103611.10,stop_loss_ma_touch,103611.10,-177.44,0,
T00002,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:00:00+00:00,2025-05-15 01:30:00+00:00,SHORT,103500.02,103602.61,2025-05-15 15:30:00+00:00,2025-05-15 16:00:00+00:00,102860.57,stop_loss_ma_touch,102860.57,639.45,0,
T00003,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:30:00+00:00,2025-05-15 16:00:00+00:00,LONG,103286.86,102855.36,2025-05-15 18:30:00+00:00,2025-05-15 19:00:00+00:00,102902.17,stop_loss_ma_touch,102902.17,-384.69,0,
T00004,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:30:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102884.90,2025-05-15 19:00:00+00:00,2025-05-15 19:30:00+00:00,102884.90,stop_loss_ma_touch,102884.90,-172.53,0,
T00005,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 19:30:00+00:00,SHORT,102824.45,102869.80,2025-05-15 19:30:00+00:00,2025-05-15 20:00:00+00:00,102869.80,stop_loss_ma_touch,102869.80,-45.35,0,
T00006,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:30:00+00:00,2025-05-15 20:00:00+00:00,LONG,103179.60,102867.25,2025-05-15 21:00:00+00:00,2025-05-15 21:30:00+00:00,102862.36,stop_loss_ma_touch,102862.36,-317.24,0,
T00007,2025-05-15,2025-05-15,2025-05-15,2025-05-15 21:00:00+00:00,2025-05-15 21:30:00+00:00,LONG,103074.03,102852.26,2025-05-15 21:30:00+00:00,2025-05-15 22:00:00+00:00,102852.26,stop_loss_ma_touch,102852.26,-221.77,0,
T00008,2025-05-16,2025-05-15,2025-05-16,2025-05-15 21:30:00+00:00,2025-05-15 22:00:00+00:00,LONG,103323.25,102845.12,2025-05-16 08:00:00+00:00,2025-05-16 08:30:00+00:00,103240.07,stop_loss_ma_touch,103240.07,-83.18,1,
T00009,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:00:00+00:00,2025-05-16 08:30:00+00:00,LONG,103292.31,103265.34,2025-05-16 08:30:00+00:00,2025-05-16 09:00:00+00:00,103265.34,stop_loss_ma_touch,103265.34,-26.97,0,
T00010,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:30:00+00:00,2025-05-16 09:00:00+00:00,LONG,103427.69,103289.09,2025-05-16 13:00:00+00:00,2025-05-16 13:30:00+00:00,103544.05,stop_loss_ma_touch,103544.05,116.36,0,
T00011,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:00:00+00:00,2025-05-16 13:30:00+00:00,SHORT,103547.15,103563.91,2025-05-16 13:30:00+00:00,2025-05-16 14:00:00+00:00,103563.91,stop_loss_ma_touch,103563.91,-16.76,0,
T00012,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:30:00+00:00,2025-05-16 14:00:00+00:00,LONG,104048.99,103603.02,2025-05-16 14:00:00+00:00,2025-05-16 14:30:00+00:00,103603.02,stop_loss_ma_touch,103603.02,-445.97,0,
T00013,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:00:00+00:00,2025-05-16 14:30:00+00:00,LONG,103864.36,103640.58,2025-05-16 14:30:00+00:00,2025-05-16 15:00:00+00:00,103640.58,stop_loss_ma_touch,103640.58,-223.78,0,
T00014,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:30:00+00:00,2025-05-16 15:00:00+00:00,SHORT,103619.05,103674.34,2025-05-16 15:00:00+00:00,2025-05-16 15:30:00+00:00,103674.34,stop_loss_ma_touch,103674.34,-55.29,0,
T00015,2025-05-16,2025-05-16,2025-05-16,2025-05-16 15:00:00+00:00,2025-05-16 15:30:00+00:00,LONG,103882.03,103702.40,2025-05-16 18:30:00+00:00,2025-05-16 19:00:00+00:00,103758.65,stop_loss_ma_touch,103758.65,-123.38,0,
T00016,2025-05-16,2025-05-16,2025-05-16,2025-05-16 18:30:00+00:00,2025-05-16 19:00:00+00:00,SHORT,103721.93,103779.68,2025-05-16 19:00:00+00:00,2025-05-16 19:30:00+00:00,103779.68,stop_loss_ma_touch,103779.68,-57.75,0,
T00017,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:00:00+00:00,2025-05-16 19:30:00+00:00,SHORT,103699.42,103797.91,2025-05-16 19:30:00+00:00,2025-05-16 20:00:00+00:00,103797.91,stop_loss_ma_touch,103797.91,-98.49,0,
T00018,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:30:00+00:00,2025-05-16 20:00:00+00:00,LONG,104069.32,103816.45,2025-05-16 20:30:00+00:00,2025-05-16 21:00:00+00:00,103828.27,stop_loss_ma_touch,103828.27,-241.05,0,
T00019,2025-05-17,2025-05-16,2025-05-17,2025-05-16 20:30:00+00:00,2025-05-16 21:00:00+00:00,SHORT,103718.91,103833.72,2025-05-17 05:00:00+00:00,2025-05-17 05:30:00+00:00,103699.43,stop_loss_ma_touch,103699.43,19.48,1,
T00020,2025-05-17,2025-05-17,2025-05-17,2025-05-17 05:00:00+00:00,2025-05-17 05:30:00+00:00,SHORT,103575.51,103689.46,2025-05-17 07:00:00+00:00,2025-05-17 07:30:00+00:00,103653.99,stop_loss_ma_touch,103653.99,-78.48,0,
T00021,2025-05-17,2025-05-17,2025-05-17,2025-05-17 07:00:00+00:00,2025-05-17 07:30:00+00:00,SHORT,103639.41,103644.32,2025-05-17 07:30:00+00:00,2025-05-17 08:00:00+00:00,103644.32,stop_loss_ma_touch,103644.32,-4.91,0,
T00022,2025-05-17,2025-05-17,2025-05-17,2025-05-17 07:30:00+00:00,2025-05-17 08:00:00+00:00,SHORT,103476.63,103638.89,2025-05-17 18:00:00+00:00,2025-05-17 18:30:00+00:00,103326.98,stop_loss_ma_touch,103326.98,149.65,0,
T00023,2025-05-17,2025-05-17,2025-05-17,2025-05-17 18:00:00+00:00,2025-05-17 18:30:00+00:00,SHORT,103239.30,103312.94,2025-05-17 20:30:00+00:00,2025-05-17 21:00:00+00:00,103252.90,stop_loss_ma_touch,103252.90,-13.60,0,
T00024,2025-05-17,2025-05-17,2025-05-17,2025-05-17 20:30:00+00:00,2025-05-17 21:00:00+00:00,LONG,103406.89,103246.40,2025-05-17 21:00:00+00:00,2025-05-17 21:30:00+00:00,103246.40,stop_loss_ma_touch,103246.40,-160.49,0,
T00025,2025-05-17,2025-05-17,2025-05-17,2025-05-17 21:00:00+00:00,2025-05-17 21:30:00+00:00,LONG,103248.64,103239.07,2025-05-17 21:30:00+00:00,2025-05-17 22:00:00+00:00,103239.07,stop_loss_ma_touch,103239.07,-9.57,0,
T00026,2025-05-17,2025-05-17,2025-05-17,2025-05-17 21:30:00+00:00,2025-05-17 22:00:00+00:00,LONG,103286.46,103231.74,2025-05-17 22:00:00+00:00,2025-05-17 22:30:00+00:00,103231.74,stop_loss_ma_touch,103231.74,-54.72,0,
T00027,2025-05-17,2025-05-17,2025-05-17,2025-05-17 22:00:00+00:00,2025-05-17 22:30:00+00:00,SHORT,102977.18,103220.85,2025-05-17 23:00:00+00:00,2025-05-17 23:30:00+00:00,103210.82,stop_loss_ma_touch,103210.82,-233.64,0,
T00028,2025-05-18,2025-05-17,2025-05-18,2025-05-17 23:00:00+00:00,2025-05-17 23:30:00+00:00,SHORT,103195.57,103201.21,2025-05-17 23:30:00+00:00,2025-05-18 00:00:00+00:00,103201.21,stop_loss_ma_touch,103201.21,-5.64,1,
