trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 00:15:00+00:00,LONG,103726.32,103617.73,2025-05-15 01:00:00+00:00,2025-05-15 01:15:00+00:00,103615.70,stop_loss_ma_touch,103615.70,-110.62,9.64075463,1000000.00,998933.54,-1066.46,-0.1066,-1066.46,998933.54,0,
T00002,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:00:00+00:00,2025-05-15 01:15:00+00:00,SHORT,103601.48,103611.32,2025-05-15 01:15:00+00:00,2025-05-15 01:30:00+00:00,103611.32,stop_loss_ma_touch,103611.32,-9.84,9.65237176,1000000.00,1000094.98,-94.98,-0.0095,-1161.44,998838.56,0,
T00003,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:15:00+00:00,2025-05-15 01:30:00+00:00,SHORT,103500.02,103607.07,2025-05-15 15:30:00+00:00,2025-05-15 15:45:00+00:00,102849.61,stop_loss_ma_touch,102849.61,650.41,9.66183388,1000000.00,993715.85,6284.15,0.6284,5122.71,1005122.71,0,
T00004,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:30:00+00:00,2025-05-15 15:45:00+00:00,LONG,103021.05,102845.56,2025-05-15 18:45:00+00:00,2025-05-15 19:00:00+00:00,102887.38,stop_loss_ma_touch,102887.38,-133.67,9.70675411,1000000.00,998702.50,-1297.50,-0.1298,3825.21,1003825.21,0,
T00005,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:45:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102878.74,2025-05-15 19:00:00+00:00,2025-05-15 19:15:00+00:00,102878.74,stop_loss_ma_touch,102878.74,-166.37,9.73592567,1000000.00,1001619.77,-1619.77,-0.1620,2205.45,1002205.45,0,
T00006,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 19:15:00+00:00,LONG,103053.86,102873.49,2025-05-15 19:15:00+00:00,2025-05-15 19:30:00+00:00,102873.49,stop_loss_ma_touch,102873.49,-180.37,9.70366370,1000000.00,998249.75,-1750.25,-0.1750,455.20,1000455.20,0,
T00007,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:15:00+00:00,2025-05-15 19:30:00+00:00,SHORT,102824.45,102865.94,2025-05-15 19:30:00+00:00,2025-05-15 19:45:00+00:00,102865.94,stop_loss_ma_touch,102865.94,-41.49,9.72531339,1000000.00,1000403.50,-403.50,-0.0404,51.69,1000051.69,0,
T00008,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:30:00+00:00,2025-05-15 19:45:00+00:00,LONG,103082.90,102861.59,2025-05-15 21:15:00+00:00,2025-05-15 21:30:00+00:00,102850.94,stop_loss_ma_touch,102850.94,-231.96,9.70093003,1000000.00,997749.77,-2250.23,-0.2250,-2198.53,997801.47,0,
T00009,2025-05-16,2025-05-15,2025-05-16,2025-05-15 21:15:00+00:00,2025-05-15 21:30:00+00:00,LONG,103074.03,102845.89,2025-05-16 08:15:00+00:00,2025-05-16 08:30:00+00:00,103248.87,stop_loss_ma_touch,103248.87,174.84,9.70176484,1000000.00,1001696.26,1696.26,0.1696,-502.28,999497.72,1,
T00010,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:15:00+00:00,2025-05-16 08:30:00+00:00,LONG,103292.31,103261.50,2025-05-16 08:30:00+00:00,2025-05-16 08:45:00+00:00,103261.50,stop_loss_ma_touch,103261.50,-30.81,9.68126282,1000000.00,999701.72,-298.28,-0.0298,-800.56,999199.44,0,
T00011,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:30:00+00:00,2025-05-16 08:45:00+00:00,LONG,103338.96,103273.41,2025-05-16 08:45:00+00:00,2025-05-16 09:00:00+00:00,103273.41,stop_loss_ma_touch,103273.41,-65.55,9.67689243,1000000.00,999365.68,-634.32,-0.0634,-1434.88,998565.12,0,
T00012,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:45:00+00:00,2025-05-16 09:00:00+00:00,LONG,103427.69,103285.28,2025-05-16 12:45:00+00:00,2025-05-16 13:00:00+00:00,103538.95,stop_loss_ma_touch,103538.95,111.26,9.66859068,1000000.00,1001075.73,1075.73,0.1076,-359.15,999640.85,0,
T00013,2025-05-16,2025-05-16,2025-05-16,2025-05-16 12:45:00+00:00,2025-05-16 13:00:00+00:00,SHORT,103542.51,103548.92,2025-05-16 13:00:00+00:00,2025-05-16 13:15:00+00:00,103548.92,stop_loss_ma_touch,103548.92,-6.41,9.65786902,1000000.00,1000061.91,-61.91,-0.0062,-421.06,999578.94,0,
T00014,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:00:00+00:00,2025-05-16 13:15:00+00:00,LONG,103664.57,103558.17,2025-05-16 13:15:00+00:00,2025-05-16 13:30:00+00:00,103558.17,stop_loss_ma_touch,103558.17,-106.40,9.64649735,1000000.00,998973.61,-1026.39,-0.1026,-1447.45,998552.55,0,
T00015,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:15:00+00:00,2025-05-16 13:30:00+00:00,SHORT,103547.15,103568.10,2025-05-16 13:30:00+00:00,2025-05-16 13:45:00+00:00,103568.10,stop_loss_ma_touch,103568.10,-20.95,9.65743625,1000000.00,1000202.32,-202.32,-0.0202,-1649.77,998350.23,0,
T00016,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:30:00+00:00,2025-05-16 13:45:00+00:00,LONG,103782.19,103582.94,2025-05-16 14:00:00+00:00,2025-05-16 14:15:00+00:00,103602.50,stop_loss_ma_touch,103602.50,-179.69,9.63556464,1000000.00,998268.59,-1731.41,-0.1731,-3381.18,996618.82,0,
T00017,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:00:00+00:00,2025-05-16 14:15:00+00:00,LONG,103640.12,103618.00,2025-05-16 14:15:00+00:00,2025-05-16 14:30:00+00:00,103618.00,stop_loss_ma_touch,103618.00,-22.12,9.64877308,1000000.00,999786.57,-213.43,-0.0213,-3594.61,996405.39,0,
T00018,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:15:00+00:00,2025-05-16 14:30:00+00:00,LONG,103864.36,103636.78,2025-05-16 14:30:00+00:00,2025-05-16 14:45:00+00:00,103636.78,stop_loss_ma_touch,103636.78,-227.58,9.62794167,1000000.00,997808.87,-2191.13,-0.2191,-5785.74,994214.26,0,
T00019,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:30:00+00:00,2025-05-16 14:45:00+00:00,SHORT,103377.66,103654.33,2025-05-16 14:45:00+00:00,2025-05-16 15:00:00+00:00,103654.33,stop_loss_ma_touch,103654.33,-276.67,9.67326983,1000000.00,1002676.30,-2676.30,-0.2676,-8462.04,991537.96,0,
T00020,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:45:00+00:00,2025-05-16 15:00:00+00:00,SHORT,103619.05,103671.21,2025-05-16 15:00:00+00:00,2025-05-16 15:15:00+00:00,103671.21,stop_loss_ma_touch,103671.21,-52.16,9.65073507,1000000.00,1000503.38,-503.38,-0.0503,-8965.43,991034.57,0,
T00021,2025-05-16,2025-05-16,2025-05-16,2025-05-16 15:00:00+00:00,2025-05-16 15:15:00+00:00,LONG,104146.26,103692.24,2025-05-16 18:45:00+00:00,2025-05-16 19:00:00+00:00,103772.96,stop_loss_ma_touch,103772.96,-373.30,9.60188105,1000000.00,996415.62,-3584.38,-0.3584,-12549.81,987450.19,0,
T00022,2025-05-16,2025-05-16,2025-05-16,2025-05-16 18:45:00+00:00,2025-05-16 19:00:00+00:00,SHORT,103721.93,103783.47,2025-05-16 19:00:00+00:00,2025-05-16 19:15:00+00:00,103783.47,stop_loss_ma_touch,103783.47,-61.54,9.64116267,1000000.00,1000593.32,-593.32,-0.0593,-13143.13,986856.87,0,
T00023,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:00:00+00:00,2025-05-16 19:15:00+00:00,SHORT,103763.89,103790.87,2025-05-16 19:30:00+00:00,2025-05-16 19:45:00+00:00,103799.98,stop_loss_ma_touch,103799.98,-36.09,9.63726398,1000000.00,1000347.81,-347.81,-0.0348,-13490.93,986509.07,0,
T00024,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:30:00+00:00,2025-05-16 19:45:00+00:00,LONG,103832.49,103807.79,2025-05-16 19:45:00+00:00,2025-05-16 20:00:00+00:00,103807.79,stop_loss_ma_touch,103807.79,-24.70,9.63089684,1000000.00,999762.12,-237.88,-0.0238,-13728.82,986271.18,0,
T00025,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:45:00+00:00,2025-05-16 20:00:00+00:00,LONG,104069.32,103817.06,2025-05-16 20:30:00+00:00,2025-05-16 20:45:00+00:00,103833.21,stop_loss_ma_touch,103833.21,-236.11,9.60897986,1000000.00,997731.22,-2268.78,-0.2269,-15997.59,984002.41,0,
T00026,2025-05-17,2025-05-16,2025-05-17,2025-05-16 20:30:00+00:00,2025-05-16 20:45:00+00:00,SHORT,103642.83,103834.68,2025-05-17 05:00:00+00:00,2025-05-17 05:15:00+00:00,103697.67,stop_loss_ma_touch,103697.67,-54.84,9.64852079,1000000.00,1000529.12,-529.12,-0.0529,-16526.72,983473.28,1,
