trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2025-05-15,2025-05-15 02:00:00+00:00,LONG,-1979.07,-1979.07,998020.93,1000000.00,1979.07,0.1979
T00002,2025-05-15,2025-05-15 16:00:00+00:00,SHORT,1931.82,-47.25,999952.75,1000000.00,47.25,0.0047
T00003,2025-05-15,2025-05-15 19:00:00+00:00,LONG,-3761.27,-3808.52,996191.48,1000000.00,3808.52,0.3809
T00004,2025-05-15,2025-05-15 20:00:00+00:00,SHORT,-1474.51,-5283.02,994716.98,1000000.00,5283.02,0.5283
T00005,2025-05-15,2025-05-15 22:00:00+00:00,LONG,-3159.73,-8442.76,991557.24,1000000.00,8442.76,0.8443
T00006,2025-05-16,2025-05-16 09:00:00+00:00,LONG,-699.75,-9142.50,990857.50,1000000.00,9142.50,0.9143
T00007,2025-05-16,2025-05-16 14:00:00+00:00,LONG,1270.26,-7872.24,992127.76,1000000.00,7872.24,0.7872
T00008,2025-05-16,2025-05-16 15:00:00+00:00,LONG,-3956.89,-11829.13,988170.87,1000000.00,11829.13,1.1829
T00009,2025-05-16,2025-05-16 16:00:00+00:00,SHORT,-827.55,-12656.68,987343.32,1000000.00,12656.68,1.2657
T00010,2025-05-16,2025-05-16 19:00:00+00:00,LONG,-4561.09,-17217.77,982782.23,1000000.00,17217.77,1.7218
T00011,2025-05-16,2025-05-16 20:00:00+00:00,SHORT,-714.80,-17932.57,982067.43,1000000.00,17932.57,1.7933
T00012,2025-05-16,2025-05-16 21:00:00+00:00,LONG,-2269.45,-20202.02,979797.98,1000000.00,20202.02,2.0202
T00013,2025-05-17,2025-05-17 06:00:00+00:00,SHORT,104.71,-20097.31,979902.69,1000000.00,20097.31,2.0097
T00014,2025-05-17,2025-05-17 19:00:00+00:00,SHORT,576.43,-19520.88,980479.12,1000000.00,19520.88,1.9521
T00015,2025-05-17,2025-05-17 21:00:00+00:00,SHORT,-2175.23,-21696.11,978303.89,1000000.00,21696.11,2.1696
T00016,2025-05-17,2025-05-17 22:00:00+00:00,LONG,-1623.01,-23319.12,976680.88,1000000.00,23319.12,2.3319
T00017,2025-05-17,2025-05-17 23:00:00+00:00,LONG,-600.95,-23920.07,976079.93,1000000.00,23920.07,2.3920
T00018,2025-05-18,2025-05-18 00:00:00+00:00,SHORT,-1269.97,-25190.04,974809.96,1000000.00,25190.04,2.5190
T00019,2025-05-18,2025-05-18 01:00:00+00:00,SHORT,-282.57,-25472.61,974527.39,1000000.00,25472.61,2.5473
T00020,2025-05-18,2025-05-18 02:00:00+00:00,LONG,-2098.19,-27570.79,972429.21,1000000.00,27570.79,2.7571
T00021,2025-05-18,2025-05-18 04:00:00+00:00,LONG,-810.78,-28381.57,971618.43,1000000.00,28381.57,2.8382
T00022,2025-05-18,2025-05-18 20:00:00+00:00,LONG,5932.39,-22449.18,977550.82,1000000.00,22449.18,2.2449
T00023,2025-05-18,2025-05-18 21:00:00+00:00,SHORT,-374.02,-22823.20,977176.80,1000000.00,22823.20,2.2823
T00024,2025-05-18,2025-05-18 23:00:00+00:00,LONG,-759.28,-23582.47,976417.53,1000000.00,23582.47,2.3582
T00025,2025-05-19,2025-05-19 04:00:00+00:00,LONG,-13906.81,-37489.28,962510.72,1000000.00,37489.28,3.7489
T00026,2025-05-19,2025-05-19 15:00:00+00:00,SHORT,-4781.21,-42270.50,957729.50,1000000.00,42270.50,4.2271
T00027,2025-05-20,2025-05-20 09:00:00+00:00,LONG,5168.01,-37102.49,962897.51,1000000.00,37102.49,3.7102
T00028,2025-05-20,2025-05-20 11:00:00+00:00,LONG,-1662.69,-38765.18,961234.82,1000000.00,38765.18,3.8765
T00029,2025-05-20,2025-05-20 12:00:00+00:00,SHORT,-1116.87,-39882.06,960117.94,1000000.00,39882.06,3.9882
T00030,2025-05-20,2025-05-20 16:00:00+00:00,SHORT,-1659.99,-41542.05,958457.95,1000000.00,41542.05,4.1542
T00031,2025-05-20,2025-05-20 17:00:00+00:00,SHORT,-572.88,-42114.93,957885.07,1000000.00,42114.93,4.2115
T00032,2025-05-20,2025-05-20 18:00:00+00:00,SHORT,-1812.39,-43927.32,956072.68,1000000.00,43927.32,4.3927
T00033,2025-05-20,2025-05-20 19:00:00+00:00,LONG,-7352.59,-51279.91,948720.09,1000000.00,51279.91,5.1280
T00034,2025-05-20,2025-05-20 20:00:00+00:00,SHORT,-1658.55,-52938.47,947061.53,1000000.00,52938.47,5.2938
T00035,2025-05-21,2025-05-21 00:00:00+00:00,LONG,-1895.02,-54833.48,945166.52,1000000.00,54833.48,5.4833
