trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2025-05-15,2025-05-15 01:30:00+00:00,LONG,-1709.63,-1709.63,998290.37,1000000.00,1709.63,0.1710
T00002,2025-05-15,2025-05-15 16:00:00+00:00,SHORT,6178.26,4468.63,1004468.63,1004468.63,0.00,0.0000
T00003,2025-05-15,2025-05-15 19:00:00+00:00,LONG,-3724.48,744.15,1000744.15,1004468.63,3724.48,0.3708
T00004,2025-05-15,2025-05-15 19:30:00+00:00,SHORT,-1679.74,-935.59,999064.41,1004468.63,5404.22,0.5380
T00005,2025-05-15,2025-05-15 20:00:00+00:00,SHORT,-441.04,-1376.63,998623.37,1004468.63,5845.26,0.5819
T00006,2025-05-15,2025-05-15 21:30:00+00:00,LONG,-3074.64,-4451.27,995548.73,1004468.63,8919.90,0.8880
T00007,2025-05-15,2025-05-15 22:00:00+00:00,LONG,-2151.56,-6602.83,993397.17,1004468.63,11071.46,1.1022
T00008,2025-05-16,2025-05-16 08:30:00+00:00,LONG,-805.05,-7407.88,992592.12,1004468.63,11876.51,1.1824
T00009,2025-05-16,2025-05-16 09:00:00+00:00,LONG,-261.10,-7668.98,992331.02,1004468.63,12137.61,1.2084
T00010,2025-05-16,2025-05-16 13:30:00+00:00,LONG,1125.04,-6543.95,993456.05,1004468.63,11012.58,1.0964
T00011,2025-05-16,2025-05-16 14:00:00+00:00,SHORT,-161.86,-6705.80,993294.20,1004468.63,11174.43,1.1125
T00012,2025-05-16,2025-05-16 14:30:00+00:00,LONG,-4286.15,-10991.96,989008.04,1004468.63,15460.59,1.5392
T00013,2025-05-16,2025-05-16 15:00:00+00:00,LONG,-2154.54,-13146.50,986853.50,1004468.63,17615.13,1.7537
T00014,2025-05-16,2025-05-16 15:30:00+00:00,SHORT,-533.59,-13680.09,986319.91,1004468.63,18148.72,1.8068
T00015,2025-05-16,2025-05-16 19:00:00+00:00,LONG,-1187.69,-14867.78,985132.22,1004468.63,19336.41,1.9250
T00016,2025-05-16,2025-05-16 19:30:00+00:00,SHORT,-556.78,-15424.56,984575.44,1004468.63,19893.19,1.9805
T00017,2025-05-16,2025-05-16 20:00:00+00:00,SHORT,-949.76,-16374.32,983625.68,1004468.63,20842.95,2.0750
T00018,2025-05-16,2025-05-16 21:00:00+00:00,LONG,-2316.24,-18690.57,981309.43,1004468.63,23159.20,2.3056
T00019,2025-05-17,2025-05-17 05:30:00+00:00,SHORT,187.82,-18502.75,981497.25,1004468.63,22971.38,2.2869
T00020,2025-05-17,2025-05-17 07:30:00+00:00,SHORT,-757.71,-19260.46,980739.54,1004468.63,23729.09,2.3624
T00021,2025-05-17,2025-05-17 08:00:00+00:00,SHORT,-47.38,-19307.84,980692.16,1004468.63,23776.47,2.3671
T00022,2025-05-17,2025-05-17 18:30:00+00:00,SHORT,1446.22,-17861.62,982138.38,1004468.63,22330.25,2.2231
T00023,2025-05-17,2025-05-17 21:00:00+00:00,SHORT,-131.73,-17993.35,982006.65,1004468.63,22461.98,2.2362
T00024,2025-05-17,2025-05-17 21:30:00+00:00,LONG,-1552.02,-19545.37,980454.63,1004468.63,24014.00,2.3907
T00025,2025-05-17,2025-05-17 22:00:00+00:00,LONG,-92.69,-19638.06,980361.94,1004468.63,24106.69,2.3999
T00026,2025-05-17,2025-05-17 22:30:00+00:00,LONG,-529.79,-20167.85,979832.15,1004468.63,24636.48,2.4527
T00027,2025-05-17,2025-05-17 23:30:00+00:00,SHORT,-2268.85,-22436.70,977563.30,1004468.63,26905.33,2.6786
T00028,2025-05-18,2025-05-18 00:00:00+00:00,SHORT,-54.65,-22491.36,977508.64,1004468.63,26959.99,2.6840
T00029,2025-05-18,2025-05-18 00:30:00+00:00,SHORT,-320.66,-22812.02,977187.98,1004468.63,27280.65,2.7159
T00030,2025-05-18,2025-05-18 02:00:00+00:00,LONG,-970.29,-23782.31,976217.69,1004468.63,28250.94,2.8125
T00031,2025-05-18,2025-05-18 03:30:00+00:00,LONG,-810.97,-24593.28,975406.72,1004468.63,29061.91,2.8933
T00032,2025-05-18,2025-05-18 04:00:00+00:00,SHORT,-466.26,-25059.54,974940.46,1004468.63,29528.17,2.9397
T00033,2025-05-18,2025-05-18 20:00:00+00:00,LONG,5814.31,-19245.23,980754.77,1004468.63,23713.86,2.3608
T00034,2025-05-18,2025-05-18 20:30:00+00:00,SHORT,-108.83,-19354.06,980645.94,1004468.63,23822.69,2.3717
T00035,2025-05-18,2025-05-18 21:00:00+00:00,LONG,-189.18,-19543.24,980456.76,1004468.63,24011.87,2.3905
T00036,2025-05-18,2025-05-18 22:30:00+00:00,LONG,-980.58,-20523.82,979476.18,1004468.63,24992.45,2.4881
T00037,2025-05-19,2025-05-19 03:30:00+00:00,LONG,-5987.05,-26510.87,973489.13,1004468.63,30979.50,3.0842
