trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2025-05-15,2025-05-15 01:15:00+00:00,LONG,-1066.48,-1066.48,998933.52,1000000.00,1066.48,0.1066
T00002,2025-05-15,2025-05-15 01:30:00+00:00,SHORT,-94.95,-1161.43,998838.57,1000000.00,1161.43,0.1161
T00003,2025-05-15,2025-05-15 01:45:00+00:00,SHORT,2068.57,907.14,1000907.14,1000907.14,0.00,0.0000
T00004,2025-05-15,2025-05-15 07:30:00+00:00,SHORT,10019.68,10926.82,1010926.82,1010926.82,0.00,0.0000
T00005,2025-05-15,2025-05-15 14:00:00+00:00,SHORT,8751.86,19678.67,1019678.67,1019678.67,0.00,0.0000
T00006,2025-05-15,2025-05-15 15:45:00+00:00,SHORT,-3067.81,16610.86,1016610.86,1019678.67,3067.81,0.3009
T00007,2025-05-15,2025-05-15 16:15:00+00:00,LONG,3406.95,20017.81,1020017.81,1020017.81,0.00,0.0000
T00008,2025-05-15,2025-05-15 17:15:00+00:00,LONG,6799.54,26817.35,1026817.35,1026817.35,0.00,0.0000
T00009,2025-05-15,2025-05-15 19:00:00+00:00,LONG,-4300.52,22516.83,1022516.83,1026817.35,4300.52,0.4188
T00010,2025-05-15,2025-05-15 19:15:00+00:00,SHORT,-1619.79,20897.04,1020897.04,1026817.35,5920.31,0.5766
T00011,2025-05-15,2025-05-15 19:30:00+00:00,LONG,-1750.23,19146.82,1019146.82,1026817.35,7670.53,0.7470
T00012,2025-05-15,2025-05-15 19:45:00+00:00,SHORT,-403.52,18743.30,1018743.30,1026817.35,8074.05,0.7863
T00013,2025-05-15,2025-05-15 21:30:00+00:00,LONG,-2250.27,16493.04,1016493.04,1026817.35,10324.31,1.0055
T00014,2025-05-15,2025-05-15 22:15:00+00:00,LONG,4426.78,20919.81,1020919.81,1026817.35,5897.54,0.5744
T00015,2025-05-16,2025-05-16 08:30:00+00:00,LONG,-4708.18,16211.63,1016211.63,1026817.35,10605.72,1.0329
T00016,2025-05-16,2025-05-16 08:45:00+00:00,LONG,-298.29,15913.35,1015913.35,1026817.35,10904.00,1.0619
T00017,2025-05-16,2025-05-16 09:00:00+00:00,LONG,-634.37,15278.98,1015278.98,1026817.35,11538.37,1.1237
T00018,2025-05-16,2025-05-16 09:30:00+00:00,LONG,2753.82,18032.81,1018032.81,1026817.35,8784.54,0.8555
T00019,2025-05-16,2025-05-16 13:00:00+00:00,LONG,-1571.32,16461.48,1016461.48,1026817.35,10355.87,1.0085
T00020,2025-05-16,2025-05-16 13:15:00+00:00,SHORT,-61.93,16399.55,1016399.55,1026817.35,10417.80,1.0146
T00021,2025-05-16,2025-05-16 13:30:00+00:00,LONG,-1026.42,15373.14,1015373.14,1026817.35,11444.21,1.1145
T00022,2025-05-16,2025-05-16 13:45:00+00:00,SHORT,-202.31,15170.82,1015170.82,1026817.35,11646.53,1.1342
T00023,2025-05-16,2025-05-16 14:15:00+00:00,LONG,-1731.45,13439.37,1013439.37,1026817.35,13377.98,1.3029
T00024,2025-05-16,2025-05-16 14:30:00+00:00,LONG,-213.42,13225.95,1013225.95,1026817.35,13591.40,1.3236
T00025,2025-05-16,2025-05-16 14:45:00+00:00,LONG,-2191.12,11034.83,1011034.83,1026817.35,15782.52,1.5370
T00026,2025-05-16,2025-05-16 15:00:00+00:00,SHORT,-2676.33,8358.50,1008358.50,1026817.35,18458.85,1.7977
T00027,2025-05-16,2025-05-16 15:15:00+00:00,SHORT,-503.42,7855.08,1007855.08,1026817.35,18962.27,1.8467
T00028,2025-05-16,2025-05-16 19:00:00+00:00,LONG,-3584.41,4270.67,1004270.67,1026817.35,22546.68,2.1958
T00029,2025-05-16,2025-05-16 19:15:00+00:00,SHORT,-593.35,3677.32,1003677.32,1026817.35,23140.03,2.2536
T00030,2025-05-16,2025-05-16 19:30:00+00:00,SHORT,520.02,4197.34,1004197.34,1026817.35,22620.01,2.2029
T00031,2025-05-16,2025-05-16 20:00:00+00:00,LONG,-237.86,3959.48,1003959.48,1026817.35,22857.87,2.2261
T00032,2025-05-16,2025-05-16 20:45:00+00:00,LONG,-2268.79,1690.69,1001690.69,1026817.35,25126.66,2.4470
T00033,2025-05-17,2025-05-17 00:45:00+00:00,SHORT,3702.16,5392.86,1005392.86,1026817.35,21424.49,2.0865
T00034,2025-05-17,2025-05-17 05:15:00+00:00,SHORT,-3052.29,2340.57,1002340.57,1026817.35,24476.78,2.3838
T00035,2025-05-17,2025-05-17 06:00:00+00:00,SHORT,1558.55,3899.12,1003899.12,1026817.35,22918.23,2.2320
T00036,2025-05-17,2025-05-17 07:30:00+00:00,SHORT,-1331.25,2567.87,1002567.87,1026817.35,24249.48,2.3616
T00037,2025-05-17,2025-05-17 07:45:00+00:00,SHORT,-64.70,2503.18,1002503.18,1026817.35,24314.17,2.3679
T00038,2025-05-17,2025-05-17 08:30:00+00:00,SHORT,2654.57,5157.74,1005157.74,1026817.35,21659.61,2.1094
T00039,2025-05-17,2025-05-17 09:15:00+00:00,SHORT,2711.74,7869.48,1007869.48,1026817.35,18947.87,1.8453
T00040,2025-05-17,2025-05-17 18:15:00+00:00,SHORT,-2863.12,5006.36,1005006.36,1026817.35,21810.99,2.1241
T00041,2025-05-17,2025-05-17 18:30:00+00:00,SHORT,-605.94,4400.42,1004400.42,1026817.35,22416.93,2.1831
T00042,2025-05-17,2025-05-17 18:45:00+00:00,SHORT,1491.67,5892.09,1005892.09,1026817.35,20925.26,2.0379
T00043,2025-05-17,2025-05-17 20:45:00+00:00,SHORT,-2224.94,3667.15,1003667.15,1026817.35,23150.20,2.2546
T00044,2025-05-17,2025-05-17 21:00:00+00:00,LONG,-269.70,3397.45,1003397.45,1026817.35,23419.90,2.2808
T00045,2025-05-17,2025-05-17 21:30:00+00:00,LONG,-1550.91,1846.54,1001846.54,1026817.35,24970.81,2.4319
T00046,2025-05-17,2025-05-17 21:45:00+00:00,LONG,-56.09,1790.44,1001790.44,1026817.35,25026.91,2.4373
T00047,2025-05-17,2025-05-17 22:00:00+00:00,LONG,-253.72,1536.72,1001536.72,1026817.35,25280.63,2.4620
