trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2025-05-15,2025-05-15 02:00:00+00:00,LONG,-1979.08,-1979.08,998020.92,1000000.00,1979.08,0.1979
T00002,2025-05-15,2025-05-15 08:00:00+00:00,SHORT,9764.30,7785.22,1007785.22,1007785.22,0.00,0.0000
T00003,2025-05-15,2025-05-15 14:00:00+00:00,SHORT,7861.36,15646.58,1015646.58,1015646.58,0.00,0.0000
T00004,2025-05-15,2025-05-15 18:00:00+00:00,LONG,8486.04,24132.63,1024132.63,1024132.63,0.00,0.0000
T00005,2025-05-15,2025-05-15 20:00:00+00:00,SHORT,-1474.48,22658.15,1022658.15,1024132.63,1474.48,0.1440
T00006,2025-05-15,2025-05-15 22:00:00+00:00,LONG,-3159.70,19498.45,1019498.45,1024132.63,4634.18,0.4525
T00007,2025-05-16,2025-05-16 03:00:00+00:00,LONG,9367.67,28866.12,1028866.12,1028866.12,0.00,0.0000
T00008,2025-05-16,2025-05-16 09:00:00+00:00,LONG,-4688.13,24177.99,1024177.99,1028866.12,4688.13,0.4557
T00009,2025-05-16,2025-05-16 10:00:00+00:00,LONG,2499.30,26677.29,1026677.29,1028866.12,2188.83,0.2127
T00010,2025-05-16,2025-05-16 14:00:00+00:00,LONG,-2732.44,23944.85,1023944.85,1028866.12,4921.27,0.4783
T00011,2025-05-16,2025-05-16 15:00:00+00:00,LONG,-3956.87,19987.97,1019987.97,1028866.12,8878.15,0.8629
T00012,2025-05-16,2025-05-16 16:00:00+00:00,SHORT,-827.59,19160.39,1019160.39,1028866.12,9705.73,0.9433
T00013,2025-05-16,2025-05-16 19:00:00+00:00,LONG,-4561.06,14599.32,1014599.32,1028866.12,14266.80,1.3867
T00014,2025-05-16,2025-05-16 20:00:00+00:00,SHORT,-714.78,13884.54,1013884.54,1028866.12,14981.58,1.4561
T00015,2025-05-16,2025-05-16 21:00:00+00:00,LONG,-2269.45,11615.10,1011615.10,1028866.12,17251.02,1.6767
T00016,2025-05-16,2025-05-16 23:00:00+00:00,SHORT,2412.81,14027.91,1014027.91,1028866.12,14838.21,1.4422
T00017,2025-05-17,2025-05-17 02:00:00+00:00,SHORT,6696.33,20724.23,1020724.23,1028866.12,8141.89,0.7913
T00018,2025-05-17,2025-05-17 06:00:00+00:00,SHORT,-3936.45,16787.79,1016787.79,1028866.12,12078.33,1.1739
T00019,2025-05-17,2025-05-17 14:00:00+00:00,SHORT,5950.06,22737.85,1022737.85,1028866.12,6128.27,0.5956
T00020,2025-05-17,2025-05-17 19:00:00+00:00,SHORT,-1506.15,21231.70,1021231.70,1028866.12,7634.42,0.7420
T00021,2025-05-17,2025-05-17 21:00:00+00:00,SHORT,-2175.20,19056.50,1019056.50,1028866.12,9809.62,0.9534
T00022,2025-05-17,2025-05-17 22:00:00+00:00,LONG,-1623.05,17433.45,1017433.45,1028866.12,11432.67,1.1112
T00023,2025-05-17,2025-05-17 23:00:00+00:00,LONG,-600.91,16832.54,1016832.54,1028866.12,12033.58,1.1696
T00024,2025-05-18,2025-05-18 00:00:00+00:00,SHORT,-1269.99,15562.55,1015562.55,1028866.12,13303.57,1.2930
T00025,2025-05-18,2025-05-18 01:00:00+00:00,SHORT,-282.56,15279.99,1015279.99,1028866.12,13586.13,1.3205
T00026,2025-05-18,2025-05-18 02:00:00+00:00,LONG,-2098.20,13181.79,1013181.79,1028866.12,15684.33,1.5244
T00027,2025-05-18,2025-05-18 04:00:00+00:00,LONG,-810.75,12371.05,1012371.05,1028866.12,16495.07,1.6032
T00028,2025-05-18,2025-05-18 06:00:00+00:00,LONG,2269.08,14640.12,1014640.12,1028866.12,14226.00,1.3827
T00029,2025-05-18,2025-05-18 09:00:00+00:00,LONG,5797.13,20437.25,1020437.25,1028866.12,8428.87,0.8192
T00030,2025-05-18,2025-05-18 14:00:00+00:00,LONG,9205.35,29642.60,1029642.60,1029642.60,0.00,0.0000
T00031,2025-05-18,2025-05-18 21:00:00+00:00,SHORT,-374.02,29268.58,1029268.58,1029642.60,374.02,0.0363
T00032,2025-05-18,2025-05-18 22:00:00+00:00,LONG,2273.99,31542.56,1031542.56,1031542.56,0.00,0.0000
T00033,2025-05-19,2025-05-19 04:00:00+00:00,LONG,-1562.80,29979.76,1029979.76,1031542.56,1562.80,0.1515
T00034,2025-05-19,2025-05-19 16:00:00+00:00,LONG,5273.72,35253.47,1035253.47,1035253.47,0.00,0.0000
T00035,2025-05-20,2025-05-20 09:00:00+00:00,LONG,-1550.17,33703.30,1033703.30,1035253.47,1550.17,0.1497
T00036,2025-05-20,2025-05-20 11:00:00+00:00,LONG,-1662.70,32040.60,1032040.60,1035253.47,3212.87,0.3103
T00037,2025-05-20,2025-05-20 12:00:00+00:00,SHORT,-1116.85,30923.75,1030923.75,1035253.47,4329.72,0.4182
T00038,2025-05-20,2025-05-20 13:00:00+00:00,SHORT,419.27,31343.02,1031343.02,1035253.47,3910.45,0.3777
T00039,2025-05-20,2025-05-20 17:00:00+00:00,SHORT,-572.87,30770.15,1030770.15,1035253.47,4483.32,0.4331
T00040,2025-05-20,2025-05-20 18:00:00+00:00,SHORT,-1812.43,28957.71,1028957.71,1035253.47,6295.76,0.6081
T00041,2025-05-20,2025-05-20 20:00:00+00:00,SHORT,-1658.57,27299.14,1027299.14,1035253.47,7954.33,0.7683
