trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,initial_stop_points,initial_risk_points,target_price_points,entry_gap_pct,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 01:00:00+00:00,LONG,103831.66,103626.17,103626.17,205.49,104242.64,0.1983,2025-05-15 01:00:00+00:00,2025-05-15 02:00:00+00:00,103626.17,stop_loss_ma_touch,103626.17,-205.49,9.63097383,1000000.00,998020.92,-1979.08,-0.1979,-1979.08,998020.92,0,
T00002,2025-05-15,2025-05-15,2025-05-15,2025-05-15 02:00:00+00:00,2025-05-15 03:00:00+00:00,SHORT,103068.27,103571.46,103571.46,503.19,102061.88,0.4858,2025-05-15 07:00:00+00:00,2025-05-15 08:00:00+00:00,102061.88,target_hit_2r,103377.69,1006.39,9.70230702,1000000.00,990235.70,9764.30,0.9764,7785.22,1007785.22,0,Fixed 2R target hit.
T00003,2025-05-15,2025-05-15,2025-05-15,2025-05-15 12:00:00+00:00,2025-05-15 13:00:00+00:00,SHORT,102585.25,102988.48,102988.48,403.23,101778.79,0.3915,2025-05-15 13:00:00+00:00,2025-05-15 14:00:00+00:00,101778.79,target_hit_2r,102988.48,806.46,9.74799009,1000000.00,992138.64,7861.36,0.7861,15646.58,1015646.58,0,Fixed 2R target hit.
T00004,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:00:00+00:00,2025-05-15 16:00:00+00:00,LONG,103286.86,102848.61,102848.61,438.25,104163.36,0.4261,2025-05-15 17:00:00+00:00,2025-05-15 18:00:00+00:00,104163.36,target_hit_2r,102868.75,876.50,9.68177365,1000000.00,1008486.04,8486.04,0.8486,24132.63,1024132.63,0,Fixed 2R target hit.
T00005,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:00:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102863.82,102863.82,151.45,102409.48,0.1472,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,102863.82,stop_loss_ma_touch,102863.82,-151.45,9.73592567,1000000.00,1001474.48,-1474.48,-0.1474,22658.15,1022658.15,0,
T00006,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,LONG,103179.60,102858.72,102858.72,320.88,103821.37,0.3120,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,102853.58,stop_loss_ma_touch,102853.58,-326.02,9.69183831,1000000.00,996840.30,-3159.70,-0.3160,19498.45,1019498.45,0,
T00007,2025-05-16,2025-05-15,2025-05-16,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,LONG,103323.25,102839.30,102839.30,483.95,104291.15,0.4706,2025-05-16 02:00:00+00:00,2025-05-16 03:00:00+00:00,104291.15,target_hit_2r,102889.24,967.90,9.67836378,1000000.00,1009367.67,9367.67,0.9368,28866.12,1028866.12,1,Fixed 2R target hit.
T00008,2025-05-16,2025-05-16,2025-05-16,2025-05-16 07:00:00+00:00,2025-05-16 08:00:00+00:00,LONG,103737.28,103250.95,103250.95,486.33,104709.95,0.4710,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,103250.95,stop_loss_ma_touch,103250.95,-486.33,9.63973607,1000000.00,995311.87,-4688.13,-0.4688,24177.99,1024177.99,0,
T00009,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,LONG,103427.69,103298.44,103298.44,129.25,103686.19,0.1251,2025-05-16 09:00:00+00:00,2025-05-16 10:00:00+00:00,103686.19,target_hit_2r,103298.44,258.50,9.66859068,1000000.00,1002499.30,2499.30,0.2499,26677.29,1026677.29,0,Fixed 2R target hit.
T00010,2025-05-16,2025-05-16,2025-05-16,2025-05-16 10:00:00+00:00,2025-05-16 11:00:00+00:00,LONG,103842.81,103464.83,103464.83,377.98,104598.77,0.3653,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,103559.07,stop_loss_ma_touch,103559.07,-283.74,9.62993971,1000000.00,997267.56,-2732.44,-0.2732,23944.85,1023944.85,0,
