trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,initial_stop_points,initial_risk_points,target_price_points,entry_gap_pct,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 00:30:00+00:00,LONG,103788.54,103612.77,103612.77,175.77,104140.08,0.1696,2025-05-15 01:00:00+00:00,2025-05-15 01:30:00+00:00,103611.10,stop_loss_ma_touch,103611.10,-177.44,9.63497511,1000000.00,998290.40,-1709.60,-0.1710,-1709.60,998290.40,0,
T00002,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:00:00+00:00,2025-05-15 01:30:00+00:00,SHORT,103500.02,103602.61,103602.61,102.59,103294.85,0.0990,2025-05-15 01:30:00+00:00,2025-05-15 02:00:00+00:00,103294.85,target_hit_2r,103602.61,205.17,9.66183388,1000000.00,998017.66,1982.34,0.1982,272.74,1000272.74,0,Fixed 2R target hit.
T00003,2025-05-15,2025-05-15,2025-05-15,2025-05-15 02:30:00+00:00,2025-05-15 03:00:00+00:00,SHORT,103068.27,103563.50,103563.50,495.23,102077.81,0.4782,2025-05-15 07:00:00+00:00,2025-05-15 07:30:00+00:00,102077.81,target_hit_2r,103389.23,990.46,9.70230702,1000000.00,990390.23,9609.77,0.9610,9882.51,1009882.51,0,Fixed 2R target hit.
T00004,2025-05-15,2025-05-15,2025-05-15,2025-05-15 12:00:00+00:00,2025-05-15 12:30:00+00:00,SHORT,102569.21,103027.38,103027.38,458.17,101652.87,0.4447,2025-05-15 13:30:00+00:00,2025-05-15 14:00:00+00:00,101652.87,target_hit_2r,102965.94,916.34,9.74951450,1000000.00,991066.13,8933.87,0.8934,18816.38,1018816.38,0,Fixed 2R target hit.
T00005,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:00:00+00:00,2025-05-15 15:30:00+00:00,SHORT,102535.05,102860.57,102860.57,325.52,101884.01,0.3165,2025-05-15 15:30:00+00:00,2025-05-15 16:00:00+00:00,102860.57,stop_loss_ma_touch,102860.57,-325.52,9.75276259,1000000.00,1003174.72,-3174.72,-0.3175,15641.66,1015641.66,0,
T00006,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:30:00+00:00,2025-05-15 16:00:00+00:00,LONG,103286.86,102855.36,102855.36,431.50,104149.86,0.4195,2025-05-15 17:00:00+00:00,2025-05-15 17:30:00+00:00,104149.86,target_hit_2r,102859.33,863.00,9.68177365,1000000.00,1008355.36,8355.36,0.8355,23997.02,1023997.02,0,Fixed 2R target hit.
T00007,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:30:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102884.90,102884.90,172.53,102367.31,0.1677,2025-05-15 19:00:00+00:00,2025-05-15 19:30:00+00:00,102884.90,stop_loss_ma_touch,102884.90,-172.53,9.73592567,1000000.00,1001679.72,-1679.72,-0.1680,22317.30,1022317.30,0,
T00008,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 19:30:00+00:00,SHORT,102824.45,102869.80,102869.80,45.35,102733.76,0.0441,2025-05-15 19:30:00+00:00,2025-05-15 20:00:00+00:00,102869.80,stop_loss_ma_touch,102869.80,-45.35,9.72531339,1000000.00,1000441.00,-441.00,-0.0441,21876.30,1021876.30,0,
T00009,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:30:00+00:00,2025-05-15 20:00:00+00:00,LONG,103179.60,102867.25,102867.25,312.35,103804.31,0.3036,2025-05-15 21:00:00+00:00,2025-05-15 21:30:00+00:00,102862.36,stop_loss_ma_touch,102862.36,-317.24,9.69183831,1000000.00,996925.35,-3074.65,-0.3075,18801.65,1018801.65,0,
T00010,2025-05-15,2025-05-15,2025-05-15,2025-05-15 21:00:00+00:00,2025-05-15 21:30:00+00:00,LONG,103074.03,102852.26,102852.26,221.77,103517.57,0.2156,2025-05-15 21:30:00+00:00,2025-05-15 22:00:00+00:00,102852.26,stop_loss_ma_touch,102852.26,-221.77,9.70176484,1000000.00,997848.45,-2151.55,-0.2152,16650.10,1016650.10,0,
T00011,2025-05-16,2025-05-15,2025-05-16,2025-05-15 21:30:00+00:00,2025-05-15 22:00:00+00:00,LONG,103323.25,102845.12,102845.12,478.13,104279.51,0.4649,2025-05-16 02:00:00+00:00,2025-05-16 02:30:00+00:00,104279.51,target_hit_2r,102878.35,956.26,9.67836378,1000000.00,1009255.04,9255.04,0.9255,25905.14,1025905.14,1,Fixed 2R target hit.
T00012,2025-05-16,2025-05-16,2025-05-16,2025-05-16 07:30:00+00:00,2025-05-16 08:00:00+00:00,LONG,103737.28,103240.07,103240.07,497.21,104731.69,0.4816,2025-05-16 08:00:00+00:00,2025-05-16 08:30:00+00:00,103240.07,stop_loss_ma_touch,103240.07,-497.21,9.63973607,1000000.00,995207.06,-4792.94,-0.4793,21112.20,1021112.20,0,
T00013,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:00:00+00:00,2025-05-16 08:30:00+00:00,LONG,103292.31,103265.34,103265.34,26.97,103346.25,0.0261,2025-05-16 08:30:00+00:00,2025-05-16 09:00:00+00:00,103265.34,stop_loss_ma_touch,103265.34,-26.97,9.68126282,1000000.00,999738.89,-261.11,-0.0261,20851.10,1020851.10,0,
T00014,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:30:00+00:00,2025-05-16 09:00:00+00:00,LONG,103427.69,103289.09,103289.09,138.60,103704.89,0.1342,2025-05-16 09:00:00+00:00,2025-05-16 09:30:00+00:00,103704.89,target_hit_2r,103289.09,277.20,9.66859068,1000000.00,1002680.18,2680.18,0.2680,23531.28,1023531.28,0,Fixed 2R target hit.
T00015,2025-05-16,2025-05-16,2025-05-16,2025-05-16 09:30:00+00:00,2025-05-16 10:00:00+00:00,LONG,103831.44,103366.64,103366.64,464.80,104761.04,0.4497,2025-05-16 13:00:00+00:00,2025-05-16 13:30:00+00:00,103544.05,stop_loss_ma_touch,103544.05,-287.39,9.63099423,1000000.00,997232.11,-2767.89,-0.2768,20763.39,1020763.39,0,
T00016,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:00:00+00:00,2025-05-16 13:30:00+00:00,SHORT,103547.15,103563.91,103563.91,16.76,103513.63,0.0162,2025-05-16 13:30:00+00:00,2025-05-16 14:00:00+00:00,103563.91,stop_loss_ma_touch,103563.91,-16.76,9.65743625,1000000.00,1000161.86,-161.86,-0.0162,20601.53,1020601.53,0,
