date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-11,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-12,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-13,TRADED,1,0,0,1,0,1,0,0,1,0,0,726.48,726.48,726.48,726.48,14614.37,14614.37,14614.37,14614.37,1014614.37,1,0,0.00,0.00,0.0000,
2021-05-14,TRADED,11,0,4,7,9,2,0,0,2,9,0,-457.85,-41.62,433.93,-230.70,-9153.93,-832.18,8731.88,-4621.87,1005460.43,1,4,668.48,13363.49,1.3171,
2021-05-15,TRADED,5,0,1,4,3,2,0,0,2,3,0,-131.12,-26.22,260.06,-189.28,-2605.78,-521.16,5188.09,-3755.84,1002854.65,1,2,391.18,7793.87,0.7752,
2021-05-16,TRADED,8,0,1,7,6,2,0,0,2,6,0,-140.32,-17.54,301.95,-208.27,-2882.52,-360.32,6249.84,-4281.09,999972.14,1,4,498.79,10301.34,1.0260,
2021-05-17,TRADED,6,0,2,4,4,2,0,0,2,4,0,578.66,96.44,661.20,-165.06,12960.12,2160.02,14929.35,-3694.45,1012932.26,1,2,308.62,6930.87,0.6897,
2021-05-18,TRADED,4,0,2,2,2,2,0,0,2,2,0,1067.46,266.87,604.40,-71.94,24074.46,6018.61,13657.05,-1628.32,1037006.72,2,2,134.97,3051.82,0.3013,
2021-05-19,TRADED,4,0,3,1,4,0,0,0,0,4,0,-371.38,-92.84,-28.66,-154.05,-9423.40,-2355.85,-718.80,-3930.91,1027583.33,0,4,371.38,9423.39,0.9087,
2021-05-20,TRADED,9,0,3,6,7,2,0,0,2,7,0,-163.27,-18.14,113.43,-126.51,-4120.97,-457.89,2948.69,-3218.14,1023462.35,1,6,319.41,8140.11,0.7900,
2021-05-21,TRADED,10,0,5,5,9,1,0,0,1,9,0,-249.23,-24.92,519.43,-165.59,-6194.85,-619.48,12736.55,-4059.07,1017267.51,1,8,764.56,18830.25,1.8399,
2021-05-22,TRADED,3,0,2,1,2,1,0,0,1,2,0,180.88,60.29,255.75,-48.24,4850.38,1616.79,6849.17,-1288.82,1022117.90,1,1,48.24,1288.82,0.1267,
2021-05-23,TRADED,11,0,5,6,7,4,0,0,4,7,0,571.22,51.93,528.67,-155.23,15287.91,1389.81,14134.57,-4122.10,1037405.80,2,6,362.79,9666.93,0.9422,
2021-05-24,TRADED,2,0,0,2,2,0,0,0,0,2,0,-176.14,-88.07,-80.98,-95.16,-5081.43,-2540.72,-2348.08,-2733.35,1032324.37,0,2,176.14,5081.43,0.4898,
2021-05-25,TRADED,12,0,5,7,9,3,0,0,3,9,0,767.10,63.93,550.96,-159.74,20223.13,1685.26,14488.76,-4176.05,1052547.49,2,4,474.71,12447.55,1.1688,
2021-05-26,TRADED,12,0,4,8,8,4,0,0,4,8,0,514.49,42.87,563.07,-208.19,13221.59,1101.80,14498.40,-5368.06,1065769.08,3,4,402.44,10339.05,0.9819,
2021-05-27,TRADED,13,0,6,7,9,4,0,0,4,9,0,989.18,76.09,505.31,-134.26,25528.43,1963.73,12970.83,-3445.12,1091297.51,2,3,243.93,6266.37,0.5820,
2021-05-28,TRADED,1,0,0,1,0,1,0,0,1,0,0,366.96,366.96,366.96,366.96,9487.13,9487.13,9487.13,9487.13,1100784.65,1,0,0.00,0.00,0.0000,
2021-05-29,TRADED,11,0,5,6,10,1,0,0,1,10,0,-242.49,-22.04,278.73,-166.67,-6664.19,-605.84,7678.37,-4578.32,1094120.45,1,7,430.06,11821.93,1.0740,
2021-05-30,TRADED,4,0,1,3,4,0,0,0,0,4,0,-323.39,-80.85,-37.38,-112.52,-9297.05,-2324.26,-1071.57,-3234.68,1084823.40,0,4,323.39,9297.05,0.8497,
2021-05-31,TRADED,4,0,2,2,2,2,0,0,2,2,0,480.25,120.06,526.62,-136.55,13439.65,3359.91,14748.76,-3857.52,1098263.05,1,1,136.55,3857.52,0.3548,
2021-06-01,TRADED,13,0,7,6,12,1,0,0,1,12,0,-482.74,-37.13,531.96,-169.24,-13118.39,-1009.11,14489.12,-4573.96,1085144.64,1,11,859.34,23370.86,2.1083,
2021-06-02,TRADED,11,0,6,5,8,3,0,0,3,8,0,-96.38,-8.76,275.14,-174.64,-2597.75,-236.16,7547.97,-4812.04,1082546.90,2,5,421.47,11504.47,1.0602,
2021-06-03,TRADED,10,0,6,4,8,2,0,0,2,8,0,166.42,16.64,481.96,-120.80,4070.80,407.08,12519.22,-3223.09,1086617.71,2,8,474.55,12688.09,1.1721,
2021-06-04,TRADED,5,0,1,4,4,1,0,0,1,4,0,-302.56,-60.51,107.95,-174.82,-7953.51,-1590.70,2901.57,-4508.83,1078664.19,1,2,302.56,7953.52,0.7320,
2021-06-05,TRADED,3,0,2,1,1,2,0,0,2,1,0,127.04,42.35,166.23,-176.29,3457.15,1152.38,4477.62,-4719.16,1082121.34,2,1,176.29,4719.16,0.4342,
2021-06-06,TRADED,28,0,14,14,24,4,0,0,4,24,0,-632.04,-22.57,398.97,-182.14,-17472.26,-624.01,11140.92,-5043.13,1064649.08,2,16,1106.15,30722.07,2.8376,
2021-06-07,TRADED,15,0,8,7,10,5,0,0,5,10,0,403.14,26.88,500.46,-168.83,11105.00,740.33,13808.70,-4715.90,1075754.09,2,5,509.36,14150.08,1.3291,
2021-06-08,TRADED,1,0,0,1,1,0,0,0,0,1,0,-92.23,-92.23,-92.23,-92.23,-2802.96,-2802.96,-2802.96,-2802.96,1072951.12,0,1,92.23,2802.97,0.2606,
2021-06-09,TRADED,9,0,4,5,7,2,0,0,2,7,0,-291.77,-32.42,214.91,-144.01,-8922.77,-991.42,6524.29,-4371.01,1064028.35,1,6,581.28,17732.21,1.6392,
2021-06-10,TRADED,8,0,3,5,6,2,0,0,2,6,0,46.30,5.79,470.97,-132.34,1367.71,170.96,12786.02,-3591.13,1065396.06,1,5,455.53,12325.10,1.1536,
2021-06-11,TRADED,26,0,12,14,22,4,0,0,4,22,0,-764.24,-29.39,522.52,-172.71,-20799.47,-799.98,14093.53,-4703.11,1044596.59,1,14,997.44,27037.03,2.5287,
2021-06-12,TRADED,13,0,7,6,12,1,0,0,1,12,0,-615.09,-47.31,179.44,-144.68,-16913.25,-1301.02,4990.63,-4018.30,1027683.36,1,8,615.09,16913.23,1.6191,
2021-06-13,TRADED,11,0,7,4,8,3,0,0,3,8,0,202.20,18.38,435.14,-162.97,5609.13,509.92,12169.25,-4606.24,1033292.48,2,4,450.25,12658.58,1.2318,
2021-06-14,TRADED,2,0,2,0,1,1,0,0,1,1,0,109.82,54.91,194.69,-84.87,2780.87,1390.44,4930.05,-2149.18,1036073.35,1,1,84.87,2149.18,0.2080,
2021-06-15,TRADED,22,0,12,10,18,4,0,0,4,18,0,249.58,11.34,539.52,-208.43,6269.06,284.96,13373.69,-5209.13,1042342.40,2,15,1030.95,25662.31,2.4369,
2021-06-16,TRADED,10,0,4,6,7,3,0,0,3,7,0,309.57,30.96,532.54,-168.31,7773.65,777.37,13324.61,-4174.99,1050116.04,1,5,389.22,9681.01,0.9251,
2021-06-17,TRADED,12,0,6,6,9,3,0,0,3,9,0,-636.36,-53.03,146.54,-289.03,-16290.03,-1357.50,3771.16,-7373.12,1033826.00,1,5,694.38,17783.44,1.6935,
2021-06-18,TRADED,1,0,0,1,0,1,0,0,1,0,0,273.19,273.19,273.19,273.19,7199.60,7199.60,7199.60,7199.60,1041025.61,1,0,0.00,0.00,0.0000,
2021-06-19,TRADED,20,0,11,9,16,4,0,0,4,16,0,-707.54,-35.38,251.12,-172.19,-19736.90,-986.84,7010.83,-4797.19,1021288.71,1,8,1023.14,28581.48,2.7455,
2021-06-20,TRADED,17,0,6,11,13,4,0,0,4,13,0,399.41,23.49,450.16,-166.78,11127.03,654.53,12641.27,-4773.83,1032415.75,2,9,537.58,15067.78,1.4529,
2021-06-21,TRADED,5,0,3,2,5,0,0,0,0,5,0,-385.61,-77.12,-7.10,-156.96,-10983.91,-2196.78,-202.56,-4457.99,1021431.84,0,5,385.61,10983.91,1.0639,
2021-06-22,TRADED,10,0,7,3,8,2,0,0,2,8,0,-240.77,-24.08,207.47,-187.92,-7205.23,-720.52,6366.58,-5735.65,1014226.61,1,6,470.14,14357.02,1.4056,
2021-06-23,TRADED,8,0,4,4,7,1,0,0,1,7,0,-202.75,-25.34,396.16,-160.02,-6059.82,-757.48,11840.72,-4748.40,1008166.78,1,6,485.24,14519.08,1.4315,
2021-06-24,TRADED,9,0,2,7,7,2,0,0,2,7,0,-104.00,-11.56,316.92,-131.31,-3160.55,-351.17,9480.19,-3955.26,1005006.23,1,6,420.92,12640.74,1.2538,
2021-06-25,TRADED,7,0,2,5,3,4,0,0,4,3,0,789.07,112.72,429.49,-131.22,23011.95,3287.42,12524.64,-3827.81,1028018.18,3,2,145.71,4249.00,0.4167,
2021-06-26,TRADED,14,0,8,6,11,3,0,0,3,11,0,496.87,35.49,419.67,-128.73,15738.58,1124.18,13219.85,-4062.17,1043756.77,2,9,505.32,15981.97,1.5256,
2021-06-27,TRADED,10,0,7,3,8,2,0,0,2,8,0,-156.89,-15.69,236.43,-123.88,-4761.00,-476.10,7221.80,-3766.00,1038995.76,1,4,384.87,11725.77,1.1234,
2021-06-28,TRADED,10,0,6,4,10,0,0,0,0,10,0,-573.48,-57.35,-1.61,-156.99,-16737.73,-1673.77,-47.08,-4607.98,1022258.02,0,10,573.48,16737.74,1.6110,
2021-06-29,TRADED,8,0,6,2,5,3,0,0,3,5,0,271.64,33.96,438.05,-156.65,7789.32,973.67,12639.42,-4565.41,1030047.35,2,3,272.87,7900.94,0.7716,
2021-06-30,TRADED,4,0,1,3,2,2,0,0,2,2,0,578.03,144.51,394.90,-67.94,16540.49,4135.12,11292.12,-1947.35,1046587.85,2,1,67.94,1947.34,0.1857,
2021-07-01,TRADED,4,0,3,1,4,0,0,0,0,4,0,-342.53,-85.63,-39.19,-173.20,-9787.64,-2446.91,-1123.05,-4935.16,1036800.21,0,4,342.53,9787.64,0.9352,
2021-07-02,TRADED,22,0,13,9,17,5,0,0,5,17,0,-236.71,-10.76,255.83,-154.85,-7074.86,-321.58,7672.97,-4634.22,1029725.37,2,6,489.40,14648.14,1.4128,
2021-07-03,TRADED,2,0,2,0,2,0,0,0,0,2,0,-179.74,-89.87,-83.96,-95.78,-5310.17,-2655.09,-2444.45,-2865.72,1024415.20,0,2,179.74,5310.17,0.5157,
2021-07-04,TRADED,2,0,2,0,1,1,0,0,1,1,0,306.08,153.04,411.06,-104.98,8976.83,4488.41,11946.07,-2969.24,1033392.04,1,1,104.98,2969.23,0.2865,
2021-07-05,TRADED,1,0,1,0,1,0,0,0,0,1,0,-101.61,-101.61,-101.61,-101.61,-2871.23,-2871.23,-2871.23,-2871.23,1030520.80,0,1,101.61,2871.24,0.2778,
2021-07-06,TRADED,24,0,9,15,22,2,0,0,3,21,0,-774.04,-32.25,314.42,-157.33,-22725.74,-946.91,9231.60,-4626.13,1007795.06,2,18,985.64,28925.21,2.8049,
2021-07-07,TRADED,14,0,7,7,11,3,0,0,3,11,0,-205.66,-14.69,284.06,-167.70,-6015.09,-429.65,8283.79,-4884.21,1001779.96,1,5,486.45,14204.93,1.4095,
2021-07-08,TRADED,1,0,0,1,0,1,0,0,1,0,0,359.50,359.50,359.50,359.50,10889.92,10889.92,10889.92,10889.92,1012669.88,1,0,0.00,0.00,0.0000,
