period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,21,0,2,0,125,0,51,74,101,24,0,0,10,9,0,4367.16,229.85,100650.36,5297.39,1100650.34,2021-05-18,1869.08,42158.64,2021-05-21,-967.28,-23801.50,4,3,1393.91,34564.42,3.1821
2021-06,30,0,0,0,306,0,156,150,261,45,0,0,15,15,0,-2281.33,-76.04,-62628.86,-2087.63,1038021.48,2021-06-29,756.59,21801.22,2021-06-06,-1213.74,-33741.85,5,4,3902.74,112409.13,10.2130
2021-07,31,3,0,0,338,0,170,168,283,55,0,0,17,11,0,735.17,26.26,29452.57,1051.88,1067474.04,2021-07-23,822.15,25315.49,2021-07-06,-899.58,-26410.54,8,2,1601.33,39296.09,3.5505
2021-08,31,0,2,0,277,0,138,139,233,44,0,0,14,15,0,1781.49,61.43,43567.30,1502.32,1111041.32,2021-08-19,1382.80,30738.81,2021-08-21,-904.59,-18534.44,3,4,1910.45,42104.98,3.7577
2021-09,30,0,1,0,381,0,193,188,329,52,0,0,14,15,0,-2109.20,-72.73,-42014.71,-1448.78,1069026.51,2021-09-29,1474.61,35224.26,2021-09-25,-2148.48,-50731.04,5,3,7408.65,164931.98,14.5502
2021-10,31,0,2,0,388,0,192,196,335,53,0,0,13,16,0,-2250.00,-77.59,-38838.46,-1339.26,1030188.06,2021-10-13,1945.34,34683.54,2021-10-30,-2322.18,-37641.41,2,4,3351.67,62537.51,5.7438
2021-11,30,1,1,0,317,1,145,172,271,45,1,0,13,15,0,2563.42,91.55,43093.06,1539.04,1073281.01,2021-11-07,2079.42,33850.79,2021-11-13,-1608.32,-25122.73,3,3,2450.90,39848.50,3.8681
2021-12,31,0,1,0,391,0,198,193,340,51,0,0,14,16,0,-294.38,-9.81,-6539.35,-217.98,1066741.73,2021-12-17,1679.92,34947.48,2021-12-14,-1736.52,-36882.24,4,2,2379.92,47868.97,4.3961
2022-01,31,0,1,0,425,0,226,199,368,57,0,0,11,19,0,-3275.15,-109.17,-73504.76,-2450.16,993237.03,2022-01-17,1307.05,30484.62,2022-01-01,-1348.99,-28618.64,2,4,5199.96,118452.69,11.1042
2022-02,28,0,2,0,387,0,193,194,340,47,0,0,8,18,0,-5839.99,-224.61,-133093.56,-5118.98,860143.40,2022-02-04,1481.27,39817.89,2022-02-13,-1509.62,-35652.25,2,10,6903.53,161533.45,15.9722
2022-03,31,0,2,0,476,0,245,231,423,53,0,0,12,17,0,-3901.63,-134.54,-86007.25,-2965.77,774136.16,2022-03-16,1143.58,29249.43,2022-03-02,-2014.28,-45753.65,4,4,3901.63,86007.24,9.9992
