date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-13,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-14,TRADED,1,0,1,0,1,0,0,0,0,1,0,-44.74,-44.74,-44.74,-44.74,-891.92,-891.92,-891.92,-891.92,999108.08,0,1,44.74,891.92,0.0892,
2021-05-15,TRADED,3,0,0,3,1,2,0,0,2,1,0,689.09,229.70,656.07,-204.28,13917.58,4639.19,13272.00,-4088.46,1013025.67,2,1,204.28,4088.45,0.4092,
2021-05-16,TRADED,4,0,1,3,3,1,0,0,1,3,0,-238.54,-59.64,256.78,-204.32,-4918.62,-1229.66,5314.90,-4199.90,1008107.05,1,3,495.32,10233.52,1.0102,
2021-05-17,TRADED,1,0,1,0,1,0,0,0,0,1,0,-114.57,-114.57,-114.57,-114.57,-2501.25,-2501.25,-2501.25,-2501.25,1005605.79,0,1,114.57,2501.26,0.2481,
2021-05-18,TRADED,1,0,1,0,0,1,0,0,1,0,0,611.07,611.07,611.07,611.07,13762.90,13762.90,13762.90,13762.90,1019368.69,1,0,0.00,0.00,0.0000,
2021-05-19,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1019368.69,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-20,TRADED,3,0,0,3,3,0,0,0,0,3,0,-236.08,-78.69,-7.72,-165.80,-6055.40,-2018.47,-195.98,-4230.92,1013313.29,0,3,236.08,6055.40,0.5940,
2021-05-21,TRADED,5,0,3,2,4,1,0,0,1,4,0,-396.97,-79.39,149.81,-201.67,-9721.93,-1944.39,3687.79,-4928.94,1003591.36,1,3,403.25,9888.71,0.9757,
2021-05-22,TRADED,1,0,1,0,1,0,0,0,0,1,0,-15.22,-15.22,-15.22,-15.22,-407.47,-407.47,-407.47,-407.47,1003183.90,0,1,15.22,407.46,0.0406,
2021-05-23,TRADED,4,0,1,3,3,1,0,0,1,3,0,138.03,34.51,414.92,-109.89,3700.15,925.04,11072.91,-2918.13,1006884.05,1,3,276.89,7372.76,0.7349,
2021-05-24,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1006884.05,0,0,0.00,0.00,0.0000,
2021-05-25,TRADED,3,0,1,2,3,0,0,0,0,3,0,-211.99,-70.66,-14.88,-127.51,-5563.66,-1854.55,-389.60,-3357.73,1001320.39,0,3,211.99,5563.66,0.5526,
2021-05-26,TRADED,4,0,2,2,2,2,0,0,2,2,0,268.48,67.12,322.45,-184.43,7087.32,1771.83,8455.98,-4708.18,1008407.70,1,2,225.84,5773.04,0.5717,
2021-05-27,TRADED,6,0,3,3,4,2,0,0,2,4,0,-99.69,-16.61,285.06,-190.51,-2546.05,-424.34,7327.65,-4874.04,1005861.64,2,3,263.87,6771.83,0.6687,
2021-05-28,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1005861.64,0,0,0.00,0.00,0.0000,
2021-05-29,TRADED,3,0,3,0,3,0,0,0,0,3,0,-156.99,-52.33,-18.05,-77.75,-4329.44,-1443.15,-496.08,-2150.05,1001532.21,0,3,156.99,4329.43,0.4304,
2021-05-30,TRADED,2,0,0,2,2,0,0,0,0,2,0,-246.97,-123.48,-111.38,-135.59,-7101.65,-3550.82,-3203.50,-3898.15,994430.56,0,2,246.97,7101.65,0.7091,
2021-05-31,TRADED,1,0,1,0,1,0,0,0,0,1,0,-160.87,-160.87,-160.87,-160.87,-4510.07,-4510.07,-4510.07,-4510.07,989920.49,0,1,160.87,4510.07,0.4535,
2021-06-01,TRADED,4,0,3,1,3,1,0,0,1,3,0,187.88,46.97,499.29,-176.68,5176.82,1294.21,13599.12,-4772.35,995097.30,1,3,311.41,8422.31,0.8393,
2021-06-02,TRADED,2,0,2,0,1,1,0,0,1,1,0,-36.46,-18.23,59.58,-96.04,-984.25,-492.13,1633.84,-2618.09,994113.05,1,1,96.04,2618.09,0.2631,
2021-06-03,TRADED,4,0,2,2,3,1,0,0,1,3,0,248.25,62.06,485.27,-139.50,6557.50,1639.38,12892.50,-3722.05,1000670.57,1,3,237.02,6334.99,0.6373,
2021-06-04,TRADED,1,0,1,0,1,0,0,0,0,1,0,-71.15,-71.15,-71.15,-71.15,-1839.53,-1839.53,-1839.53,-1839.53,998831.04,0,1,71.15,1839.53,0.1838,
2021-06-05,TRADED,1,0,0,1,1,0,0,0,1,0,0,28.12,28.12,28.12,28.12,755.09,755.09,755.09,755.09,999586.13,1,0,0.00,0.00,0.0000,
2021-06-06,TRADED,11,0,5,6,8,3,0,0,3,8,0,-152.66,-13.88,407.04,-146.58,-4266.76,-387.89,11227.78,-4054.28,995319.37,1,7,632.12,17512.31,1.7325,
2021-06-07,TRADED,5,0,3,2,4,1,0,0,1,4,0,207.65,41.53,416.68,-109.59,5788.40,1157.68,11557.71,-3018.59,1001107.77,1,4,209.03,5769.31,0.5796,
2021-06-08,TRADED,1,0,0,1,1,0,0,0,0,1,0,-66.57,-66.57,-66.57,-66.57,-2022.77,-2022.77,-2022.77,-2022.77,999085.00,0,1,66.57,2022.77,0.2021,
2021-06-09,TRADED,3,0,3,0,3,0,0,0,0,3,0,-244.35,-81.45,-70.88,-88.42,-7427.83,-2475.94,-2153.19,-2688.53,991657.17,0,3,244.35,7427.83,0.7435,
2021-06-10,TRADED,3,0,1,2,2,1,0,0,1,2,0,328.81,109.60,465.76,-72.44,8940.45,2980.15,12644.57,-1956.37,1000597.62,1,2,136.95,3704.12,0.3735,
2021-06-11,TRADED,8,0,4,4,7,1,0,0,1,7,0,-383.77,-47.97,249.19,-155.34,-10424.32,-1303.04,6727.72,-4215.56,990173.31,1,4,494.97,13410.17,1.3402,
2021-06-12,TRADED,4,0,2,2,3,1,0,0,1,3,0,-12.67,-3.17,165.12,-137.95,-322.65,-80.66,4595.52,-3830.49,989850.66,1,2,151.55,4210.13,0.4235,
2021-06-13,TRADED,6,0,3,3,4,2,0,0,2,4,0,540.43,90.07,446.75,-129.47,15180.56,2530.09,12486.24,-3641.29,1005031.23,1,3,312.43,8761.91,0.8852,
2021-06-14,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1005031.23,0,0,0.00,0.00,0.0000,
2021-06-15,TRADED,5,0,3,2,4,1,0,0,1,4,0,166.76,33.35,459.26,-149.80,4208.38,841.68,11498.11,-3744.12,1009239.60,1,4,292.50,7289.74,0.7171,
2021-06-16,TRADED,7,0,1,6,4,3,0,0,3,4,0,555.73,79.39,522.86,-124.11,13908.64,1986.95,13082.48,-3081.74,1023148.24,2,3,226.65,5641.92,0.5555,
2021-06-17,TRADED,3,0,2,1,3,0,0,0,0,3,0,-260.23,-86.74,-45.61,-145.32,-6682.71,-2227.57,-1172.09,-3724.16,1016465.54,0,3,260.23,6682.70,0.6532,
2021-06-18,TRADED,1,0,0,1,0,1,0,0,1,0,0,561.99,561.99,561.99,561.99,14847.02,14847.02,14847.02,14847.02,1031312.56,1,0,0.00,0.00,0.0000,
2021-06-19,TRADED,6,0,5,1,5,1,0,0,1,5,0,-436.04,-72.67,3.92,-177.51,-12164.15,-2027.36,109.58,-4944.09,1019148.42,1,3,436.04,12164.14,1.1795,
2021-06-20,TRADED,5,0,1,4,2,3,0,0,3,2,0,532.64,106.53,338.31,-175.44,14843.12,2968.62,9492.71,-5021.65,1033991.54,2,1,175.44,5021.64,0.4833,
2021-06-21,TRADED,1,0,1,0,1,0,0,0,0,1,0,-84.71,-84.71,-84.71,-84.71,-2411.32,-2411.32,-2411.32,-2411.32,1031580.22,0,1,84.71,2411.32,0.2332,
2021-06-22,TRADED,2,0,2,0,2,0,0,0,0,2,0,-159.49,-79.75,-59.01,-100.48,-4893.51,-2446.76,-1811.45,-3082.06,1026686.71,0,2,159.49,4893.51,0.4744,
2021-06-23,TRADED,3,0,2,1,3,0,0,0,0,3,0,-176.06,-58.69,-12.32,-142.71,-5226.85,-1742.28,-366.35,-4232.77,1021459.86,0,3,176.06,5226.85,0.5091,
2021-06-24,TRADED,4,0,1,3,4,0,0,0,0,4,0,-217.97,-54.49,-15.71,-76.99,-6523.45,-1630.86,-470.54,-2285.40,1014936.41,0,4,217.97,6523.45,0.6386,
2021-06-25,TRADED,3,0,1,2,3,0,0,0,0,3,0,-345.50,-115.17,-75.89,-163.14,-10067.40,-3355.80,-2204.78,-4758.69,1004869.00,0,3,345.50,10067.41,0.9919,
2021-06-26,TRADED,6,0,3,3,5,1,0,0,1,5,0,34.48,5.75,330.92,-115.14,1125.91,187.65,10497.52,-3621.79,1005994.91,1,4,181.30,5749.83,0.5683,
2021-06-27,TRADED,3,0,1,2,3,0,0,0,0,3,0,-76.37,-25.46,-7.33,-39.16,-2325.57,-775.19,-223.89,-1192.86,1003669.34,0,3,76.37,2325.57,0.2312,
2021-06-28,TRADED,4,0,3,1,4,0,0,0,0,4,0,-393.07,-98.27,-11.52,-161.42,-11404.68,-2851.17,-336.72,-4658.79,992264.67,0,4,393.07,11404.67,1.1363,
2021-06-29,TRADED,4,0,3,1,3,1,0,0,1,3,0,38.80,9.70,250.98,-141.21,1118.75,279.69,7254.06,-4075.14,993383.41,1,3,212.18,6135.31,0.6183,
2021-06-30,TRADED,1,0,1,0,1,0,0,0,0,1,0,-104.22,-104.22,-104.22,-104.22,-2907.56,-2907.56,-2907.56,-2907.56,990475.85,0,1,104.22,2907.56,0.2927,
2021-07-01,TRADED,4,0,2,2,4,0,0,0,0,4,0,-529.17,-132.29,-101.98,-170.99,-15156.08,-3789.02,-2928.64,-4876.97,975319.78,0,4,529.17,15156.07,1.5302,
2021-07-02,TRADED,8,0,5,3,8,0,0,0,0,8,0,-581.81,-72.73,-14.64,-159.31,-17348.60,-2168.57,-439.51,-4753.34,957971.18,0,8,581.81,17348.60,1.7788,
2021-07-03,TRADED,2,0,2,0,1,1,0,0,1,1,0,327.34,163.67,452.21,-124.87,9759.30,4879.65,13489.91,-3730.61,967730.49,1,1,124.87,3730.61,0.3894,
2021-07-04,TRADED,2,0,2,0,1,1,0,0,1,1,0,332.83,166.41,436.02,-103.19,9611.57,4805.78,12601.27,-2989.70,977342.06,1,1,103.19,2989.70,0.3089,
2021-07-05,TRADED,3,0,1,2,2,1,0,0,1,2,0,-53.38,-17.79,47.54,-82.21,-1525.50,-508.50,1347.35,-2325.20,975816.57,1,1,82.21,2325.20,0.2379,
2021-07-06,TRADED,10,0,5,5,9,1,0,0,1,9,0,-136.06,-13.61,347.57,-154.66,-3992.72,-399.27,10208.43,-4520.32,971823.84,1,9,483.63,14201.15,1.4553,
2021-07-07,TRADED,7,0,5,2,7,0,0,0,0,7,0,-310.55,-44.36,-0.42,-135.45,-9091.81,-1298.83,-12.15,-3979.87,962732.04,0,7,310.55,9091.80,0.9355,
2021-07-08,TRADED,1,0,0,1,0,1,0,0,1,0,0,302.41,302.41,302.41,302.41,9160.51,9160.51,9160.51,9160.51,971892.55,1,0,0.00,0.00,0.0000,
2021-07-09,TRADED,7,0,5,2,5,2,0,0,2,5,0,274.69,39.24,490.67,-107.69,8286.80,1183.83,14870.19,-3293.42,980179.35,1,3,215.98,6583.38,0.6774,
2021-07-10,TRADED,4,0,4,0,3,1,0,0,1,3,0,118.58,29.65,343.12,-117.33,3491.36,872.84,10142.42,-3478.40,983670.71,1,3,224.54,6651.05,0.6786,
2021-07-11,TRADED,8,0,4,4,5,3,0,0,3,5,0,449.62,56.20,396.91,-154.54,13263.09,1657.89,11726.09,-4618.08,996933.82,2,3,282.66,8423.73,0.8543,
2021-07-12,TRADED,1,0,0,1,0,1,0,0,1,0,0,202.62,202.62,202.62,202.62,5951.72,5951.72,5951.72,5951.72,1002885.55,1,0,0.00,0.00,0.0000,
2021-07-13,TRADED,6,0,2,4,4,2,0,0,2,4,0,467.43,77.91,455.72,-100.68,14279.50,2379.92,13889.85,-3025.62,1017165.04,2,4,231.12,6958.97,0.6939,
2021-07-14,TRADED,4,0,1,3,3,1,0,0,1,3,0,142.89,35.72,324.82,-78.46,4305.36,1076.34,9922.97,-2418.43,1021470.41,1,3,181.93,5617.61,0.5469,
2021-07-15,TRADED,4,0,2,2,3,1,0,0,1,3,0,213.35,53.34,431.29,-98.27,6597.68,1649.42,13274.52,-3010.31,1028068.09,1,3,217.94,6676.84,0.6536,
2021-07-16,TRADED,8,0,5,3,6,2,0,0,2,6,0,88.10,11.01,185.40,-137.14,2803.82,350.48,5846.35,-4298.82,1030871.90,1,3,172.37,5409.08,0.5220,
2021-07-17,TRADED,8,0,3,5,6,2,0,0,2,6,0,-190.61,-23.83,300.75,-172.63,-6034.51,-754.31,9505.44,-5432.77,1024837.39,1,4,491.36,15539.95,1.4937,
2021-07-18,TRADED,10,0,3,7,8,2,0,0,2,8,0,-245.27,-24.53,222.47,-167.63,-7732.77,-773.28,7006.15,-5280.74,1017104.62,1,5,411.65,12960.20,1.2646,
2021-07-19,TRADED,6,0,3,3,5,1,0,0,1,5,0,124.51,20.75,458.16,-137.59,4031.66,671.94,14549.98,-4327.45,1021136.29,1,5,333.65,10518.31,1.0341,
2021-07-20,TRADED,1,0,0,1,0,1,0,0,1,0,0,260.54,260.54,260.54,260.54,8725.40,8725.40,8725.40,8725.40,1029861.69,1,0,0.00,0.00,0.0000,
2021-07-21,TRADED,3,0,2,1,2,1,0,0,1,2,0,314.62,104.87,360.58,-35.02,10545.89,3515.30,12089.82,-1176.81,1040407.59,1,2,45.96,1543.93,0.1499,
2021-07-22,TRADED,5,0,3,2,4,1,0,0,1,4,0,56.67,11.33,283.29,-118.38,1761.20,352.24,8833.08,-3671.98,1042168.78,1,3,118.38,3671.98,0.3511,
2021-07-23,TRADED,10,0,4,6,7,3,0,0,3,7,0,264.09,26.41,311.43,-132.09,8183.17,818.32,9634.78,-4093.67,1050351.95,1,6,313.88,9674.05,0.9239,
2021-07-24,TRADED,1,0,1,0,1,0,0,0,0,1,0,-152.73,-152.73,-152.73,-152.73,-4507.46,-4507.46,-4507.46,-4507.46,1045844.49,0,1,152.73,4507.46,0.4291,
2021-07-25,TRADED,8,0,5,3,5,3,0,0,3,5,0,520.49,65.06,459.23,-171.01,15317.84,1914.73,13528.99,-4963.92,1061162.32,1,3,267.68,7789.43,0.7342,
2021-07-26,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1061162.32,0,0,0.00,0.00,0.0000,
2021-07-27,TRADED,3,0,1,2,3,0,0,0,0,3,0,-393.59,-131.20,-89.51,-175.89,-10440.78,-3480.26,-2378.13,-4671.13,1050721.54,0,3,393.59,10440.78,0.9839,
2021-07-28,TRADED,1,0,1,0,1,0,0,0,0,1,0,-123.37,-123.37,-123.37,-123.37,-3087.90,-3087.90,-3087.90,-3087.90,1047633.64,0,1,123.37,3087.90,0.2939,
2021-07-29,TRADED,12,0,7,5,10,2,0,0,2,10,0,-530.29,-44.19,300.09,-170.68,-13279.92,-1106.66,7541.71,-4294.66,1034353.71,2,6,668.76,16753.77,1.5992,
2021-07-30,TRADED,5,0,2,3,2,3,0,0,3,2,0,548.32,109.66,385.10,-149.88,13775.05,2755.01,9691.07,-3776.26,1048128.75,2,1,149.88,3776.26,0.3651,
2021-07-31,TRADED,3,0,0,3,3,0,0,0,0,3,0,-218.88,-72.96,-25.69,-116.79,-5281.58,-1760.53,-621.90,-2820.52,1042847.18,0,3,218.88,5281.57,0.5039,
2021-08-01,TRADED,8,0,5,3,6,2,0,0,2,6,0,-7.26,-0.91,386.30,-189.82,-177.45,-22.18,9249.52,-4535.70,1042669.73,1,5,552.53,13244.27,1.2631,
2021-08-02,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1042669.73,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-08-03,TRADED,1,0,0,1,1,0,0,0,0,1,0,-166.45,-166.45,-166.45,-166.45,-4222.25,-4222.25,-4222.25,-4222.25,1038447.47,0,1,166.45,4222.26,0.4049,
2021-08-04,TRADED,5,0,2,3,4,1,0,0,1,4,0,-135.60,-27.12,96.13,-141.47,-3534.59,-706.92,2519.67,-3690.41,1034912.89,1,4,231.73,6054.26,0.5830,
2021-08-05,TRADED,2,0,0,2,1,1,0,0,1,1,0,40.41,20.20,136.64,-96.23,1030.83,515.41,3497.58,-2466.75,1035943.71,1,1,96.23,2466.75,0.2376,
2021-08-06,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1035943.71,0,0,0.00,0.00,0.0000,
2021-08-07,TRADED,3,0,3,0,1,2,0,0,2,1,0,561.97,187.32,477.31,-166.31,12979.46,4326.49,11043.65,-3826.53,1048923.18,1,1,166.31,3826.53,0.3655,
2021-08-08,TRADED,1,0,0,1,1,0,0,0,0,1,0,-49.50,-49.50,-49.50,-49.50,-1117.91,-1117.91,-1117.91,-1117.91,1047805.27,0,1,49.50,1117.91,0.1066,
2021-08-09,TRADED,2,0,0,2,2,0,0,0,0,2,0,-193.90,-96.95,-86.81,-107.09,-4401.24,-2200.62,-1980.13,-2421.11,1043404.03,0,2,193.90,4401.24,0.4200,
2021-08-10,TRADED,8,0,5,3,8,0,0,0,0,8,0,-590.53,-73.82,-10.87,-139.79,-12908.56,-1613.57,-239.11,-3070.78,1030495.47,0,8,590.53,12908.56,1.2372,
2021-08-11,TRADED,7,0,4,3,7,0,0,0,0,7,0,-726.13,-103.73,-10.53,-192.79,-15913.12,-2273.30,-231.00,-4211.23,1014582.37,0,7,726.13,15913.10,1.5442,
2021-08-12,TRADED,3,0,1,2,2,1,0,0,1,2,0,375.84,125.28,559.42,-103.69,8195.26,2731.75,12175.10,-2243.31,1022777.63,1,2,183.58,3979.84,0.3923,
2021-08-13,TRADED,1,0,1,0,0,1,0,0,1,0,0,206.25,206.25,206.25,206.25,4596.58,4596.58,4596.58,4596.58,1027374.21,1,0,0.00,0.00,0.0000,
2021-08-14,TRADED,4,0,0,4,3,1,0,0,1,3,0,-18.13,-4.53,412.67,-247.24,-403.61,-100.90,8765.22,-5266.43,1026970.59,1,2,331.20,7052.16,0.6864,
2021-08-15,TRADED,5,0,2,3,4,1,0,0,1,4,0,-71.55,-14.31,317.34,-185.25,-1548.58,-309.72,6764.25,-3922.01,1025422.02,1,2,197.23,4176.29,0.4067,
2021-08-16,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1025422.02,0,0,0.00,0.00,0.0000,
2021-08-17,TRADED,3,0,1,2,2,1,0,0,1,2,0,399.82,133.27,685.95,-185.36,8587.66,2862.55,14771.23,-4011.34,1034009.68,1,2,286.13,6183.56,0.5945,
2021-08-18,TRADED,4,0,3,1,4,0,0,0,0,4,0,-512.25,-128.06,-36.90,-218.50,-11280.34,-2820.09,-811.94,-4810.32,1022729.34,0,4,512.25,11280.34,1.0909,
2021-08-19,TRADED,4,0,1,3,1,3,0,0,3,1,0,1362.00,340.50,586.95,-119.12,30332.32,7583.08,13053.10,-2644.21,1053061.66,3,1,119.12,2644.21,0.2585,
2021-08-20,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1053061.66,0,0,0.00,0.00,0.0000,
