trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2021-05-14,2021-05-14 21:00:00+00:00,LONG,-891.92,-891.92,999108.08,1000000.00,891.92,0.0892
T00002,2021-05-15,2021-05-15 00:00:00+00:00,SHORT,-4088.46,-4980.37,995019.63,1000000.00,4980.37,0.4980
T00003,2021-05-15,2021-05-15 04:00:00+00:00,SHORT,6312.06,1331.68,1001331.68,1001331.68,0.00,0.0000
T00004,2021-05-15,2021-05-15 17:00:00+00:00,SHORT,17696.00,19027.69,1019027.69,1019027.69,0.00,0.0000
T00005,2021-05-16,2021-05-16 05:00:00+00:00,SHORT,-1966.14,17061.55,1017061.55,1019027.69,1966.14,0.1929
T00006,2021-05-16,2021-05-16 07:00:00+00:00,SHORT,-4067.48,12994.06,1012994.06,1019027.69,6033.63,0.5921
T00007,2021-05-16,2021-05-16 15:00:00+00:00,LONG,-4199.90,8794.17,1008794.17,1019027.69,10233.52,1.0042
T00008,2021-05-16,2021-05-16 16:00:00+00:00,SHORT,7086.53,15880.70,1015880.70,1019027.69,3146.99,0.3088
T00009,2021-05-17,2021-05-17 13:00:00+00:00,LONG,-2501.25,13379.44,1013379.44,1019027.69,5648.25,0.5543
T00010,2021-05-18,2021-05-18 02:00:00+00:00,LONG,18350.53,31729.97,1031729.97,1031729.97,0.00,0.0000
T00011,2021-05-20,2021-05-20 00:00:00+00:00,SHORT,-4230.92,27499.05,1027499.05,1031729.97,4230.92,0.4101
T00012,2021-05-20,2021-05-20 05:00:00+00:00,SHORT,-1628.50,25870.55,1025870.55,1031729.97,5859.42,0.5679
T00013,2021-05-20,2021-05-20 18:00:00+00:00,SHORT,-195.98,25674.57,1025674.57,1031729.97,6055.40,0.5869
T00014,2021-05-21,2021-05-21 05:00:00+00:00,LONG,-3521.02,22153.56,1022153.56,1031729.97,9576.41,0.9282
T00015,2021-05-21,2021-05-21 08:00:00+00:00,SHORT,4917.05,27070.61,1027070.61,1031729.97,4659.36,0.4516
T00016,2021-05-21,2021-05-21 11:00:00+00:00,LONG,-4928.94,22141.67,1022141.67,1031729.97,9588.30,0.9293
