trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,initial_stop_points,initial_risk_points,target_price_points,entry_gap_pct,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2021-05-14,2021-05-14,2021-05-14,2021-05-14 19:00:00+00:00,2021-05-14 20:00:00+00:00,LONG,50164.38,50119.64,50119.64,44.74,50343.35,0.0893,2021-05-14 20:00:00+00:00,2021-05-14 21:00:00+00:00,50119.64,stop_loss_ma_touch,50119.64,-44.74,19.93446346,1000000.00,999108.08,-891.92,-0.0892,-891.92,999108.08,0,
T00002,2021-05-15,2021-05-14,2021-05-15,2021-05-14 22:00:00+00:00,2021-05-14 23:00:00+00:00,SHORT,49965.88,50170.16,50170.16,204.28,49148.75,0.4072,2021-05-14 23:00:00+00:00,2021-05-15 00:00:00+00:00,50170.16,stop_loss_ma_touch,50170.16,-204.28,20.01365732,1000000.00,1004088.46,-4088.46,-0.4088,-4980.37,995019.63,1,
T00003,2021-05-15,2021-05-15,2021-05-15,2021-05-15 02:00:00+00:00,2021-05-15 03:00:00+00:00,SHORT,50126.01,50205.11,50205.11,79.10,49809.61,0.1576,2021-05-15 03:00:00+00:00,2021-05-15 04:00:00+00:00,49809.61,target_hit_rr,50205.11,316.40,19.94972271,1000000.00,993687.94,6312.06,0.6312,1331.68,1001331.68,0,Fixed 4R target hit.
T00004,2021-05-15,2021-05-15,2021-05-15,2021-05-15 14:00:00+00:00,2021-05-15 15:00:00+00:00,SHORT,49432.45,49651.14,49651.14,218.69,48557.69,0.4405,2021-05-15 16:00:00+00:00,2021-05-15 17:00:00+00:00,48557.69,target_hit_rr,49555.77,874.76,20.22962649,1000000.00,982304.00,17696.00,1.7696,19027.69,1019027.69,0,Fixed 4R target hit.
T00005,2021-05-16,2021-05-16,2021-05-16,2021-05-16 03:00:00+00:00,2021-05-16 04:00:00+00:00,SHORT,48376.17,48471.28,48471.28,95.11,47995.71,0.1962,2021-05-16 04:00:00+00:00,2021-05-16 05:00:00+00:00,48471.28,stop_loss_ma_touch,48471.28,-95.11,20.67133467,1000000.00,1001966.14,-1966.14,-0.1966,17061.55,1017061.55,0,
T00006,2021-05-16,2021-05-16,2021-05-16,2021-05-16 05:00:00+00:00,2021-05-16 06:00:00+00:00,SHORT,48159.06,48354.95,48354.95,195.89,47375.52,0.4051,2021-05-16 06:00:00+00:00,2021-05-16 07:00:00+00:00,48354.95,stop_loss_ma_touch,48354.95,-195.89,20.76452489,1000000.00,1004067.48,-4067.48,-0.4067,12994.06,1012994.06,0,
T00007,2021-05-16,2021-05-16,2021-05-16,2021-05-16 12:00:00+00:00,2021-05-16 13:00:00+00:00,LONG,48649.82,48448.35,48448.35,201.47,49455.70,0.4158,2021-05-16 14:00:00+00:00,2021-05-16 15:00:00+00:00,48445.50,stop_loss_ma_touch,48445.50,-204.32,20.55506064,1000000.00,995800.10,-4199.90,-0.4200,8794.17,1008794.17,0,
T00008,2021-05-16,2021-05-16,2021-05-16,2021-05-16 14:00:00+00:00,2021-05-16 15:00:00+00:00,SHORT,48313.27,48398.86,48398.86,85.59,47970.90,0.1768,2021-05-16 15:00:00+00:00,2021-05-16 16:00:00+00:00,47970.90,target_hit_rr,48398.86,342.37,20.69824709,1000000.00,992913.47,7086.53,0.7087,15880.70,1015880.70,0,Fixed 4R target hit.
T00009,2021-05-17,2021-05-17,2021-05-17,2021-05-17 11:00:00+00:00,2021-05-17 12:00:00+00:00,LONG,45803.18,45688.61,45688.61,114.57,46261.44,0.2508,2021-05-17 12:00:00+00:00,2021-05-17 13:00:00+00:00,45688.61,stop_loss_ma_touch,45688.61,-114.57,21.83254525,1000000.00,997498.75,-2501.25,-0.2501,13379.44,1013379.44,0,
T00010,2021-05-18,2021-05-18,2021-05-18,2021-05-18 00:00:00+00:00,2021-05-18 01:00:00+00:00,LONG,44399.99,44196.30,44196.30,203.69,45214.75,0.4609,2021-05-18 01:00:00+00:00,2021-05-18 02:00:00+00:00,45214.75,target_hit_rr,44196.30,814.76,22.52252760,1000000.00,1018350.53,18350.53,1.8351,31729.97,1031729.97,0,Fixed 4R target hit.
T00011,2021-05-20,2021-05-19,2021-05-20,2021-05-19 22:00:00+00:00,2021-05-19 23:00:00+00:00,SHORT,39188.87,39354.67,39354.67,165.80,38525.65,0.4213,2021-05-19 23:00:00+00:00,2021-05-20 00:00:00+00:00,39354.67,stop_loss_ma_touch,39354.67,-165.80,25.51744921,1000000.00,1004230.92,-4230.92,-0.4231,27499.05,1027499.05,1,
T00012,2021-05-20,2021-05-20,2021-05-20,2021-05-20 03:00:00+00:00,2021-05-20 04:00:00+00:00,SHORT,38416.03,38478.59,38478.59,62.56,38165.79,0.1626,2021-05-20 04:00:00+00:00,2021-05-20 05:00:00+00:00,38478.59,stop_loss_ma_touch,38478.59,-62.56,26.03080016,1000000.00,1001628.50,-1628.50,-0.1628,25870.55,1025870.55,0,
T00013,2021-05-20,2021-05-20,2021-05-20,2021-05-20 16:00:00+00:00,2021-05-20 17:00:00+00:00,SHORT,39410.98,39418.70,39418.70,7.72,39380.09,0.0196,2021-05-20 17:00:00+00:00,2021-05-20 18:00:00+00:00,39418.70,stop_loss_ma_touch,39418.70,-7.72,25.37363953,1000000.00,1000195.98,-195.98,-0.0196,25674.57,1025674.57,0,
