period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,19,1,3,0,42,0,19,23,32,10,0,0,5,10,0,1900.69,126.71,39123.61,2608.24,1039123.62,2021-05-15,1284.67,25921.61,2021-05-21,-297.09,-7263.40,2,3,564.83,15941.15,1.5109
2021-06,30,0,1,0,110,0,59,51,94,16,0,0,11,18,0,809.30,27.91,17668.41,609.26,1056792.04,2021-06-18,936.65,24745.04,2021-06-19,-433.42,-12091.10,2,5,1198.07,34728.52,3.1906
2021-07,31,2,0,0,149,0,78,71,124,25,0,0,15,14,0,2250.71,77.61,75774.49,2612.91,1132566.59,2021-07-09,828.12,25069.27,2021-07-29,-859.75,-21567.10,6,3,1376.71,35095.78,3.0758
2021-08,31,2,3,0,119,0,60,59,102,17,0,0,13,13,0,391.43,15.05,10974.91,422.11,1143541.54,2021-08-19,1545.97,34371.99,2021-08-22,-883.20,-18014.67,4,4,1626.85,34340.81,2.9950
2021-09,30,1,2,0,169,0,90,79,153,16,0,0,11,16,0,-3844.41,-142.39,-80457.64,-2979.91,1063083.94,2021-09-01,1034.56,21722.58,2021-09-09,-1467.21,-31718.34,2,5,5432.30,115701.60,9.9292
2021-10,31,0,2,0,170,0,84,86,149,21,0,0,10,19,0,-572.70,-19.75,-13724.35,-473.25,1049359.53,2021-10-13,2016.33,35973.23,2021-10-17,-1557.89,-25546.97,4,5,3418.00,56996.33,5.2422
2021-11,30,0,2,0,140,1,60,80,123,16,1,0,12,16,0,-1024.81,-36.60,-14112.76,-504.03,1035246.78,2021-11-16,1625.21,25056.68,2021-11-03,-1563.92,-24796.55,6,5,4539.29,71102.47,6.7758
2021-12,31,0,1,0,171,0,88,83,149,22,0,0,11,19,0,49.31,1.64,7973.95,265.80,1043220.76,2021-12-20,1148.90,24542.27,2021-12-05,-1094.00,-22252.45,2,7,4081.51,75395.59,7.2829
2022-01,31,1,2,0,180,0,93,87,160,20,0,0,11,17,0,-3107.61,-110.99,-63219.15,-2257.83,980001.62,2022-01-12,875.62,20565.41,2022-01-16,-1256.01,-29130.72,2,7,5442.34,122352.67,11.7284
2022-02,28,2,1,0,161,0,85,76,144,17,0,0,7,18,0,-3051.49,-122.06,-65961.58,-2638.46,914040.07,2022-02-04,1567.90,42146.91,2022-02-06,-1462.90,-35154.86,2,6,5263.80,124861.21,12.3443
2022-03,31,1,2,0,214,0,108,106,187,27,0,0,15,13,0,1387.56,49.56,40262.57,1437.95,954302.65,2022-03-16,1701.30,43336.09,2022-03-12,-956.50,-24453.33,4,3,1558.90,35144.01,3.5793
2022-04,30,0,4,0,148,0,83,65,137,11,0,0,7,19,0,-4349.69,-167.30,-105320.48,-4050.79,848982.17,2022-04-29,589.57,14942.67,2022-04-24,-947.02,-23894.76,3,11,5817.66,141721.44,14.7415
2022-05,31,0,1,0,150,0,86,64,136,14,0,0,12,18,0,-1592.78,-53.09,-58473.46,-1949.12,790508.69,2022-05-15,1220.20,41014.88,2022-05-26,-920.88,-31133.95,3,6,3017.09,102744.74,11.5966
2022-06,30,0,2,0,114,0,49,65,94,20,0,0,13,15,0,1160.32,41.44,49981.77,1785.06,840490.48,2022-06-07,622.55,20747.52,2022-06-04,-475.10,-16020.97,2,3,858.03,28320.83,3.4617
2022-07,31,2,1,0,132,0,74,58,113,19,0,0,14,14,0,484.98,17.32,25600.63,914.31,866091.12,2022-07-27,599.68,28309.98,2022-07-09,-616.17,-28472.29,3,5,872.83,40330.82,4.7869
2022-08,31,0,1,0,176,0,88,88,153,23,0,0,16,14,0,432.72,14.42,12198.90,406.63,878290.04,2022-08-17,609.63,25536.67,2022-08-28,-465.67,-23306.82,4,4,1216.68,59978.35,6.3925
2022-09,30,1,1,0,163,0,85,78,147,16,0,0,11,17,0,407.33,14.55,23920.02,854.29,902210.02,2022-09-01,619.18,30868.56,2022-09-11,-382.65,-17721.89,2,5,978.08,47521.96,5.1469
2022-10,31,1,2,0,188,0,93,95,163,25,0,0,14,14,0,291.77,10.42,13541.32,483.62,915751.29,2022-10-28,514.40,24989.10,2022-10-03,-314.31,-16377.09,2,4,809.43,41022.73,4.5240
2022-11,30,0,2,0,182,0,92,90,162,20,0,0,10,18,0,-243.44,-8.69,-11820.33,-422.15,903930.95,2022-11-08,513.13,24873.44,2022-11-03,-338.74,-16692.11,2,7,1001.36,48515.35,5.2979
2022-12,31,0,0,0,222,0,111,111,199,23,0,0,9,22,0,-124.28,-4.01,-8762.47,-282.66,895168.56,2022-12-13,376.11,21911.94,2022-12-02,-202.72,-11974.58,4,12,615.30,36305.08,3.8976
2023-01,31,1,1,0,187,0,103,84,164,23,0,0,12,17,0,415.81,14.34,26266.92,905.76,921435.44,2023-01-25,842.01,36888.88,2023-01-27,-534.34,-23217.99,3,5,1274.88,56597.28,5.9942
2023-02,28,0,0,0,135,0,65,70,114,21,0,0,18,10,0,3159.30,112.83,131377.99,4692.07,1052813.44,2023-02-09,958.88,41976.34,2023-02-01,-309.21,-13433.68,5,2,486.03,22322.74,2.3116
2023-03,31,1,2,0,153,1,79,74,132,20,1,0,14,14,0,2811.33,100.40,113035.20,4036.97,1165848.66,2023-03-24,1012.87,36103.04,2023-03-06,-228.34,-10187.41,3,5,523.03,23075.58,2.1551
2023-04,30,1,1,0,176,0,84,92,159,17,0,0,9,19,0,-836.62,-29.88,-31131.14,-1111.83,1134717.52,2023-04-20,684.56,23690.33,2023-04-04,-564.13,-20168.00,3,8,2432.16,86107.98,7.0533
2023-05,31,1,0,0,160,1,83,77,135,24,1,0,10,20,0,-642.02,-21.40,-22392.10,-746.40,1112325.46,2023-05-24,676.79,24931.51,2023-05-07,-368.51,-12721.84,2,7,1216.50,42230.52,3.7217
2023-06,30,0,1,0,184,0,98,86,166,18,0,0,10,19,0,-1871.45,-64.53,-68478.75,-2361.34,1043846.65,2023-06-16,601.16,23501.12,2023-06-12,-588.98,-22790.59,3,5,2353.00,84286.31,7.5775
2023-07,31,0,0,0,209,0,109,100,182,27,0,0,13,18,0,608.88,19.64,19189.52,619.02,1063036.20,2023-07-24,1047.89,35122.97,2023-07-19,-493.06,-16441.38,2,5,1002.16,33344.12,3.0808
2023-08,31,0,2,0,197,0,103,94,168,29,0,0,12,17,0,230.53,7.95,6755.27,232.94,1069791.49,2023-08-08,451.97,15517.93,2023-08-28,-223.51,-8572.51,3,6,630.18,24146.59,2.2194
2023-09,30,2,0,0,225,0,99,126,206,19,0,0,8,20,0,-2159.85,-77.14,-81703.49,-2917.98,988087.94,2023-09-07,628.03,24281.67,2023-09-13,-400.07,-15441.33,2,5,2325.05,88146.83,8.2362
2023-10,31,1,2,0,192,0,102,90,169,23,0,0,13,15,0,-491.19,-17.54,-9172.65,-327.59,978915.35,2023-10-01,395.38,14556.27,2023-10-17,-386.02,-13554.76,4,4,1575.46,47397.91,4.6183
2023-11,30,0,1,0,194,0,105,89,171,23,0,0,9,20,0,-2889.60,-99.64,-79415.08,-2738.45,899500.26,2023-11-15,524.86,14625.95,2023-11-11,-575.09,-15494.95,2,10,2949.55,81628.56,8.3309
2023-12,31,0,1,0,155,0,68,87,128,27,0,0,14,16,0,-82.39,-2.75,1867.49,62.25,901367.73,2023-12-01,769.62,20267.38,2023-12-12,-735.81,-17649.55,4,3,2150.07,49995.11,5.2979
2024-01,31,0,0,0,208,0,100,108,189,19,0,0,11,20,0,-6236.14,-201.17,-147351.63,-4753.28,754016.07,2024-01-12,999.41,21533.52,2024-01-05,-1404.05,-32141.28,2,6,6687.84,158041.90,17.4495
2024-02,29,0,2,1,168,1,85,83,145,23,0,0,11,15,0,1486.27,57.16,19609.41,754.21,773625.48,2024-02-17,1128.05,21775.61,2024-02-16,-1123.51,-21602.36,3,5,2726.80,58250.29,7.7253
2024-03,31,1,2,0,138,0,70,68,114,24,0,0,16,12,0,2342.71,83.67,33484.61,1195.88,807110.10,2024-03-15,1155.77,16067.23,2024-03-12,-1207.24,-16763.48,4,6,2677.90,40431.31,4.9768
2024-04,30,0,1,0,163,0,80,83,143,20,0,0,11,18,0,-2624.93,-90.51,-42080.92,-1451.07,765029.24,2024-04-10,1361.56,19597.11,2024-04-26,-1425.63,-22163.06,3,6,5633.93,84995.89,10.1479
2024-05,31,2,0,0,158,1,82,76,133,25,0,0,13,16,0,5820.35,200.70,92474.38,3188.77,857503.62,2024-05-09,1408.89,22771.10,2024-05-22,-1242.50,-17813.14,3,3,1403.01,20099.95,2.4206
2024-06,30,0,0,0,185,0,95,90,163,22,0,0,11,19,0,-3934.94,-131.16,-56145.51,-1871.52,801358.09,2024-06-24,1077.81,16821.92,2024-06-19,-1202.79,-18464.72,3,9,5758.36,83883.32,9.7823
2024-07,31,1,4,0,134,0,72,62,115,19,0,0,11,15,0,-439.52,-16.90,4857.03,186.81,806215.15,2024-07-10,1346.16,23287.32,2024-07-31,-1473.69,-22231.72,6,10,6176.38,94480.60,10.4897
