trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2021-05-14,2021-05-14 00:30:00+00:00,SHORT,-2769.28,-2769.28,997230.72,1000000.00,2769.28,0.2769
T00002,2021-05-14,2021-05-14 01:00:00+00:00,SHORT,-949.25,-3718.53,996281.47,1000000.00,3718.53,0.3719
T00003,2021-05-14,2021-05-14 02:30:00+00:00,LONG,-4813.97,-8532.49,991467.51,1000000.00,8532.49,0.8532
T00004,2021-05-14,2021-05-14 04:00:00+00:00,SHORT,9803.25,1270.75,1001270.75,1001270.75,0.00,0.0000
T00005,2021-05-14,2021-05-14 06:30:00+00:00,LONG,-1781.72,-510.97,999489.03,1001270.75,1781.72,0.1779
T00006,2021-05-14,2021-05-14 20:30:00+00:00,LONG,-2614.91,-3125.88,996874.12,1001270.75,4396.63,0.4391
T00007,2021-05-14,2021-05-14 23:00:00+00:00,SHORT,-4284.80,-7410.68,992589.32,1001270.75,8681.43,0.8670
T00008,2021-05-14,2021-05-14 23:30:00+00:00,SHORT,-3719.60,-11130.28,988869.72,1001270.75,12401.03,1.2385
T00009,2021-05-15,2021-05-15 00:30:00+00:00,SHORT,-3086.78,-14217.06,985782.94,1001270.75,15487.81,1.5468
T00010,2021-05-15,2021-05-15 03:00:00+00:00,LONG,-4063.69,-18280.75,981719.25,1001270.75,19551.50,1.9527
T00011,2021-05-15,2021-05-15 03:30:00+00:00,SHORT,4635.69,-13645.06,986354.94,1001270.75,14915.81,1.4897
T00012,2021-05-15,2021-05-15 16:30:00+00:00,SHORT,13985.54,340.48,1000340.48,1001270.75,930.27,0.0929
T00013,2021-05-16,2021-05-16 04:30:00+00:00,SHORT,-1799.13,-1458.64,998541.36,1001270.75,2729.39,0.2726
T00014,2021-05-16,2021-05-16 05:00:00+00:00,SHORT,3468.12,2009.48,1002009.48,1002009.48,0.00,0.0000
T00015,2021-05-16,2021-05-16 06:30:00+00:00,SHORT,-3283.09,-1273.61,998726.39,1002009.48,3283.09,0.3277
T00016,2021-05-16,2021-05-16 14:30:00+00:00,LONG,-4300.46,-5574.08,994425.92,1002009.48,7583.56,0.7568
T00017,2021-05-16,2021-05-16 15:00:00+00:00,SHORT,-371.24,-5945.32,994054.68,1002009.48,7954.80,0.7939
T00018,2021-05-16,2021-05-16 15:30:00+00:00,SHORT,5746.00,-199.32,999800.68,1002009.48,2208.80,0.2204
T00019,2021-05-17,2021-05-17 12:30:00+00:00,LONG,-2048.16,-2247.47,997752.53,1002009.48,4256.95,0.4248
T00020,2021-05-17,2021-05-17 21:00:00+00:00,SHORT,-3088.98,-5336.45,994663.55,1002009.48,7345.93,0.7331
T00021,2021-05-17,2021-05-17 22:00:00+00:00,SHORT,9560.44,4223.98,1004223.98,1004223.98,0.00,0.0000
T00022,2021-05-18,2021-05-18 01:30:00+00:00,LONG,13852.38,18076.37,1018076.37,1018076.37,0.00,0.0000
T00023,2021-05-19,2021-05-19 23:30:00+00:00,SHORT,-3449.95,14626.41,1014626.41,1018076.37,3449.96,0.3389
T00024,2021-05-20,2021-05-20 04:00:00+00:00,SHORT,2315.44,16941.85,1016941.85,1018076.37,1134.52,0.1114
T00025,2021-05-20,2021-05-20 17:30:00+00:00,SHORT,-1569.08,15372.77,1015372.77,1018076.37,2703.60,0.2656
T00026,2021-05-20,2021-05-20 18:00:00+00:00,SHORT,-2492.82,12879.95,1012879.95,1018076.37,5196.42,0.5104
T00027,2021-05-21,2021-05-21 04:00:00+00:00,LONG,-3694.83,9185.12,1009185.12,1018076.37,8891.25,0.8733
T00028,2021-05-21,2021-05-21 04:30:00+00:00,LONG,-4644.06,4541.06,1004541.06,1018076.37,13535.31,1.3295
T00029,2021-05-21,2021-05-21 07:30:00+00:00,SHORT,-185.29,4355.77,1004355.77,1018076.37,13720.60,1.3477
T00030,2021-05-21,2021-05-21 10:00:00+00:00,SHORT,-3440.35,915.42,1000915.42,1018076.37,17160.95,1.6856
T00031,2021-05-21,2021-05-21 11:30:00+00:00,LONG,-2535.44,-1620.01,998379.99,1018076.37,19696.38,1.9347
T00032,2021-05-21,2021-05-21 13:30:00+00:00,SHORT,-2632.08,-4252.09,995747.91,1018076.37,22328.46,2.1932
T00033,2021-05-22,2021-05-22 11:00:00+00:00,SHORT,-1035.12,-5287.22,994712.78,1018076.37,23363.59,2.2949
T00034,2021-05-22,2021-05-22 20:30:00+00:00,LONG,3758.14,-1529.08,998470.92,1018076.37,19605.45,1.9257
T00035,2021-05-23,2021-05-23 00:00:00+00:00,LONG,-3643.41,-5172.49,994827.51,1018076.37,23248.86,2.2836
T00036,2021-05-23,2021-05-23 00:30:00+00:00,SHORT,-1252.52,-6425.01,993574.99,1018076.37,24501.38,2.4066
T00037,2021-05-23,2021-05-23 01:00:00+00:00,LONG,3797.98,-2627.02,997372.98,1018076.37,20703.39,2.0336
T00038,2021-05-23,2021-05-23 03:00:00+00:00,LONG,-1822.05,-4449.07,995550.93,1018076.37,22525.44,2.2125
T00039,2021-05-23,2021-05-23 03:30:00+00:00,SHORT,-1370.47,-5819.54,994180.46,1018076.37,23895.91,2.3472
T00040,2021-05-23,2021-05-23 04:00:00+00:00,SHORT,-1822.30,-7641.84,992358.16,1018076.37,25718.21,2.5262
T00041,2021-05-23,2021-05-23 04:30:00+00:00,SHORT,7909.91,268.07,1000268.07,1018076.37,17808.30,1.7492
T00042,2021-05-25,2021-05-25 09:30:00+00:00,LONG,-320.49,-52.43,999947.57,1018076.37,18128.80,1.7807
T00043,2021-05-25,2021-05-25 10:30:00+00:00,SHORT,13475.54,13423.12,1013423.12,1018076.37,4653.25,0.4571
T00044,2021-05-25,2021-05-25 16:30:00+00:00,LONG,-2483.62,10939.49,1010939.49,1018076.37,7136.88,0.7010
T00045,2021-05-25,2021-05-25 19:00:00+00:00,SHORT,-3068.64,7870.85,1007870.85,1018076.37,10205.52,1.0024
T00046,2021-05-25,2021-05-25 22:30:00+00:00,SHORT,-3322.41,4548.45,1004548.45,1018076.37,13527.92,1.3288
T00047,2021-05-26,2021-05-26 00:00:00+00:00,LONG,-4970.75,-422.31,999577.69,1018076.37,18498.68,1.8170
T00048,2021-05-26,2021-05-26 01:00:00+00:00,SHORT,-3062.16,-3484.47,996515.53,1018076.37,21560.84,2.1178
T00049,2021-05-26,2021-05-26 01:30:00+00:00,LONG,8799.02,5314.55,1005314.55,1018076.37,12761.82,1.2535
T00050,2021-05-26,2021-05-26 14:30:00+00:00,SHORT,-559.04,4755.51,1004755.51,1018076.37,13320.86,1.3084
T00051,2021-05-26,2021-05-26 17:00:00+00:00,LONG,-3303.04,1452.47,1001452.47,1018076.37,16623.90,1.6329
T00052,2021-05-26,2021-05-26 18:30:00+00:00,SHORT,3750.52,5202.99,1005202.99,1018076.37,12873.38,1.2645
T00053,2021-05-27,2021-05-27 00:00:00+00:00,SHORT,-4742.37,460.62,1000460.62,1018076.37,17615.75,1.7303
T00054,2021-05-27,2021-05-27 00:30:00+00:00,LONG,-34.10,426.52,1000426.52,1018076.37,17649.85,1.7336
T00055,2021-05-27,2021-05-27 09:00:00+00:00,SHORT,-1398.70,-972.18,999027.82,1018076.37,19048.55,1.8710
T00056,2021-05-27,2021-05-27 09:30:00+00:00,LONG,9144.63,8172.45,1008172.45,1018076.37,9903.92,0.9728
T00057,2021-05-27,2021-05-27 17:30:00+00:00,LONG,-1690.20,6482.24,1006482.24,1018076.37,11594.13,1.1388
T00058,2021-05-27,2021-05-27 19:30:00+00:00,LONG,-4418.88,2063.37,1002063.37,1018076.37,16013.00,1.5729
T00059,2021-05-27,2021-05-27 20:30:00+00:00,SHORT,-797.62,1265.75,1001265.75,1018076.37,16810.62,1.6512
T00060,2021-05-27,2021-05-27 22:00:00+00:00,SHORT,-855.02,410.73,1000410.73,1018076.37,17665.64,1.7352
T00061,2021-05-27,2021-05-27 22:30:00+00:00,LONG,-4517.82,-4107.09,995892.91,1018076.37,22183.46,2.1790
T00062,2021-05-28,2021-05-28 01:00:00+00:00,SHORT,9856.16,5749.07,1005749.07,1018076.37,12327.30,1.2108
T00063,2021-05-29,2021-05-29 02:00:00+00:00,SHORT,3682.95,9432.02,1009432.02,1018076.37,8644.35,0.8491
T00064,2021-05-29,2021-05-29 03:30:00+00:00,LONG,-953.25,8478.76,1008478.76,1018076.37,9597.61,0.9427
T00065,2021-05-29,2021-05-29 08:30:00+00:00,LONG,-493.66,7985.10,1007985.10,1018076.37,10091.27,0.9912
T00066,2021-05-30,2021-05-30 05:00:00+00:00,SHORT,-2576.84,5408.27,1005408.27,1018076.37,12668.10,1.2443
T00067,2021-05-30,2021-05-30 05:30:00+00:00,SHORT,-2453.42,2954.85,1002954.85,1018076.37,15121.52,1.4853
T00068,2021-05-31,2021-05-31 00:30:00+00:00,LONG,-2195.36,759.49,1000759.49,1018076.37,17316.88,1.7009
T00069,2021-05-31,2021-05-31 01:00:00+00:00,SHORT,4983.06,5742.56,1005742.56,1018076.37,12333.81,1.2115
T00070,2021-06-01,2021-06-01 06:00:00+00:00,LONG,12856.72,18599.28,1018599.28,1018599.28,0.00,0.0000
T00071,2021-06-01,2021-06-01 07:30:00+00:00,LONG,-2324.50,16274.78,1016274.78,1018599.28,2324.50,0.2282
T00072,2021-06-01,2021-06-01 08:00:00+00:00,SHORT,-2466.44,13808.34,1013808.34,1018599.28,4790.94,0.4703
T00073,2021-06-01,2021-06-01 08:30:00+00:00,SHORT,-1347.65,12460.68,1012460.68,1018599.28,6138.60,0.6027
T00074,2021-06-01,2021-06-01 15:00:00+00:00,LONG,-150.15,12310.53,1012310.53,1018599.28,6288.75,0.6174
T00075,2021-06-01,2021-06-01 23:30:00+00:00,SHORT,-4950.04,7360.49,1007360.49,1018599.28,11238.79,1.1034
T00076,2021-06-02,2021-06-02 00:00:00+00:00,LONG,-3945.53,3414.96,1003414.96,1018599.28,15184.32,1.4907
T00077,2021-06-02,2021-06-02 00:30:00+00:00,LONG,-2733.50,681.46,1000681.46,1018599.28,17917.82,1.7591
T00078,2021-06-02,2021-06-02 02:30:00+00:00,SHORT,-4964.19,-4282.74,995717.26,1018599.28,22882.02,2.2464
T00079,2021-06-02,2021-06-02 03:00:00+00:00,SHORT,-178.47,-4461.21,995538.79,1018599.28,23060.49,2.2639
