trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2025-05-15,2025-05-15 01:15:00+00:00,LONG,-1066.48,-1066.48,998933.52,1000000.00,1066.48,0.1066
T00002,2025-05-15,2025-05-15 01:30:00+00:00,SHORT,-94.95,-1161.43,998838.57,1000000.00,1161.43,0.1161
T00003,2025-05-15,2025-05-15 02:00:00+00:00,SHORT,4137.13,2975.70,1002975.70,1002975.70,0.00,0.0000
T00004,2025-05-15,2025-05-15 15:45:00+00:00,SHORT,2133.63,5109.33,1005109.33,1005109.33,0.00,0.0000
T00005,2025-05-15,2025-05-15 17:00:00+00:00,LONG,6813.89,11923.23,1011923.23,1011923.23,0.00,0.0000
T00006,2025-05-15,2025-05-15 19:00:00+00:00,LONG,-4300.52,7622.71,1007622.71,1011923.23,4300.52,0.4250
T00007,2025-05-15,2025-05-15 19:15:00+00:00,SHORT,-1619.79,6002.92,1006002.92,1011923.23,5920.31,0.5851
T00008,2025-05-15,2025-05-15 19:30:00+00:00,LONG,-1750.23,4252.70,1004252.70,1011923.23,7670.53,0.7580
T00009,2025-05-15,2025-05-15 19:45:00+00:00,SHORT,-403.52,3849.18,1003849.18,1011923.23,8074.05,0.7979
T00010,2025-05-15,2025-05-15 21:30:00+00:00,LONG,-2250.27,1598.91,1001598.91,1011923.23,10324.32,1.0203
T00011,2025-05-15,2025-05-15 22:30:00+00:00,LONG,8853.56,10452.47,1010452.47,1011923.23,1470.76,0.1453
T00012,2025-05-16,2025-05-16 08:30:00+00:00,LONG,-4708.18,5744.29,1005744.29,1011923.23,6178.94,0.6106
T00013,2025-05-16,2025-05-16 08:45:00+00:00,LONG,-298.29,5446.00,1005446.00,1011923.23,6477.23,0.6401
T00014,2025-05-16,2025-05-16 09:00:00+00:00,LONG,-634.37,4811.64,1004811.64,1011923.23,7111.59,0.7028
T00015,2025-05-16,2025-05-16 13:00:00+00:00,LONG,1075.74,5887.37,1005887.37,1011923.23,6035.86,0.5965
T00016,2025-05-16,2025-05-16 13:15:00+00:00,SHORT,-61.93,5825.44,1005825.44,1011923.23,6097.79,0.6026
T00017,2025-05-16,2025-05-16 13:30:00+00:00,LONG,-1026.42,4799.03,1004799.03,1011923.23,7124.20,0.7040
T00018,2025-05-16,2025-05-16 13:45:00+00:00,SHORT,-202.31,4596.71,1004596.71,1011923.23,7326.52,0.7240
T00019,2025-05-16,2025-05-16 14:15:00+00:00,LONG,-1731.45,2865.26,1002865.26,1011923.23,9057.97,0.8951
T00020,2025-05-16,2025-05-16 14:30:00+00:00,LONG,-213.42,2651.84,1002651.84,1011923.23,9271.39,0.9162
T00021,2025-05-16,2025-05-16 14:45:00+00:00,LONG,-2191.12,460.72,1000460.72,1011923.23,11462.51,1.1327
T00022,2025-05-16,2025-05-16 15:00:00+00:00,SHORT,-2676.33,-2215.61,997784.39,1011923.23,14138.84,1.3972
T00023,2025-05-16,2025-05-16 15:15:00+00:00,SHORT,-503.42,-2719.03,997280.97,1011923.23,14642.26,1.4470
T00024,2025-05-16,2025-05-16 19:00:00+00:00,LONG,-3584.41,-6303.44,993696.56,1011923.23,18226.67,1.8012
T00025,2025-05-16,2025-05-16 19:15:00+00:00,SHORT,-593.35,-6896.79,993103.21,1011923.23,18820.02,1.8598
T00026,2025-05-16,2025-05-16 19:30:00+00:00,SHORT,1040.05,-5856.74,994143.26,1011923.23,17779.97,1.7570
T00027,2025-05-16,2025-05-16 20:00:00+00:00,LONG,-237.86,-6094.61,993905.39,1011923.23,18017.84,1.7806
T00028,2025-05-16,2025-05-16 20:45:00+00:00,LONG,-2268.79,-8363.39,991636.61,1011923.23,20286.62,2.0048
T00029,2025-05-17,2025-05-17 01:30:00+00:00,SHORT,7404.32,-959.07,999040.93,1011923.23,12882.30,1.2731
T00030,2025-05-17,2025-05-17 05:15:00+00:00,SHORT,-4065.46,-5024.53,994975.47,1011923.23,16947.76,1.6748
T00031,2025-05-17,2025-05-17 07:30:00+00:00,SHORT,-369.38,-5393.91,994606.09,1011923.23,17317.14,1.7113
T00032,2025-05-17,2025-05-17 07:45:00+00:00,SHORT,-64.70,-5458.60,994541.40,1011923.23,17381.83,1.7177
T00033,2025-05-17,2025-05-17 09:30:00+00:00,SHORT,5309.13,-149.47,999850.53,1011923.23,12072.70,1.1930
T00034,2025-05-17,2025-05-17 18:15:00+00:00,SHORT,-2863.12,-3012.58,996987.42,1011923.23,14935.81,1.4760
T00035,2025-05-17,2025-05-17 18:30:00+00:00,SHORT,-605.94,-3618.53,996381.47,1011923.23,15541.76,1.5359
T00036,2025-05-17,2025-05-17 20:45:00+00:00,SHORT,-173.20,-3791.73,996208.27,1011923.23,15714.96,1.5530
T00037,2025-05-17,2025-05-17 21:00:00+00:00,LONG,-269.70,-4061.43,995938.57,1011923.23,15984.66,1.5796
T00038,2025-05-17,2025-05-17 21:30:00+00:00,LONG,-1550.91,-5612.34,994387.66,1011923.23,17535.57,1.7329
T00039,2025-05-17,2025-05-17 21:45:00+00:00,LONG,-56.09,-5668.43,994331.57,1011923.23,17591.66,1.7384
T00040,2025-05-17,2025-05-17 22:00:00+00:00,LONG,-253.72,-5922.15,994077.85,1011923.23,17845.38,1.7635
T00041,2025-05-17,2025-05-17 22:15:00+00:00,LONG,-507.09,-6429.24,993570.76,1011923.23,18352.47,1.8136
T00042,2025-05-17,2025-05-17 23:30:00+00:00,SHORT,-1650.96,-8080.20,991919.80,1011923.23,20003.43,1.9768
T00043,2025-05-17,2025-05-17 23:45:00+00:00,SHORT,-84.79,-8165.00,991835.00,1011923.23,20088.23,1.9852
T00044,2025-05-18,2025-05-18 00:00:00+00:00,SHORT,-83.17,-8248.17,991751.83,1011923.23,20171.40,1.9934
T00045,2025-05-18,2025-05-18 00:15:00+00:00,SHORT,-348.79,-8596.97,991403.03,1011923.23,20520.20,2.0278
T00046,2025-05-18,2025-05-18 00:30:00+00:00,LONG,-687.91,-9284.88,990715.12,1011923.23,21208.11,2.0958
T00047,2025-05-18,2025-05-18 02:00:00+00:00,LONG,-932.05,-10216.93,989783.07,1011923.23,22140.16,2.1879
