trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,initial_stop_points,initial_risk_points,target_price_points,entry_gap_pct,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 00:15:00+00:00,LONG,103726.32,103617.73,103617.73,108.59,104160.68,0.1048,2025-05-15 01:00:00+00:00,2025-05-15 01:15:00+00:00,103615.70,stop_loss_ma_touch,103615.70,-110.62,9.64075463,1000000.00,998933.52,-1066.48,-0.1066,-1066.48,998933.52,0,
T00002,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:00:00+00:00,2025-05-15 01:15:00+00:00,SHORT,103601.48,103611.32,103611.32,9.84,103562.13,0.0095,2025-05-15 01:15:00+00:00,2025-05-15 01:30:00+00:00,103611.32,stop_loss_ma_touch,103611.32,-9.84,9.65237176,1000000.00,1000094.95,-94.95,-0.0095,-1161.43,998838.57,0,
T00003,2025-05-15,2025-05-15,2025-05-15,2025-05-15 01:15:00+00:00,2025-05-15 01:30:00+00:00,SHORT,103500.02,103607.07,103607.07,107.05,103071.83,0.1033,2025-05-15 01:45:00+00:00,2025-05-15 02:00:00+00:00,103071.83,target_hit_rr,103599.71,428.19,9.66183388,1000000.00,995862.87,4137.13,0.4137,2975.70,1002975.70,0,Fixed 4R target hit.
T00004,2025-05-15,2025-05-15,2025-05-15,2025-05-15 02:00:00+00:00,2025-05-15 02:15:00+00:00,SHORT,103069.52,103585.88,103585.88,516.36,101004.07,0.4985,2025-05-15 15:30:00+00:00,2025-05-15 15:45:00+00:00,102849.61,stop_loss_ma_touch,102849.61,219.91,9.70218936,1000000.00,997866.37,2133.63,0.2134,5109.33,1005109.33,0,
T00005,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:30:00+00:00,2025-05-15 15:45:00+00:00,LONG,103021.05,102845.56,102845.56,175.49,103723.02,0.1706,2025-05-15 16:45:00+00:00,2025-05-15 17:00:00+00:00,103723.02,target_hit_rr,102836.65,701.97,9.70675411,1000000.00,1006813.89,6813.89,0.6814,11923.23,1011923.23,0,Fixed 4R target hit.
T00006,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:30:00+00:00,2025-05-15 18:45:00+00:00,LONG,103331.76,102887.38,102887.38,444.38,105109.28,0.4319,2025-05-15 18:45:00+00:00,2025-05-15 19:00:00+00:00,102887.38,stop_loss_ma_touch,102887.38,-444.38,9.67756670,1000000.00,995699.48,-4300.52,-0.4301,7622.71,1007622.71,0,
T00007,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:45:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102878.74,102878.74,166.37,102046.88,0.1617,2025-05-15 19:00:00+00:00,2025-05-15 19:15:00+00:00,102878.74,stop_loss_ma_touch,102878.74,-166.37,9.73592567,1000000.00,1001619.79,-1619.79,-0.1620,6002.92,1006002.92,0,
T00008,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 19:15:00+00:00,LONG,103053.86,102873.49,102873.49,180.37,103775.33,0.1753,2025-05-15 19:15:00+00:00,2025-05-15 19:30:00+00:00,102873.49,stop_loss_ma_touch,102873.49,-180.37,9.70366370,1000000.00,998249.77,-1750.23,-0.1750,4252.70,1004252.70,0,
T00009,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:15:00+00:00,2025-05-15 19:30:00+00:00,SHORT,102824.45,102865.94,102865.94,41.49,102658.48,0.0403,2025-05-15 19:30:00+00:00,2025-05-15 19:45:00+00:00,102865.94,stop_loss_ma_touch,102865.94,-41.49,9.72531339,1000000.00,1000403.52,-403.52,-0.0404,3849.18,1003849.18,0,
T00010,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:30:00+00:00,2025-05-15 19:45:00+00:00,LONG,103082.90,102861.59,102861.59,221.31,103968.14,0.2152,2025-05-15 21:15:00+00:00,2025-05-15 21:30:00+00:00,102850.94,stop_loss_ma_touch,102850.94,-231.96,9.70093003,1000000.00,997749.73,-2250.27,-0.2250,1598.91,1001598.91,0,
