trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2025-05-15,2025-05-15 02:00:00+00:00,LONG,-1979.08,-1979.08,998020.92,1000000.00,1979.08,0.1979
T00002,2025-05-15,2025-05-15 16:00:00+00:00,SHORT,2030.11,51.04,1000051.04,1000051.04,0.00,0.0000
T00003,2025-05-15,2025-05-15 19:00:00+00:00,LONG,-3761.29,-3710.25,996289.75,1000051.04,3761.29,0.3761
T00004,2025-05-15,2025-05-15 20:00:00+00:00,SHORT,-1474.48,-5184.73,994815.27,1000051.04,5235.77,0.5236
T00005,2025-05-15,2025-05-15 22:00:00+00:00,LONG,-3159.70,-8344.43,991655.57,1000051.04,8395.47,0.8395
T00006,2025-05-16,2025-05-16 09:00:00+00:00,LONG,-699.78,-9044.21,990955.79,1000051.04,9095.25,0.9095
T00007,2025-05-16,2025-05-16 14:00:00+00:00,LONG,1270.22,-7774.00,992226.00,1000051.04,7825.04,0.7825
T00008,2025-05-16,2025-05-16 15:00:00+00:00,LONG,-3956.87,-11730.87,988269.13,1000051.04,11781.91,1.1781
T00009,2025-05-16,2025-05-16 16:00:00+00:00,SHORT,-827.59,-12558.46,987441.54,1000051.04,12609.50,1.2609
T00010,2025-05-16,2025-05-16 19:00:00+00:00,LONG,-4561.06,-17119.52,982880.48,1000051.04,17170.56,1.7170
T00011,2025-05-16,2025-05-16 20:00:00+00:00,SHORT,-714.78,-17834.30,982165.70,1000051.04,17885.34,1.7884
T00012,2025-05-16,2025-05-16 21:00:00+00:00,LONG,-2269.45,-20103.75,979896.25,1000051.04,20154.79,2.0154
T00013,2025-05-17,2025-05-17 01:00:00+00:00,SHORT,4825.62,-15278.13,984721.87,1000051.04,15329.17,1.5328
T00014,2025-05-17,2025-05-17 06:00:00+00:00,SHORT,-3936.45,-19214.57,980785.43,1000051.04,19265.61,1.9265
T00015,2025-05-17,2025-05-17 19:00:00+00:00,SHORT,576.45,-18638.12,981361.88,1000051.04,18689.16,1.8688
T00016,2025-05-17,2025-05-17 21:00:00+00:00,SHORT,-2175.20,-20813.32,979186.68,1000051.04,20864.36,2.0863
T00017,2025-05-17,2025-05-17 22:00:00+00:00,LONG,-1623.05,-22436.37,977563.63,1000051.04,22487.41,2.2486
T00018,2025-05-17,2025-05-17 23:00:00+00:00,LONG,-600.91,-23037.28,976962.72,1000051.04,23088.32,2.3087
T00019,2025-05-18,2025-05-18 00:00:00+00:00,SHORT,-1269.99,-24307.27,975692.73,1000051.04,24358.31,2.4357
T00020,2025-05-18,2025-05-18 01:00:00+00:00,SHORT,-282.56,-24589.83,975410.17,1000051.04,24640.87,2.4640
T00021,2025-05-18,2025-05-18 02:00:00+00:00,LONG,-2098.20,-26688.02,973311.98,1000051.04,26739.06,2.6738
T00022,2025-05-18,2025-05-18 04:00:00+00:00,LONG,-810.75,-27498.77,972501.23,1000051.04,27549.81,2.7548
T00023,2025-05-18,2025-05-18 08:00:00+00:00,LONG,4538.16,-22960.61,977039.39,1000051.04,23011.65,2.3010
T00024,2025-05-18,2025-05-18 17:00:00+00:00,LONG,18410.69,-4549.92,995450.08,1000051.04,4600.96,0.4601
T00025,2025-05-18,2025-05-18 21:00:00+00:00,SHORT,-374.02,-4923.94,995076.06,1000051.04,4974.98,0.4975
T00026,2025-05-18,2025-05-18 22:00:00+00:00,LONG,4547.97,-375.97,999624.03,1000051.04,427.01,0.0427
T00027,2025-05-19,2025-05-19 04:00:00+00:00,LONG,-1562.80,-1938.78,998061.22,1000051.04,1989.82,0.1990
T00028,2025-05-19,2025-05-19 17:00:00+00:00,LONG,10547.44,8608.66,1008608.66,1008608.66,0.00,0.0000
T00029,2025-05-20,2025-05-20 09:00:00+00:00,LONG,-1550.17,7058.48,1007058.48,1008608.66,1550.18,0.1537
T00030,2025-05-20,2025-05-20 11:00:00+00:00,LONG,-1662.70,5395.79,1005395.79,1008608.66,3212.87,0.3185
T00031,2025-05-20,2025-05-20 12:00:00+00:00,SHORT,-1116.85,4278.93,1004278.93,1008608.66,4329.73,0.4293
T00032,2025-05-20,2025-05-20 13:00:00+00:00,SHORT,838.53,5117.47,1005117.47,1008608.66,3491.19,0.3461
T00033,2025-05-20,2025-05-20 17:00:00+00:00,SHORT,-572.87,4544.60,1004544.60,1008608.66,4064.06,0.4029
T00034,2025-05-20,2025-05-20 18:00:00+00:00,SHORT,-1812.43,2732.16,1002732.16,1008608.66,5876.50,0.5826
T00035,2025-05-20,2025-05-20 20:00:00+00:00,SHORT,-1658.57,1073.59,1001073.59,1008608.66,7535.07,0.7471
