trade_id,report_date,exit_timestamp,direction,gross_pnl_usd,cumulative_pnl_usd,equity,peak_equity,drawdown_usd,drawdown_pct
T00001,2021-05-13,2021-05-13 23:00:00+00:00,SHORT,9742.92,9742.92,1009742.92,1009742.92,0.00,0.0000
T00002,2021-05-14,2021-05-14 00:15:00+00:00,SHORT,-2874.86,6868.06,1006868.06,1009742.92,2874.86,0.2847
T00003,2021-05-14,2021-05-14 00:45:00+00:00,SHORT,-1428.68,5439.38,1005439.38,1009742.92,4303.54,0.4262
T00004,2021-05-14,2021-05-14 01:00:00+00:00,LONG,-1618.89,3820.48,1003820.48,1009742.92,5922.44,0.5865
T00005,2021-05-14,2021-05-14 02:15:00+00:00,LONG,-4256.33,-435.85,999564.15,1009742.92,10178.77,1.0081
T00006,2021-05-14,2021-05-14 03:30:00+00:00,SHORT,5821.25,5385.40,1005385.40,1009742.92,4357.52,0.4315
T00007,2021-05-14,2021-05-14 04:45:00+00:00,SHORT,10048.48,15433.88,1015433.88,1015433.88,0.00,0.0000
T00008,2021-05-14,2021-05-14 06:00:00+00:00,SHORT,-3026.07,12407.81,1012407.81,1015433.88,3026.07,0.2980
T00009,2021-05-14,2021-05-14 06:15:00+00:00,LONG,-1167.36,11240.45,1011240.45,1015433.88,4193.43,0.4130
T00010,2021-05-14,2021-05-14 20:30:00+00:00,LONG,-3056.34,8184.11,1008184.11,1015433.88,7249.77,0.7140
T00011,2021-05-14,2021-05-14 22:45:00+00:00,SHORT,-4621.87,3562.24,1003562.24,1015433.88,11871.64,1.1691
T00012,2021-05-14,2021-05-14 23:00:00+00:00,SHORT,4733.52,8295.76,1008295.76,1015433.88,7138.12,0.7030
T00013,2021-05-14,2021-05-14 23:30:00+00:00,SHORT,-2890.73,5405.03,1005405.03,1015433.88,10028.85,0.9876
T00014,2021-05-15,2021-05-15 00:15:00+00:00,SHORT,-3352.31,2052.72,1002052.72,1015433.88,13381.16,1.3178
T00015,2021-05-15,2021-05-15 00:30:00+00:00,SHORT,844.91,2897.63,1002897.63,1015433.88,12536.25,1.2346
T00016,2021-05-15,2021-05-15 01:30:00+00:00,SHORT,-1953.09,944.54,1000944.54,1015433.88,14489.34,1.4269
T00017,2021-05-15,2021-05-15 03:00:00+00:00,LONG,-3755.84,-2811.30,997188.70,1015433.88,18245.18,1.7968
T00018,2021-05-15,2021-05-15 03:15:00+00:00,SHORT,3458.73,647.43,1000647.43,1015433.88,14786.45,1.4562
T00019,2021-05-16,2021-05-16 04:15:00+00:00,SHORT,-1948.30,-1300.87,998699.13,1015433.88,16734.75,1.6480
T00020,2021-05-16,2021-05-16 04:30:00+00:00,SHORT,-868.51,-2169.39,997830.61,1015433.88,17603.27,1.7336
T00021,2021-05-16,2021-05-16 04:45:00+00:00,SHORT,2657.20,487.82,1000487.82,1015433.88,14946.06,1.4719
T00022,2021-05-16,2021-05-16 06:15:00+00:00,SHORT,-3430.51,-2942.69,997057.31,1015433.88,18376.57,1.8097
T00023,2021-05-16,2021-05-16 14:30:00+00:00,LONG,-4281.09,-7223.78,992776.22,1015433.88,22657.66,2.2313
T00024,2021-05-16,2021-05-16 14:45:00+00:00,SHORT,-509.29,-7733.07,992266.93,1015433.88,23166.95,2.2815
T00025,2021-05-16,2021-05-16 15:00:00+00:00,SHORT,-2080.46,-9813.53,990186.47,1015433.88,25247.41,2.4864
T00026,2021-05-16,2021-05-16 15:15:00+00:00,SHORT,4166.56,-5646.97,994353.03,1015433.88,21080.85,2.0760
T00027,2021-05-17,2021-05-17 12:00:00+00:00,SHORT,-47.49,-5694.45,994305.55,1015433.88,21128.33,2.0807
T00028,2021-05-17,2021-05-17 12:15:00+00:00,LONG,-1262.64,-6957.09,993042.91,1015433.88,22390.97,2.2051
T00029,2021-05-17,2021-05-17 12:30:00+00:00,SHORT,4181.18,-2775.91,997224.09,1015433.88,18209.79,1.7933
T00030,2021-05-17,2021-05-17 20:45:00+00:00,SHORT,-3236.42,-6012.33,993987.67,1015433.88,21446.21,2.1120
T00031,2021-05-17,2021-05-17 21:15:00+00:00,LONG,-3694.45,-9706.78,990293.22,1015433.88,25140.66,2.4759
T00032,2021-05-17,2021-05-17 22:00:00+00:00,SHORT,9952.90,246.12,1000246.12,1015433.88,15187.76,1.4957
T00033,2021-05-18,2021-05-18 00:30:00+00:00,SHORT,-1628.32,-1382.20,998617.80,1015433.88,16816.08,1.6560
T00034,2021-05-18,2021-05-18 01:00:00+00:00,LONG,-1423.50,-2805.70,997194.30,1015433.88,18239.58,1.7962
T00035,2021-05-18,2021-05-18 01:15:00+00:00,LONG,8979.49,6173.78,1006173.78,1015433.88,9260.10,0.9119
T00036,2021-05-18,2021-05-18 13:00:00+00:00,SHORT,9104.70,15278.48,1015278.48,1015433.88,155.40,0.0153
T00037,2021-05-19,2021-05-19 20:30:00+00:00,LONG,-718.80,14559.68,1014559.68,1015433.88,874.20,0.0861
T00038,2021-05-19,2021-05-19 22:30:00+00:00,LONG,-2730.82,11828.87,1011828.87,1015433.88,3605.01,0.3550
T00039,2021-05-19,2021-05-19 23:00:00+00:00,LONG,-2042.87,9786.00,1009786.00,1015433.88,5647.88,0.5562
T00040,2021-05-19,2021-05-19 23:15:00+00:00,SHORT,-3930.91,5855.09,1005855.09,1015433.88,9578.79,0.9433
T00041,2021-05-20,2021-05-20 03:30:00+00:00,LONG,-153.01,5702.08,1005702.08,1015433.88,9731.80,0.9584
T00042,2021-05-20,2021-05-20 03:45:00+00:00,SHORT,1965.80,7667.88,1007667.88,1015433.88,7766.00,0.7648
T00043,2021-05-20,2021-05-20 04:15:00+00:00,SHORT,-1009.46,6658.41,1006658.41,1015433.88,8775.47,0.8642
T00044,2021-05-20,2021-05-20 16:30:00+00:00,LONG,-619.20,6039.21,1006039.21,1015433.88,9394.67,0.9252
T00045,2021-05-20,2021-05-20 17:15:00+00:00,SHORT,-1106.20,4933.01,1004933.01,1015433.88,10500.87,1.0341
T00046,2021-05-20,2021-05-20 17:30:00+00:00,SHORT,-3218.14,1714.87,1001714.87,1015433.88,13719.01,1.3510
T00047,2021-05-20,2021-05-20 17:45:00+00:00,SHORT,-2035.21,-320.34,999679.66,1015433.88,15754.22,1.5515
T00048,2021-05-20,2021-05-20 18:30:00+00:00,SHORT,-151.90,-472.24,999527.76,1015433.88,15906.12,1.5664
