date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-13,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-14,TRADED,1,0,1,0,1,0,0,0,0,1,0,-44.74,-44.74,-44.74,-44.74,-891.92,-891.92,-891.92,-891.92,999108.08,0,1,44.74,891.92,0.0892,
2021-05-15,TRADED,3,0,0,3,1,2,0,0,2,1,0,391.30,130.43,437.38,-204.28,7915.57,2638.52,8848.00,-4088.46,1007023.66,2,1,204.28,4088.45,0.4092,
2021-05-16,TRADED,4,0,1,3,3,1,0,0,1,3,0,-324.13,-81.03,171.19,-204.32,-6690.26,-1672.57,3543.26,-4199.90,1000333.40,1,3,495.32,10233.52,1.0162,
2021-05-17,TRADED,1,0,1,0,1,0,0,0,0,1,0,-114.57,-114.57,-114.57,-114.57,-2501.25,-2501.25,-2501.25,-2501.25,997832.15,0,1,114.57,2501.25,0.2500,
2021-05-18,TRADED,1,0,1,0,0,1,0,0,1,0,0,407.38,407.38,407.38,407.38,9175.26,9175.26,9175.26,9175.26,1007007.41,1,0,0.00,0.00,0.0000,
2021-05-19,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1007007.41,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-05-20,TRADED,3,0,0,3,3,0,0,0,0,3,0,-236.08,-78.69,-7.72,-165.80,-6055.40,-2018.47,-195.98,-4230.92,1000952.01,0,3,236.08,6055.40,0.6013,
2021-05-21,TRADED,5,0,3,2,4,1,0,0,1,4,0,-446.91,-89.38,99.87,-201.67,-10951.19,-2190.24,2458.53,-4928.94,990000.82,1,3,446.91,10951.19,1.0941,
2021-05-22,TRADED,1,0,1,0,1,0,0,0,0,1,0,-15.22,-15.22,-15.22,-15.22,-407.47,-407.47,-407.47,-407.47,989593.36,0,1,15.22,407.46,0.0412,
2021-05-23,TRADED,4,0,1,3,3,1,0,0,1,3,0,-0.28,-0.07,276.61,-109.89,9.18,2.29,7381.94,-2918.13,989602.54,1,3,276.89,7372.76,0.7450,
2021-05-24,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,989602.54,0,0,0.00,0.00,0.0000,
2021-05-25,TRADED,3,0,1,2,3,0,0,0,0,3,0,-211.99,-70.66,-14.88,-127.51,-5563.66,-1854.55,-389.60,-3357.73,984038.88,0,3,211.99,5563.66,0.5622,
2021-05-26,TRADED,4,0,2,2,2,2,0,0,2,2,0,103.71,25.93,214.97,-184.43,2800.54,700.13,5637.32,-4708.18,986839.40,1,2,225.84,5773.04,0.5833,
2021-05-27,TRADED,6,0,3,3,4,2,0,0,2,4,0,-217.92,-36.32,190.04,-190.51,-5579.32,-929.89,4885.10,-4874.04,981260.08,2,3,263.87,6771.83,0.6854,
2021-05-28,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,981260.08,0,0,0.00,0.00,0.0000,
2021-05-29,TRADED,3,0,3,0,3,0,0,0,0,3,0,-156.99,-52.33,-18.05,-77.75,-4329.44,-1443.15,-496.08,-2150.05,976930.64,0,3,156.99,4329.44,0.4412,
2021-05-30,TRADED,2,0,0,2,2,0,0,0,0,2,0,-246.97,-123.48,-111.38,-135.59,-7101.65,-3550.82,-3203.50,-3898.15,969828.99,0,2,246.97,7101.65,0.7269,
2021-05-31,TRADED,1,0,1,0,1,0,0,0,0,1,0,-160.87,-160.87,-160.87,-160.87,-4510.07,-4510.07,-4510.07,-4510.07,965318.92,0,1,160.87,4510.07,0.4650,
2021-06-01,TRADED,4,0,3,1,3,1,0,0,1,3,0,21.45,5.36,332.86,-176.68,643.78,160.95,9066.08,-4772.35,965962.70,1,3,311.41,8422.30,0.8644,
2021-06-02,TRADED,2,0,2,0,1,1,0,0,1,1,0,-56.32,-28.16,39.72,-96.04,-1528.86,-764.43,1089.23,-2618.09,964433.84,1,1,96.04,2618.09,0.2710,
2021-06-03,TRADED,4,0,2,2,3,1,0,0,1,3,0,86.49,21.62,323.51,-139.50,2260.00,565.00,8595.00,-3722.05,966693.85,1,3,237.02,6335.00,0.6569,
2021-06-04,TRADED,2,0,1,1,1,1,0,0,1,1,0,21.25,10.62,92.40,-71.15,641.97,320.99,2481.50,-1839.53,967335.82,1,1,71.15,1839.53,0.1903,
2021-06-05,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,967335.82,0,0,0.00,0.00,0.0000,
2021-06-06,TRADED,11,0,5,6,8,3,0,0,3,8,0,-326.22,-29.66,271.36,-146.58,-9063.88,-823.99,7485.19,-4054.28,958271.94,1,7,632.12,17512.31,1.7965,
2021-06-07,TRADED,5,0,3,2,4,1,0,0,1,4,0,68.76,13.75,277.79,-109.59,1935.83,387.17,7705.14,-3018.59,960207.76,1,4,209.03,5769.31,0.6021,
2021-06-08,TRADED,1,0,0,1,1,0,0,0,0,1,0,-66.57,-66.57,-66.57,-66.57,-2022.77,-2022.77,-2022.77,-2022.77,958184.99,0,1,66.57,2022.77,0.2107,
2021-06-09,TRADED,3,0,3,0,3,0,0,0,0,3,0,-244.35,-81.45,-70.88,-88.42,-7427.83,-2475.94,-2153.19,-2688.53,950757.16,0,3,244.35,7427.83,0.7752,
2021-06-10,TRADED,3,0,1,2,2,1,0,0,1,2,0,173.56,57.85,310.51,-72.44,4725.59,1575.20,8429.71,-1956.37,955482.76,1,2,136.95,3704.12,0.3896,
2021-06-11,TRADED,8,0,4,4,7,1,0,0,1,7,0,-466.83,-58.35,166.13,-155.34,-12666.89,-1583.36,4485.15,-4215.56,942815.87,1,4,494.97,13410.17,1.4035,
2021-06-12,TRADED,4,0,2,2,3,1,0,0,1,3,0,-67.71,-16.93,110.08,-137.95,-1854.49,-463.62,3063.68,-3830.49,940961.39,1,2,151.55,4210.13,0.4454,
2021-06-13,TRADED,6,0,3,3,4,2,0,0,2,4,0,244.20,40.70,297.83,-129.47,6864.56,1144.09,8324.16,-3641.29,947825.95,1,3,312.43,8761.92,0.9312,
2021-06-14,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,947825.95,0,0,0.00,0.00,0.0000,
2021-06-15,TRADED,5,0,3,2,4,1,0,0,1,4,0,13.68,2.74,306.18,-149.80,375.67,75.13,7665.40,-3744.12,948201.61,1,4,292.50,7289.74,0.7629,
2021-06-16,TRADED,8,0,1,7,5,3,0,0,3,5,0,136.84,17.11,348.57,-132.42,3444.02,430.50,8721.66,-3308.23,951645.62,2,4,359.07,8950.15,0.9403,
2021-06-17,TRADED,3,0,2,1,3,0,0,0,0,3,0,-260.23,-86.74,-45.61,-145.32,-6682.71,-2227.57,-1172.09,-3724.16,944962.92,0,3,260.23,6682.70,0.7022,
2021-06-18,TRADED,1,0,0,1,0,1,0,0,1,0,0,374.66,374.66,374.66,374.66,9898.02,9898.02,9898.02,9898.02,954860.93,1,0,0.00,0.00,0.0000,
2021-06-19,TRADED,6,0,5,1,5,1,0,0,1,5,0,-437.35,-72.89,2.61,-177.51,-12200.68,-2033.45,73.05,-4944.09,942660.26,1,3,437.35,12200.67,1.2777,
2021-06-20,TRADED,5,0,1,4,2,3,0,0,3,2,0,284.97,56.99,225.54,-175.44,7896.33,1579.27,6328.47,-5021.65,950556.61,2,1,175.44,5021.64,0.5255,
2021-06-21,TRADED,1,0,1,0,1,0,0,0,0,1,0,-84.71,-84.71,-84.71,-84.71,-2411.32,-2411.32,-2411.32,-2411.32,948145.29,0,1,84.71,2411.32,0.2537,
2021-06-22,TRADED,2,0,2,0,2,0,0,0,0,2,0,-159.49,-79.75,-59.01,-100.48,-4893.51,-2446.76,-1811.45,-3082.06,943251.78,0,2,159.49,4893.51,0.5161,
2021-06-23,TRADED,3,0,2,1,3,0,0,0,0,3,0,-176.06,-58.69,-12.32,-142.71,-5226.85,-1742.28,-366.35,-4232.77,938024.93,0,3,176.06,5226.85,0.5541,
2021-06-24,TRADED,4,0,1,3,4,0,0,0,0,4,0,-217.97,-54.49,-15.71,-76.99,-6523.45,-1630.86,-470.54,-2285.40,931501.48,0,4,217.97,6523.45,0.6954,
2021-06-25,TRADED,3,0,1,2,3,0,0,0,0,3,0,-345.50,-115.17,-75.89,-163.14,-10067.40,-3355.80,-2204.78,-4758.69,921434.07,0,3,345.50,10067.41,1.0808,
2021-06-26,TRADED,6,0,3,3,5,1,0,0,1,5,0,-75.83,-12.64,220.61,-115.14,-2373.26,-395.54,6998.35,-3621.79,919060.81,1,4,181.30,5749.82,0.6217,
2021-06-27,TRADED,3,0,1,2,3,0,0,0,0,3,0,-76.37,-25.46,-7.33,-39.16,-2325.57,-775.19,-223.89,-1192.86,916735.24,0,3,76.37,2325.57,0.2530,
2021-06-28,TRADED,4,0,3,1,4,0,0,0,0,4,0,-393.07,-98.27,-11.52,-161.42,-11404.68,-2851.17,-336.72,-4658.79,905330.56,0,4,393.07,11404.68,1.2441,
2021-06-29,TRADED,4,0,3,1,3,1,0,0,1,3,0,-44.86,-11.22,167.32,-141.21,-1299.27,-324.82,4836.04,-4075.14,904031.29,1,3,212.18,6135.31,0.6777,
2021-06-30,TRADED,1,0,1,0,1,0,0,0,0,1,0,-104.22,-104.22,-104.22,-104.22,-2907.56,-2907.56,-2907.56,-2907.56,901123.73,0,1,104.22,2907.56,0.3216,
2021-07-01,TRADED,4,0,2,2,4,0,0,0,0,4,0,-529.17,-132.29,-101.98,-170.99,-15156.08,-3789.02,-2928.64,-4876.97,885967.65,0,4,529.17,15156.08,1.6819,
2021-07-02,TRADED,8,0,5,3,8,0,0,0,0,8,0,-581.81,-72.73,-14.64,-159.31,-17348.60,-2168.57,-439.51,-4753.34,868619.06,0,8,581.81,17348.59,1.9582,
2021-07-03,TRADED,2,0,2,0,0,2,0,0,2,0,0,622.07,311.04,320.60,301.47,18571.63,9285.82,9578.35,8993.28,887190.68,2,0,0.00,0.00,0.0000,
2021-07-04,TRADED,2,0,2,0,1,1,0,0,1,1,0,187.49,93.75,290.68,-103.19,5411.15,2705.58,8400.85,-2989.70,892601.84,1,1,103.19,2989.69,0.3370,
2021-07-05,TRADED,3,0,1,2,2,1,0,0,1,2,0,-69.23,-23.08,31.69,-82.21,-1974.62,-658.21,898.23,-2325.20,890627.23,1,1,82.21,2325.20,0.2605,
2021-07-06,TRADED,11,0,5,6,9,2,0,0,2,9,0,39.09,3.55,291.01,-154.66,1155.26,105.02,8550.79,-4520.32,891782.48,2,9,483.63,14201.15,1.5945,
2021-07-07,TRADED,8,0,6,2,7,1,0,0,1,7,0,-204.99,-25.62,229.85,-147.18,-6029.89,-753.74,6657.28,-4326.03,885752.60,1,5,317.75,9306.68,1.0436,
2021-07-08,TRADED,1,0,0,1,0,1,0,0,1,0,0,201.61,201.61,201.61,201.61,6107.01,6107.01,6107.01,6107.01,891859.61,1,0,0.00,0.00,0.0000,
2021-07-09,TRADED,7,0,5,2,5,2,0,0,2,5,0,74.75,10.68,327.11,-107.69,2221.44,317.35,9913.46,-3293.42,894081.05,1,3,252.36,7692.02,0.8625,
2021-07-10,TRADED,4,0,4,0,3,1,0,0,1,3,0,4.21,1.05,228.75,-117.33,110.55,27.64,6761.61,-3478.40,894191.61,1,3,224.54,6651.05,0.7439,
2021-07-11,TRADED,8,0,4,4,4,4,0,0,4,4,0,339.43,42.43,264.60,-154.54,10013.96,1251.74,7817.40,-4618.08,904205.56,2,3,282.66,8423.73,0.9362,
2021-07-12,TRADED,1,0,0,1,0,1,0,0,1,0,0,135.08,135.08,135.08,135.08,3967.82,3967.82,3967.82,3967.82,908173.38,1,0,0.00,0.00,0.0000,
2021-07-13,TRADED,6,0,2,4,4,2,0,0,2,4,0,234.58,39.10,303.81,-100.68,7200.01,1200.00,9259.90,-3025.62,915373.39,2,4,231.12,6958.97,0.7663,
2021-07-14,TRADED,4,0,1,3,2,2,0,0,2,2,0,221.05,55.26,216.55,-69.82,6744.16,1686.04,6615.32,-2158.34,922117.54,1,1,69.82,2158.34,0.2341,
2021-07-15,TRADED,4,0,2,2,3,1,0,0,1,3,0,69.58,17.39,287.52,-98.27,2172.84,543.21,8849.68,-3010.31,924290.38,1,3,217.94,6676.83,0.7241,
2021-07-16,TRADED,8,0,5,3,6,2,0,0,2,6,0,-21.04,-2.63,123.60,-137.14,-633.44,-79.18,3897.57,-4298.82,923656.94,1,3,172.37,5409.08,0.5822,
2021-07-17,TRADED,8,0,3,5,6,2,0,0,2,6,0,-311.13,-38.89,200.50,-172.63,-9843.66,-1230.46,6336.96,-5432.77,913813.28,1,4,511.63,16180.62,1.7399,
2021-07-18,TRADED,10,0,3,7,8,2,0,0,2,8,0,-367.45,-36.75,148.32,-167.63,-11581.72,-1158.17,4670.76,-5280.74,902231.57,1,5,411.65,12960.20,1.4183,
2021-07-19,TRADED,6,0,3,3,5,1,0,0,1,5,0,-28.21,-4.70,305.44,-137.59,-818.33,-136.39,9699.99,-4327.45,901413.25,1,5,333.65,10518.31,1.1658,
2021-07-20,TRADED,1,0,0,1,0,1,0,0,1,0,0,173.70,173.70,173.70,173.70,5816.93,5816.93,5816.93,5816.93,907230.18,1,0,0.00,0.00,0.0000,
2021-07-21,TRADED,3,0,2,1,2,1,0,0,1,2,0,194.43,64.81,240.39,-35.02,6515.95,2171.98,8059.88,-1176.81,913746.13,1,2,45.96,1543.93,0.1702,
2021-07-22,TRADED,5,0,3,2,4,1,0,0,1,4,0,-37.76,-7.55,188.86,-118.38,-1183.16,-236.63,5888.72,-3671.98,912562.97,1,3,118.38,3671.98,0.4008,
2021-07-23,TRADED,10,0,4,6,7,3,0,0,3,7,0,27.40,2.74,207.62,-132.09,866.21,86.62,6423.19,-4093.67,913429.17,1,6,313.88,9674.05,1.0563,
2021-07-24,TRADED,1,0,1,0,1,0,0,0,0,1,0,-152.73,-152.73,-152.73,-152.73,-4507.46,-4507.46,-4507.46,-4507.46,908921.71,0,1,152.73,4507.46,0.4935,
2021-07-25,TRADED,9,0,6,3,6,3,0,0,3,6,0,109.15,12.13,306.15,-171.01,3257.08,361.90,9019.32,-4963.92,912178.78,1,3,381.24,11119.17,1.2113,
2021-07-26,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,912178.78,0,0,0.00,0.00,0.0000,
2021-07-27,TRADED,3,0,1,2,3,0,0,0,0,3,0,-393.59,-131.20,-89.51,-175.89,-10440.78,-3480.26,-2378.13,-4671.13,901738.00,0,3,393.59,10440.78,1.1446,
2021-07-28,TRADED,1,0,1,0,1,0,0,0,0,1,0,-123.37,-123.37,-123.37,-123.37,-3087.90,-3087.90,-3087.90,-3087.90,898650.10,0,1,123.37,3087.90,0.3424,
2021-07-29,TRADED,12,0,7,5,10,2,0,0,2,10,0,-666.50,-55.54,200.06,-170.68,-16699.54,-1391.63,5027.81,-4294.66,881950.54,2,6,668.76,16753.77,1.8643,
2021-07-30,TRADED,6,0,2,4,3,3,0,0,3,3,0,270.61,45.10,256.73,-149.88,6798.37,1133.06,6460.71,-3776.26,888748.92,1,1,149.88,3776.25,0.4282,
2021-07-31,TRADED,3,0,0,3,3,0,0,0,0,3,0,-218.88,-72.96,-25.69,-116.79,-5281.58,-1760.53,-621.90,-2820.52,883467.35,0,3,218.88,5281.57,0.5943,
2021-08-01,TRADED,8,0,5,3,6,2,0,0,2,6,0,-237.95,-29.74,257.53,-189.82,-5712.33,-714.04,6166.35,-4535.70,877755.01,1,5,552.53,13244.27,1.4947,
2021-08-02,HELD,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,877755.01,0,0,0.00,0.00,0.0000,Open position carried through this UTC date with no realized exit.
2021-08-03,TRADED,1,0,0,1,1,0,0,0,0,1,0,-166.45,-166.45,-166.45,-166.45,-4222.25,-4222.25,-4222.25,-4222.25,873532.75,0,1,166.45,4222.26,0.4810,
2021-08-04,TRADED,5,0,2,3,4,1,0,0,1,4,0,-167.64,-33.53,64.09,-141.47,-4374.48,-874.90,1679.78,-3690.41,869158.28,1,4,231.73,6054.25,0.6931,
2021-08-05,TRADED,2,0,0,2,1,1,0,0,1,1,0,-5.14,-2.57,91.09,-96.23,-135.03,-67.52,2331.72,-2466.75,869023.24,1,1,96.23,2466.75,0.2830,
2021-08-06,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,869023.24,0,0,0.00,0.00,0.0000,
2021-08-07,TRADED,4,0,4,0,2,2,0,0,2,2,0,130.59,32.65,318.20,-188.62,3032.61,758.15,7362.43,-4344.85,872055.86,1,2,354.93,8171.38,0.9324,
2021-08-08,TRADED,1,0,0,1,1,0,0,0,0,1,0,-49.50,-49.50,-49.50,-49.50,-1117.91,-1117.91,-1117.91,-1117.91,870937.96,0,1,49.50,1117.90,0.1282,
2021-08-09,TRADED,2,0,0,2,2,0,0,0,0,2,0,-193.90,-96.95,-86.81,-107.09,-4401.24,-2200.62,-1980.13,-2421.11,866536.72,0,2,193.90,4401.24,0.5053,
2021-08-10,TRADED,8,0,5,3,8,0,0,0,0,8,0,-590.53,-73.82,-10.87,-139.79,-12908.56,-1613.57,-239.11,-3070.78,853628.16,0,8,590.53,12908.56,1.4897,
2021-08-11,TRADED,7,0,4,3,7,0,0,0,0,7,0,-726.13,-103.73,-10.53,-192.79,-15913.12,-2273.30,-231.00,-4211.23,837715.05,0,7,726.13,15913.11,1.8642,
2021-08-12,TRADED,3,0,1,2,2,1,0,0,1,2,0,189.36,63.12,372.94,-103.69,4136.89,1378.96,8116.73,-2243.31,841851.95,1,2,183.58,3979.84,0.4751,
2021-08-13,TRADED,1,0,1,0,0,1,0,0,1,0,0,137.50,137.50,137.50,137.50,3064.39,3064.39,3064.39,3064.39,844916.33,1,0,0.00,0.00,0.0000,
2021-08-14,TRADED,4,0,0,4,3,1,0,0,1,3,0,-155.69,-38.92,275.11,-247.24,-3325.35,-831.34,5843.48,-5266.43,841590.98,1,2,331.20,7052.15,0.8347,
2021-08-15,TRADED,5,0,2,3,4,1,0,0,1,4,0,-177.33,-35.47,211.56,-185.25,-3803.33,-760.67,4509.50,-3922.01,837787.65,1,2,197.23,4176.30,0.4962,
2021-08-16,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,837787.65,0,0,0.00,0.00,0.0000,
2021-08-17,TRADED,3,0,1,2,2,1,0,0,1,2,0,171.17,57.06,457.30,-185.36,3663.92,1221.31,9847.49,-4011.34,841451.57,1,2,286.13,6183.57,0.7295,
2021-08-18,TRADED,5,0,3,2,4,1,0,0,1,4,0,-194.77,-38.95,387.20,-218.50,-4299.14,-859.83,8518.71,-4810.32,837152.43,1,4,581.97,12817.85,1.5080,
2021-08-19,TRADED,4,0,1,3,1,3,0,0,3,1,0,868.29,217.07,391.30,-119.12,19340.15,4835.04,8702.07,-2644.21,856492.57,3,1,119.12,2644.21,0.3159,
2021-08-20,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,856492.57,0,0,0.00,0.00,0.0000,
2021-08-21,TRADED,4,0,1,3,3,1,0,0,1,3,0,-57.12,-14.28,249.46,-201.18,-1207.07,-301.77,5086.83,-4143.67,855285.50,1,2,201.18,4143.67,0.4838,
