period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,19,1,3,0,42,0,19,23,32,10,0,0,4,11,0,-1274.28,-84.95,-34681.08,-2312.07,965318.92,2021-05-18,407.38,9175.26,2021-05-21,-446.91,-10951.19,1,4,1620.84,41704.74,4.1414
2021-06,30,0,2,0,112,0,59,53,88,24,0,0,10,18,0,-2177.80,-77.78,-64195.21,-2292.69,901123.73,2021-06-18,374.66,9898.02,2021-06-11,-466.83,-12666.89,3,10,2250.67,66212.09,6.8448
2021-07,31,0,1,0,159,0,82,77,117,42,0,0,16,14,0,-801.63,-26.72,-17656.39,-588.55,883467.35,2021-07-03,622.07,18571.63,2021-07-02,-581.81,-17348.60,8,4,1597.10,42339.84,4.5808
2021-08,31,2,3,0,128,0,62,66,100,28,0,0,8,18,0,-2629.18,-101.12,-56866.21,-2187.16,826601.16,2021-08-19,868.29,19340.15,2021-08-11,-726.13,-15913.12,3,4,2629.18,56866.18,6.4367
2021-09,30,1,4,0,173,0,93,80,148,25,0,0,6,19,0,-8633.17,-345.33,-187550.70,-7502.03,639050.49,2021-09-11,499.12,10994.08,2021-09-09,-1298.72,-28068.59,2,10,8724.11,189729.22,22.9529
2021-10,31,0,2,0,175,0,86,89,139,36,0,0,10,19,0,-4883.50,-168.40,-84703.18,-2920.80,554347.28,2021-10-13,1416.48,25205.04,2021-10-17,-1385.21,-22728.13,5,5,5231.08,87740.98,13.6649
2021-11,30,1,2,0,150,1,65,85,117,33,0,0,12,15,0,-2817.04,-104.33,-43406.91,-1607.66,510940.40,2021-11-07,1153.09,18744.50,2021-11-03,-1844.35,-29235.69,5,4,4010.57,64596.24,11.6527
2021-12,31,0,2,0,180,0,94,86,137,43,0,0,13,16,0,-1168.76,-40.30,-22263.74,-767.72,488676.68,2021-12-08,1163.60,22964.06,2021-12-05,-1094.00,-22252.45,2,2,1679.23,31336.41,6.1331
2022-01,31,0,2,0,194,0,100,94,144,50,0,0,16,13,0,-223.72,-7.71,-1118.30,-38.56,487558.34,2022-01-17,965.59,22590.35,2022-01-16,-913.47,-21196.15,4,2,2447.72,56559.59,11.5740
2022-02,28,1,1,0,161,0,85,76,139,22,0,0,7,19,0,-5862.69,-225.49,-139035.41,-5347.52,348522.95,2022-02-04,627.16,16858.77,2022-02-06,-1462.90,-35154.86,2,9,6024.97,143974.89,29.2336
2022-03,31,1,2,0,222,0,113,109,177,45,0,0,14,14,0,-3513.72,-125.49,-77331.88,-2761.85,271191.09,2022-03-19,795.68,19006.27,2022-03-26,-884.27,-19898.53,4,3,3549.55,79001.42,22.5594
2022-04,30,0,4,0,157,0,89,68,129,28,0,0,9,17,0,-3671.89,-141.23,-91641.78,-3524.68,179549.29,2022-04-03,559.22,12047.76,2022-04-13,-843.73,-21073.35,3,7,4696.41,114235.35,39.3359
2022-05,31,0,2,0,157,0,89,68,126,31,0,0,12,17,0,-2457.56,-84.74,-85125.39,-2935.36,94423.86,2022-05-15,595.21,20031.49,2022-05-26,-920.88,-31133.95,3,4,3100.42,103307.39,52.2464
2022-06,30,0,2,0,124,0,53,71,88,36,0,0,14,14,0,374.04,13.36,12362.38,441.51,106786.24,2022-06-26,240.59,11262.52,2022-06-09,-346.46,-11488.66,3,6,731.77,33717.55,30.4551
2022-07,31,2,1,0,138,0,77,61,101,37,0,0,16,12,0,155.37,5.55,10914.18,389.79,117700.41,2022-07-27,440.00,20799.95,2022-07-09,-380.52,-17601.28,4,4,864.07,39164.92,28.4597
2022-08,31,0,1,0,191,0,97,94,148,43,0,0,13,17,0,-1306.72,-43.56,-60031.79,-2001.06,57668.61,2022-08-17,386.15,16100.91,2022-08-28,-415.80,-20816.12,3,3,1477.59,67353.21,53.8732
2022-09,30,0,1,0,180,0,96,84,140,40,0,0,14,15,0,60.88,2.10,3689.25,127.22,61357.79,2022-09-03,328.86,16496.45,2022-09-04,-348.65,-17602.60,3,4,835.09,41606.67,43.4099
2022-10,31,1,3,0,207,0,102,105,155,52,0,0,18,9,0,21.18,0.78,1654.82,61.29,63012.54,2022-10-01,183.67,9453.99,2022-10-05,-338.07,-16738.55,10,3,768.38,39375.26,55.6055
2022-11,30,0,2,0,197,0,102,95,158,39,0,0,10,18,0,-1305.07,-46.61,-66907.03,-2389.54,-3894.51,2022-11-18,266.35,15988.03,2022-11-01,-489.15,-23861.68,3,7,1690.64,89929.40,142.7167
2022-12,31,0,0,0,244,0,123,121,195,49,0,0,13,18,0,-699.14,-22.55,-41565.08,-1340.81,-45459.56,2022-12-30,188.25,11406.08,2022-12-18,-180.91,-10804.23,4,6,912.58,54441.74,0.0000
