date,status,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,average_points,max_profit_points,max_loss_points,total_pnl_usd,average_pnl_usd,max_profit_usd,max_loss_usd,ending_equity,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct,remarks
2021-05-12,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-13,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,1000000.00,0,0,0.00,0.00,0.0000,
2021-05-14,TRADED,8,0,3,5,7,1,0,0,1,7,0,-721.26,-90.16,324.30,-241.01,-14398.03,-1799.75,6535.50,-4813.97,985601.97,1,4,721.26,14398.03,1.4398,
2021-05-15,TRADED,4,0,1,3,2,2,0,0,2,2,0,256.61,64.15,460.89,-204.79,5263.68,1315.92,9323.69,-4063.69,990865.66,2,2,359.19,7150.47,0.7255,
2021-05-16,TRADED,6,0,1,5,4,2,0,0,2,4,0,-175.52,-29.25,185.07,-209.22,-3611.17,-601.86,3830.67,-4300.46,987254.48,1,3,385.41,7954.79,0.8024,
2021-05-17,TRADED,3,0,1,2,2,1,0,0,1,2,0,51.93,17.31,282.76,-137.02,1236.49,412.16,6373.63,-3088.98,988490.97,1,2,230.83,5137.13,0.5203,
2021-05-18,TRADED,1,0,1,0,0,1,0,0,1,0,0,410.03,410.03,410.03,410.03,9234.92,9234.92,9234.92,9234.92,997725.89,1,0,0.00,0.00,0.0000,
2021-05-19,TRADED,1,0,0,1,1,0,0,0,0,1,0,-135.20,-135.20,-135.20,-135.20,-3449.95,-3449.95,-3449.95,-3449.95,994275.94,0,1,135.20,3449.95,0.3458,
2021-05-20,TRADED,3,0,0,3,2,1,0,0,1,2,0,-100.54,-33.51,59.38,-98.08,-2518.27,-839.42,1543.63,-2492.82,991757.66,1,2,159.92,4061.91,0.4079,
2021-05-21,TRADED,6,0,3,3,6,0,0,0,0,6,0,-696.68,-116.11,-7.53,-189.30,-17132.05,-2855.34,-185.29,-4644.06,974625.62,0,6,696.68,17132.04,1.7274,
2021-05-22,TRADED,2,0,1,1,1,1,0,0,1,1,0,54.80,27.40,93.55,-38.75,1470.31,735.15,2505.43,-1035.12,976095.92,1,1,38.75,1035.12,0.1062,
2021-05-23,TRADED,7,0,3,4,5,2,0,0,2,5,0,-79.63,-11.38,197.60,-137.20,-2105.49,-300.78,5273.27,-3643.41,973990.44,1,3,277.23,7378.75,0.7559,
2021-05-24,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,973990.44,0,0,0.00,0.00,0.0000,
2021-05-25,TRADED,5,0,2,3,4,1,0,0,1,4,0,-8.82,-1.76,341.81,-126.17,-211.46,-42.29,8983.70,-3322.41,973778.97,1,3,338.39,8874.67,0.9031,
2021-05-26,TRADED,7,0,3,4,4,3,0,0,3,4,0,140.30,20.04,276.55,-190.30,3546.53,506.65,7075.16,-4970.75,977325.49,2,2,306.46,8032.91,0.8249,
2021-05-27,TRADED,9,0,5,4,8,1,0,0,1,8,0,-469.48,-52.16,237.16,-176.31,-12027.31,-1336.37,6096.42,-4517.82,965298.17,1,5,478.60,12279.54,1.2561,
2021-05-28,TRADED,1,0,0,1,0,1,0,0,1,0,0,254.16,254.16,254.16,254.16,6570.77,6570.77,6570.77,6570.77,971868.95,1,0,0.00,0.00,0.0000,
2021-05-29,TRADED,3,0,2,1,2,1,0,0,1,2,0,36.86,12.29,89.36,-34.65,1008.39,336.13,2455.30,-953.25,972877.33,1,2,52.50,1446.92,0.1485,
2021-05-30,TRADED,2,0,0,2,2,0,0,0,0,2,0,-174.93,-87.47,-85.30,-89.63,-5030.26,-2515.13,-2453.42,-2576.84,967847.08,0,2,174.93,5030.25,0.5170,
2021-05-31,TRADED,2,0,1,1,1,1,0,0,1,1,0,39.73,19.86,117.82,-78.09,1126.68,563.34,3322.04,-2195.36,968973.76,1,1,78.09,2195.36,0.2268,
2021-06-01,TRADED,6,0,3,3,5,1,0,0,1,5,0,-97.40,-16.23,314.69,-180.33,-2667.63,-444.61,8571.15,-4950.04,966306.13,1,5,412.09,11238.78,1.1497,
2021-06-02,TRADED,7,0,5,2,5,2,0,0,2,5,0,-135.84,-19.41,329.81,-180.16,-3729.12,-532.73,9013.08,-4964.19,962576.98,2,5,517.87,14174.36,1.4669,
2021-06-03,TRADED,5,0,3,2,4,1,0,0,1,4,0,97.07,19.41,335.00,-112.79,2537.59,507.52,8900.14,-3009.40,965114.58,1,4,237.93,6362.54,0.6610,
2021-06-04,TRADED,4,0,1,3,4,0,0,0,0,4,0,-341.95,-85.49,-66.79,-96.69,-9114.07,-2278.52,-1799.22,-2601.38,956000.50,0,4,341.95,9114.08,0.9444,
2021-06-05,FLAT,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,,0.00,0.00,,,956000.50,0,0,0.00,0.00,0.0000,
2021-06-06,TRADED,17,0,8,9,15,2,0,0,2,15,0,-824.48,-48.50,234.86,-142.66,-22861.73,-1344.81,6560.66,-3988.89,933138.75,1,9,824.48,22861.75,2.3914,
2021-06-07,TRADED,9,0,6,3,8,1,0,0,1,8,0,-349.30,-38.81,272.81,-174.60,-9686.72,-1076.30,7568.20,-4877.09,923452.02,1,8,622.11,17254.92,1.8491,
2021-06-08,TRADED,1,0,0,1,1,0,0,0,0,1,0,-91.99,-91.99,-91.99,-91.99,-2795.30,-2795.30,-2795.30,-2795.30,920656.72,0,1,91.99,2795.30,0.3027,
2021-06-09,TRADED,5,0,4,1,4,1,0,0,1,4,0,-250.47,-50.09,138.29,-123.54,-7641.20,-1528.24,4201.02,-3781.31,913015.53,1,3,312.54,9528.22,1.0328,
2021-06-10,TRADED,5,0,3,2,3,2,0,0,2,3,0,385.30,77.06,325.75,-99.54,10586.32,2117.26,8938.48,-2686.03,923601.85,1,3,238.33,6439.12,0.6984,
2021-06-11,TRADED,15,0,7,8,11,4,0,0,4,11,0,161.48,10.77,343.32,-171.98,4285.51,285.70,9265.77,-4684.43,927887.36,2,5,301.00,8146.01,0.8703,
2021-06-12,TRADED,9,0,5,4,7,2,0,0,2,7,0,-472.84,-52.54,108.84,-174.01,-12992.47,-1443.61,3029.09,-4867.74,914894.89,1,3,472.84,12992.47,1.4002,
2021-06-13,TRADED,9,0,5,4,7,2,0,0,2,7,0,-38.52,-4.28,296.90,-159.10,-1085.11,-120.57,8302.98,-4496.91,913809.78,1,4,362.73,10157.65,1.1103,
2021-06-14,TRADED,1,0,1,0,0,1,0,0,1,0,0,96.40,96.40,96.40,96.40,2441.09,2441.09,2441.09,2441.09,916250.88,1,0,0.00,0.00,0.0000,
2021-06-15,TRADED,14,0,7,7,10,4,0,0,4,10,0,134.04,9.57,306.44,-188.71,3409.76,243.55,7672.04,-4667.47,919660.62,2,7,693.21,17245.84,1.8555,
2021-06-16,TRADED,8,0,2,6,5,3,0,0,3,5,0,226.16,28.27,342.93,-133.10,5670.19,708.77,8580.43,-3325.44,925330.82,2,4,379.47,9461.26,1.0215,
2021-06-17,TRADED,6,0,3,3,4,2,0,0,2,4,0,-86.28,-14.38,159.96,-100.64,-2245.61,-374.27,4088.68,-2582.67,923085.20,1,3,172.17,4435.06,0.4785,
2021-06-18,TRADED,1,0,0,1,0,1,0,0,1,0,0,375.36,375.36,375.36,375.36,9916.49,9916.49,9916.49,9916.49,933001.69,1,0,0.00,0.00,0.0000,
2021-06-19,TRADED,13,0,8,5,11,2,0,0,2,11,0,-603.60,-46.43,161.32,-169.99,-16863.41,-1297.19,4503.78,-4735.80,916138.25,1,10,800.46,22371.96,2.3978,
2021-06-20,TRADED,12,0,2,10,8,4,0,0,4,8,0,161.16,13.43,240.81,-168.00,4421.40,368.45,6755.15,-4808.57,920559.66,2,5,300.42,8422.41,0.9094,
2021-06-21,TRADED,3,0,2,1,3,0,0,0,0,3,0,-300.81,-100.27,-49.09,-159.63,-8558.66,-2852.89,-1403.53,-4533.85,912001.01,0,3,300.81,8558.65,0.9297,
2021-06-22,TRADED,3,0,3,0,3,0,0,0,0,3,0,-381.36,-127.12,-62.90,-210.07,-11667.18,-3889.06,-1930.88,-6411.67,900333.83,0,3,381.36,11667.18,1.2793,
2021-06-23,TRADED,3,0,2,1,3,0,0,0,0,3,0,-176.08,-58.69,-38.25,-93.54,-5244.47,-1748.16,-1137.65,-2785.51,895089.36,0,3,176.08,5244.47,0.5825,
2021-06-24,TRADED,7,0,0,7,7,0,0,0,0,7,0,-488.71,-69.82,-6.49,-119.58,-14625.53,-2089.36,-194.41,-3557.10,880463.82,0,7,488.71,14625.54,1.6340,
2021-06-25,TRADED,5,0,2,3,3,2,0,0,2,3,0,154.06,30.81,291.74,-135.18,4503.55,900.71,8507.52,-3943.17,884967.36,1,2,149.67,4351.34,0.4942,
2021-06-26,TRADED,10,0,5,5,8,2,0,0,2,8,0,-107.80,-10.78,261.49,-144.80,-3349.13,-334.91,8295.04,-4554.52,881618.23,1,6,258.39,8183.61,0.9227,
2021-06-27,TRADED,6,0,5,1,6,0,0,0,0,6,0,-271.88,-45.31,-0.07,-88.63,-8285.73,-1380.95,-2.24,-2704.79,873332.51,0,6,271.88,8285.72,0.9398,
2021-06-28,TRADED,5,0,3,2,5,0,0,0,0,5,0,-444.05,-88.81,-21.39,-171.85,-12889.66,-2577.93,-625.25,-4959.76,860442.85,0,5,444.05,12889.66,1.4759,
2021-06-29,TRADED,7,0,5,2,5,2,0,0,2,5,0,29.35,4.19,276.59,-166.75,778.27,111.18,7980.75,-4859.78,861221.12,2,5,450.79,13085.65,1.5208,
