period,days,held_days,flat_days,skipped_days,trades,gap_events,long_trades,short_trades,stop_exits,target_exits,gap_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,average_points,total_pnl_usd,average_pnl_usd,ending_equity,max_profit_date,max_profit_points,max_profit_usd,max_loss_date,max_loss_points,max_loss_usd,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_usd,max_drawdown_pct
2021-05,20,0,3,0,70,0,27,43,51,19,0,0,8,9,0,-1317.64,-77.51,-31026.22,-1825.07,968973.76,2021-05-18,410.03,9234.92,2021-05-21,-696.68,-17132.05,2,3,1473.46,34701.83,3.4702
2021-06,30,0,1,0,200,0,101,99,159,41,0,0,10,19,0,-4117.54,-141.98,-121319.25,-4183.42,847654.43,2021-06-10,385.30,10586.32,2021-06-06,-824.48,-22861.73,3,5,4117.54,121319.33,12.5204
2021-07,31,0,0,0,242,0,127,115,177,65,0,0,16,15,0,-1358.34,-43.82,-29506.39,-951.82,818148.01,2021-07-21,466.85,15673.00,2021-07-29,-1330.64,-33369.87,7,5,2506.43,63639.60,7.2171
2021-08,31,1,2,0,209,0,101,108,149,60,0,0,14,14,0,319.08,11.40,9316.15,332.72,827464.14,2021-08-17,992.60,21413.30,2021-08-22,-967.60,-19741.45,4,5,2067.01,45557.28,5.4406
2021-09,30,0,3,0,278,0,133,145,225,53,0,0,5,22,0,-9775.43,-362.05,-211873.34,-7847.16,615590.81,2021-09-28,758.30,17994.10,2021-09-25,-1764.75,-41577.51,2,7,10168.19,221128.22,26.7236
2021-10,31,0,2,0,290,0,148,142,222,68,0,0,7,22,0,-6639.75,-228.96,-120596.99,-4158.52,494993.94,2021-10-13,1294.46,23034.23,2021-10-10,-1293.24,-23504.36,2,10,7216.52,131144.27,21.0895
2021-11,30,0,2,0,233,1,110,123,172,61,0,0,13,15,0,-167.30,-5.98,-3002.44,-107.23,491991.49,2021-11-07,1598.74,25987.59,2021-11-21,-1374.70,-23312.75,4,5,2905.43,46735.51,9.4416
2021-12,31,0,1,0,287,0,155,132,205,82,0,0,18,12,0,4310.34,143.68,89491.78,2983.06,581483.25,2021-12-11,1331.51,27503.54,2021-12-19,-846.89,-18035.58,5,2,1003.32,21428.98,3.8452
2022-01,31,0,3,0,313,0,161,152,237,76,0,0,15,13,0,-2161.19,-77.19,-47206.45,-1685.94,534276.81,2022-01-17,1110.11,25923.40,2022-01-08,-932.91,-22224.16,3,4,4488.32,103736.09,17.8399
2022-02,28,0,2,0,258,0,131,127,216,42,0,0,9,17,0,-7278.46,-279.94,-169623.05,-6523.96,364653.77,2022-02-03,453.15,12303.78,2022-02-06,-1687.04,-40565.18,2,10,7818.16,184384.81,33.5832
2022-03,31,1,2,0,354,0,187,167,284,70,0,0,8,20,0,-5973.62,-213.34,-141279.57,-5045.70,223374.29,2022-03-19,1081.60,25832.07,2022-03-17,-1360.90,-33298.83,2,7,5973.62,141279.48,38.7435
2022-04,30,0,4,0,232,0,130,102,182,50,0,0,9,17,0,-2759.72,-106.14,-70343.83,-2705.53,153030.47,2022-04-03,999.30,21557.78,2022-04-07,-1269.83,-29192.36,3,7,4814.59,117905.87,46.9949
2022-05,31,0,2,0,256,0,142,114,195,61,0,0,11,18,0,-1555.01,-53.62,-51616.70,-1779.89,101413.81,2022-05-15,827.98,27867.03,2022-05-26,-1206.83,-40805.77,4,8,2147.96,72399.46,41.6536
2022-06,30,0,1,0,181,0,83,98,135,46,0,0,13,16,0,35.12,1.21,-5611.37,-193.50,95802.50,2022-06-25,359.61,17002.38,2022-06-12,-327.41,-11747.81,4,7,999.98,44940.74,35.3877
2022-07,31,1,1,0,225,0,119,106,170,55,0,0,12,17,0,-1153.29,-39.77,-50911.61,-1755.57,44890.84,2022-07-13,630.09,32110.96,2022-07-01,-711.33,-36757.30,4,5,1407.89,69318.15,72.3553
2022-08,31,1,1,0,299,0,143,156,226,73,0,0,10,19,0,-1530.59,-52.78,-72139.83,-2487.58,-27249.03,2022-08-23,643.23,30071.36,2022-08-25,-489.22,-22694.01,3,5,1530.59,72139.87,160.7006
2022-09,30,0,1,0,269,0,152,117,201,68,0,0,14,15,0,301.63,10.40,14260.84,491.75,-12988.17,2022-09-01,470.59,23437.64,2022-09-15,-423.70,-20983.66,3,3,859.28,44081.78,219.5397
2022-10,31,0,2,0,304,0,139,165,235,69,0,0,16,13,0,-369.03,-12.73,-20670.71,-712.78,-33658.94,2022-10-27,321.49,15545.51,2022-10-03,-447.73,-23338.75,5,3,1150.83,59758.10,0.0000
2022-11,30,0,1,0,303,0,151,152,230,73,0,0,14,15,0,-493.22,-17.01,-27260.59,-940.02,-60919.55,2022-11-15,259.99,15661.66,2022-11-11,-369.21,-21453.11,3,3,782.59,44903.12,0.0000
2022-12,31,0,0,0,375,0,177,198,297,78,0,0,11,20,0,-1360.38,-43.88,-80639.47,-2601.27,-141559.07,2022-12-28,191.35,11492.71,2022-12-18,-283.90,-16947.91,4,6,1683.17,100088.26,0.0000
2023-01,31,0,2,0,293,0,154,139,220,73,0,0,12,17,0,-35.53,-1.23,2671.06,92.11,-138888.04,2023-01-25,479.30,21077.77,2023-01-27,-341.77,-14808.16,3,6,905.42,41788.23,0.0000
2023-02,28,0,0,0,212,0,93,119,154,58,0,0,17,11,0,1929.04,68.89,79225.32,2829.48,-59662.74,2023-02-21,822.67,33170.66,2023-02-01,-340.48,-14777.55,7,4,678.28,29651.00,0.0000
2023-03,31,0,3,0,261,1,133,128,200,60,1,0,13,15,0,-196.36,-7.01,-9219.34,-329.26,-68882.09,2023-03-30,591.30,20805.29,2023-03-15,-462.07,-18496.25,3,4,1186.65,45284.30,0.0000
2023-04,30,0,1,0,288,0,139,149,215,73,0,0,11,18,0,-1786.68,-61.61,-63099.71,-2175.85,-131981.78,2023-04-13,331.16,10970.94,2023-04-27,-502.92,-17354.61,5,6,1987.31,70210.09,0.0000
2023-05,31,0,0,0,264,1,141,123,204,59,1,0,15,16,0,-763.22,-24.62,-27547.77,-888.64,-159529.56,2023-05-11,392.81,14232.71,2023-05-22,-492.92,-18382.18,3,2,1134.58,40371.09,0.0000
2023-06,30,0,1,0,312,0,170,142,239,73,0,0,11,18,0,-1677.16,-57.83,-65617.97,-2262.69,-225147.54,2023-06-05,293.90,10856.66,2023-06-22,-622.66,-20690.11,5,8,2650.64,97562.23,0.0000
2023-07,31,0,0,0,330,0,177,153,242,88,0,0,13,18,0,128.53,4.15,4137.37,133.46,-221010.27,2023-07-18,655.04,21867.47,2023-07-19,-438.19,-14629.09,3,4,552.20,18008.57,0.0000
2023-08,31,0,2,0,307,0,154,153,220,87,0,0,17,12,0,645.50,22.26,20752.09,715.59,-200258.24,2023-08-30,353.30,12897.35,2023-08-21,-304.89,-11694.07,5,4,757.58,29074.12,0.0000
2023-09,30,1,0,0,367,0,173,194,285,82,0,0,10,19,0,-2312.29,-79.73,-87980.50,-3033.81,-288238.67,2023-09-14,376.67,14356.21,2023-09-06,-514.91,-20030.43,2,3,2445.76,93242.35,0.0000
2023-10,31,0,1,0,298,0,151,147,224,74,0,0,16,14,0,-861.54,-28.72,-26258.09,-875.27,-314496.75,2023-10-21,295.19,9906.16,2023-10-24,-653.47,-19266.17,4,4,1737.97,56350.17,0.0000
2023-11,30,0,0,0,326,0,166,160,252,74,0,0,9,21,0,-3964.05,-132.14,-110045.77,-3668.19,-424542.57,2023-11-13,666.19,18050.82,2023-11-01,-662.95,-19248.96,2,7,3964.05,110045.83,0.0000
2023-12,31,0,1,0,269,0,133,136,191,78,0,0,16,14,0,-598.96,-19.97,-11350.86,-378.36,-435893.44,2023-12-27,444.97,10443.75,2023-12-10,-858.16,-19579.45,4,6,2830.76,65104.86,0.0000
2024-01,31,0,0,0,352,0,174,178,273,79,0,0,13,18,0,-4012.26,-129.43,-95498.53,-3080.60,-531392.05,2024-01-12,1060.37,22886.58,2024-01-29,-793.53,-18805.92,3,4,4229.81,100713.10,0.0000
2024-02,29,0,2,1,272,1,130,142,202,70,0,0,14,12,0,547.97,21.08,4729.54,181.91,-526662.57,2024-02-23,1163.64,22710.85,2024-02-16,-1594.76,-30636.76,3,4,2744.36,57026.79,0.0000
2024-03,31,0,2,0,239,0,124,115,178,61,0,0,14,15,0,-1655.34,-57.08,-26454.30,-912.22,-553116.85,2024-03-24,1395.42,21498.11,2024-03-20,-1299.70,-20575.48,3,4,4218.84,65861.68,0.0000
2024-04,30,0,0,0,266,0,130,136,213,53,0,0,11,19,0,-9506.10,-316.87,-146484.35,-4882.81,-699601.21,2024-04-10,1151.06,16595.88,2024-04-13,-1439.95,-21374.50,2,5,9897.57,152080.52,0.0000
2024-05,31,1,0,0,257,1,135,122,192,65,0,0,12,18,0,-1033.58,-34.45,-15262.24,-508.74,-714863.44,2024-05-09,1336.55,21652.99,2024-05-07,-1115.61,-17518.64,3,4,2526.56,39478.76,0.0000
2024-06,30,0,1,0,278,0,148,130,217,61,0,0,11,18,0,-6122.13,-211.11,-91014.92,-3138.45,-805878.42,2024-06-23,455.40,7104.90,2024-06-19,-1313.49,-20157.13,2,6,6122.13,91014.97,0.0000
2024-07,31,1,2,0,226,0,122,104,163,63,0,0,17,11,0,2325.96,83.07,43045.85,1537.35,-762832.60,2024-07-10,1154.98,19938.57,2024-07-21,-1100.40,-16433.44,5,3,4120.05,62804.40,0.0000
2024-08,31,0,1,0,249,0,133,116,181,68,0,0,16,14,0,657.22,21.91,7318.92,243.96,-755513.69,2024-08-26,1862.58,29274.55,2024-08-10,-1286.97,-21215.10,4,5,4421.91,73674.98,0.0000
2024-09,30,1,1,0,265,0,124,141,190,75,0,0,12,16,0,-505.93,-18.07,-9304.14,-332.29,-764817.87,2024-09-05,916.21,16036.50,2024-09-12,-778.83,-13509.93,3,4,2672.83,45734.27,0.0000
2024-10,31,2,1,0,278,1,141,137,199,78,1,0,17,11,0,3459.89,123.57,54503.55,1946.56,-710314.21,2024-10-04,1040.73,17035.87,2024-10-14,-544.98,-8699.12,6,2,1049.62,14484.48,0.0000
2024-11,30,0,2,0,286,0,146,140,218,68,0,0,11,17,0,-5467.16,-195.26,-62342.11,-2226.50,-772656.41,2024-11-17,1221.78,13494.45,2024-11-02,-1533.62,-22062.19,2,4,5780.61,65665.16,0.0000
2024-12,31,0,0,0,287,0,140,147,212,75,0,0,12,19,0,-5390.69,-173.89,-57973.20,-1870.10,-830629.69,2024-12-18,2685.88,25494.15,2024-12-07,-2136.03,-21426.42,2,6,7501.39,75793.12,0.0000
2025-01,31,1,2,0,257,0,128,129,201,56,0,0,10,18,0,-10061.83,-359.35,-98428.53,-3515.30,-929058.29,2025-01-09,945.55,9990.44,2025-01-18,-2924.04,-28245.14,2,3,10590.54,103750.54,0.0000
2025-02,28,1,1,0,228,0,115,113,162,66,0,0,14,12,0,2047.80,78.76,19969.52,768.06,-909088.73,2025-02-20,2024.56,20951.21,2025-02-24,-2322.79,-24270.71,4,3,2952.30,30730.12,0.0000
2025-03,31,0,1,0,275,0,146,129,221,54,0,0,9,21,0,-8238.08,-274.60,-95666.78,-3188.89,-1004755.56,2025-03-31,1336.58,16216.04,2025-03-27,-2038.40,-23377.81,2,7,10431.85,121964.06,0.0000
2025-04,30,0,0,0,279,0,148,131,216,63,0,0,11,19,0,-6979.43,-232.65,-81702.12,-2723.40,-1086457.63,2025-04-12,1345.39,16187.82,2025-04-14,-2229.15,-26395.45,2,5,7376.90,86544.57,0.0000
2025-05,31,0,0,0,281,0,143,138,205,76,0,0,15,16,0,-1519.73,-49.02,-12252.31,-395.24,-1098710.02,2025-05-28,1670.41,15328.37,2025-05-11,-2036.18,-19501.60,3,5,6086.76,56921.02,0.0000
2025-06,30,1,0,0,299,0,153,146,225,74,0,0,9,20,0,-7451.62,-256.95,-69942.28,-2411.80,-1168652.35,2025-06-07,1891.98,18086.70,2025-06-19,-2192.32,-20915.70,2,6,9208.00,86650.76,0.0000
2025-07,31,1,0,0,300,0,165,135,220,80,0,0,15,15,0,-1665.00,-55.50,-12084.45,-402.82,-1180736.88,2025-07-22,1818.17,15406.92,2025-07-24,-2707.78,-22835.41,3,4,5870.05,49543.10,0.0000
2025-08,31,0,0,0,281,0,136,145,214,67,0,0,15,16,0,-1677.32,-54.11,-15703.23,-506.56,-1196440.07,2025-08-01,2823.84,24436.76,2025-08-22,-2126.42,-18826.38,7,9,9351.19,82194.05,0.0000
2025-09,30,0,1,0,272,0,150,122,194,78,0,0,15,14,0,3011.49,103.84,26420.20,911.04,-1170019.94,2025-09-17,1821.72,15705.52,2025-09-15,-1141.32,-9903.08,5,5,4136.00,36159.00,0.0000
2025-10,31,0,0,0,252,1,146,106,179,72,1,0,17,14,0,-430.38,-13.88,1539.66,49.67,-1168480.23,2025-10-22,2778.55,25599.72,2025-10-13,-3210.94,-28025.66,9,4,10184.04,86434.51,0.0000
2025-11,30,0,1,0,289,0,153,136,222,67,0,0,14,15,0,-8236.69,-284.02,-82058.58,-2829.61,-1250538.76,2025-11-20,1502.96,16465.49,2025-11-22,-3065.36,-36336.93,3,5,10272.97,105097.61,0.0000
