date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-04-02,2,0,2,-18295.0,1028.8,-19323.8,-1.9324,980676.2,-19323.8,-1.9324
2026-04-06,1,0,1,-9946.21,601.13,-10547.34,-1.0755,970128.86,-29871.14,-2.9871
2026-04-08,1,1,0,2035.67,603.74,1431.93,0.1476,971560.79,-28439.21,-2.8439
2026-04-09,1,0,1,-7101.13,612.3,-7713.43,-0.7939,963847.36,-36152.64,-3.6153
2026-04-10,3,2,1,3328.16,1464.5,1863.66,0.1934,965711.02,-34288.98,-3.4289
2026-04-15,1,0,1,-3358.98,593.07,-3952.05,-0.4092,961758.97,-38241.03,-3.8241
2026-04-16,1,1,0,6959.84,606.96,6352.88,0.6605,968111.85,-31888.15,-3.1888
2026-04-17,1,1,0,8011.5,440.07,7571.43,0.7821,975683.28,-24316.72,-2.4317
2026-04-21,2,1,1,-88.19,1207.47,-1295.66,-0.1328,974387.62,-25612.38,-2.5612
2026-04-22,1,1,0,645.04,375.05,269.99,0.0277,974657.61,-25342.39,-2.5342
2026-04-23,1,1,0,4360.96,529.88,3831.08,0.3931,978488.69,-21511.31,-2.1511
2026-04-24,1,1,0,4189.5,592.49,3597.01,0.3676,982085.7,-17914.3,-1.7914
2026-04-27,4,2,2,2603.33,2235.5,367.83,0.0375,982453.53,-17546.47,-1.7546
2026-04-28,1,0,1,-4427.16,584.25,-5011.41,-0.5101,977442.12,-22557.88,-2.2558
2026-04-29,2,1,1,-4291.9,946.35,-5238.25,-0.5359,972203.87,-27796.13,-2.7796
