trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-04-10T15:15:00+05:30,2026-04-10,derivatives,NSEBANK_data_1h,-15.39,999984.61,-15.39,-0.0015
2,2026-04-10T15:15:00+05:30,2026-04-10,derivatives,NSEI_data_1h,615.02,1000599.63,0.0,0.0
3,2026-04-16T15:15:00+05:30,2026-04-16,derivatives,NSEI_data_1h,-1241.66,999357.97,-1241.66,-0.1241
4,2026-04-17T15:15:00+05:30,2026-04-17,derivatives,CNXFMCG_data_1h,816.93,1000174.9,-424.73,-0.0424
5,2026-04-21T15:15:00+05:30,2026-04-21,derivatives,CNXAUTO_data_1h,-3864.21,996310.69,-4288.94,-0.4286
6,2026-04-21T15:15:00+05:30,2026-04-21,derivatives,NSEI_data_1h,-19.07,996291.62,-4308.01,-0.4305
7,2026-04-22T15:15:00+05:30,2026-04-22,derivatives,CNXIT_data_1h,-1184.04,995107.58,-5492.05,-0.5489
8,2026-04-23T15:15:00+05:30,2026-04-23,derivatives,CNXAUTO_data_1h,1407.45,996515.03,-4084.6,-0.4082
9,2026-04-24T15:15:00+05:30,2026-04-24,derivatives,CNXFMCG_data_1h,310.53,996825.56,-3774.07,-0.3772
10,2026-04-27T15:15:00+05:30,2026-04-27,derivatives,CNXAUTO_data_1h,3321.88,1000147.44,-452.19,-0.0452
11,2026-04-27T15:15:00+05:30,2026-04-27,derivatives,CNXIT_data_1h,12.96,1000160.4,-439.23,-0.0439
12,2026-04-27T15:15:00+05:30,2026-04-27,derivatives,NSEI_data_1h,-1504.1,998656.3,-1943.33,-0.1942
13,2026-04-29T15:15:00+05:30,2026-04-29,derivatives,CNXFMCG_data_1h,-1530.14,997126.16,-3473.47,-0.3471
