market,instrument,file,candles,sessions,trades
commodities,CLF,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\commodities\data\CLF_data_5m.csv,5711,21,10
commodities,GCF,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\commodities\data\GCF_data_5m.csv,5767,21,10
commodities,HGF,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\commodities\data\HGF_data_5m.csv,5747,21,5
commodities,NGF,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\commodities\data\NGF_data_5m.csv,5683,21,10
commodities,SIF,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\commodities\data\SIF_data_5m.csv,5756,21,15
derivatives,CNXAUTO,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\derivatives\data\CNXAUTO_data_5m.csv,1357,20,6
derivatives,CNXFMCG,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\derivatives\data\CNXFMCG_data_5m.csv,1357,20,6
derivatives,CNXIT,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\derivatives\data\CNXIT_data_5m.csv,1357,20,3
derivatives,NSEBANK,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\derivatives\data\NSEBANK_data_5m.csv,1357,20,5
derivatives,NSEI,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\derivatives\data\NSEI_data_5m.csv,1357,20,8
equity,BHARTIARTL_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\BHARTIARTL_NS_equity_data_5m.csv,1354,20,7
equity,HDFCBANK_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\HDFCBANK_NS_equity_data_5m.csv,1354,20,7
equity,ICICIBANK_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\ICICIBANK_NS_equity_data_5m.csv,1354,20,4
equity,INFY_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\INFY_NS_equity_data_5m.csv,1354,20,8
equity,ITC_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\ITC_NS_equity_data_5m.csv,1354,20,8
equity,KOTAKBANK_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\KOTAKBANK_NS_equity_data_5m.csv,1354,20,6
equity,LT_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\LT_NS_equity_data_5m.csv,1354,20,6
equity,RELIANCE_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\RELIANCE_NS_equity_data_5m.csv,1354,20,9
equity,SBIN_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\SBIN_NS_equity_data_5m.csv,1354,20,2
equity,TCS_NS,C:\Users\harsh\Desktop\workspace\git\nse-quant-playground\equity\data\TCS_NS_equity_data_5m.csv,1354,20,3
