market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,10,1,9,10.0,-196929.74,-19692.97,2684.98,-27346.51,0.0135
commodities,GCF,10,0,10,0.0,-183028.43,-18302.84,-12539.58,-22209.48,0.0
commodities,HGF,5,0,5,0.0,-62549.66,-12509.93,-12372.14,-12572.35,0.0
commodities,NGF,10,0,10,0.0,-108392.6,-10839.26,-9766.14,-11250.37,0.0
commodities,SIF,15,0,15,0.0,-294516.57,-19634.44,-3098.97,-27144.66,0.0
derivatives,CNXAUTO,6,3,3,50.0,-7916.65,-1319.44,7386.66,-10108.65,0.5965
derivatives,CNXFMCG,6,3,3,50.0,13856.03,2309.34,13906.34,-5344.29,2.1225
derivatives,CNXIT,3,2,1,66.67,4818.51,1606.17,5054.72,-1751.32,3.7514
derivatives,NSEBANK,5,1,4,20.0,-25846.29,-5169.26,4570.47,-10075.19,0.1503
derivatives,NSEI,8,4,4,50.0,-11697.03,-1462.13,4424.32,-9823.57,0.522
equity,BHARTIARTL_NS,7,4,3,57.14,23103.17,3300.45,12185.48,-3756.76,3.9075
equity,HDFCBANK_NS,7,2,5,28.57,-27500.07,-3928.58,6479.97,-10301.47,0.2687
equity,ICICIBANK_NS,4,2,2,50.0,-5651.45,-1412.86,11931.59,-10392.82,0.7277
equity,INFY_NS,8,5,3,62.5,13269.5,1658.69,19214.98,-10342.94,1.5715
equity,ITC_NS,8,3,5,37.5,-15900.08,-1987.51,8925.72,-6829.11,0.442
equity,KOTAKBANK_NS,6,2,4,33.33,-2552.96,-425.49,8277.95,-10204.02,0.8574
equity,LT_NS,6,4,2,66.67,4012.26,668.71,7803.31,-10182.78,1.3155
equity,RELIANCE_NS,9,5,4,55.56,25316.28,2812.92,11115.41,-6146.57,2.3935
equity,SBIN_NS,2,0,2,0.0,-12119.89,-6059.95,-1893.35,-10226.54,0.0
equity,TCS_NS,3,3,0,100.0,30022.12,10007.37,19078.37,1753.99,inf
