trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-04-01T13:10:00+05:30,2026-04-01,derivatives,CNXAUTO,-6007.06,993992.94,-6007.06,-0.6007
2,2026-04-01T13:15:00+05:30,2026-04-01,derivatives,NSEI,-4747.83,989245.11,-10754.89,-1.0755
3,2026-04-01T13:40:00+05:30,2026-04-01,derivatives,NSEBANK,-8588.51,980656.6,-19343.4,-1.9343
4,2026-04-02T13:00:00+05:30,2026-04-02,derivatives,NSEI,-9215.15,971441.45,-28558.55,-2.8559
5,2026-04-02T13:25:00+05:30,2026-04-02,derivatives,CNXAUTO,-10108.65,961332.8,-38667.2,-3.8667
6,2026-04-02T13:25:00+05:30,2026-04-02,derivatives,NSEBANK,-10075.19,951257.61,-48742.39,-4.8742
7,2026-04-06T12:55:00+05:30,2026-04-06,derivatives,NSEI,-9823.57,941434.04,-58565.96,-5.8566
8,2026-04-08T15:20:00+05:30,2026-04-08,derivatives,NSEI,2694.97,944129.01,-55870.99,-5.5871
9,2026-04-09T10:30:00+05:30,2026-04-09,derivatives,NSEBANK,-7648.6,936480.41,-63519.59,-6.352
10,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,CNXIT,-1751.32,934729.09,-65270.91,-6.5271
11,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,NSEBANK,4570.47,939299.56,-60700.44,-6.07
12,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,NSEI,2324.69,941624.25,-58375.75,-5.8376
13,2026-04-15T15:20:00+05:30,2026-04-15,derivatives,CNXFMCG,-3080.56,938543.69,-61456.31,-6.1456
14,2026-04-16T12:00:00+05:30,2026-04-16,derivatives,NSEI,4424.32,942968.01,-57031.99,-5.7032
15,2026-04-17T15:20:00+05:30,2026-04-17,derivatives,CNXFMCG,13906.34,956874.35,-43125.65,-4.3126
16,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,CNXAUTO,-3505.11,953369.24,-46630.76,-4.6631
17,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,NSEI,3331.14,956700.38,-43299.62,-4.33
18,2026-04-22T15:20:00+05:30,2026-04-22,derivatives,CNXFMCG,-3918.69,952781.69,-47218.31,-4.7218
19,2026-04-22T15:20:00+05:30,2026-04-22,derivatives,CNXIT,1515.11,954296.8,-45703.2,-4.5703
20,2026-04-23T15:20:00+05:30,2026-04-23,derivatives,CNXAUTO,7386.66,961683.46,-38316.54,-3.8317
21,2026-04-24T15:20:00+05:30,2026-04-24,derivatives,CNXFMCG,2625.53,964308.99,-35691.01,-3.5691
22,2026-04-27T11:30:00+05:30,2026-04-27,derivatives,CNXFMCG,-5344.29,958964.7,-41035.3,-4.1035
23,2026-04-27T15:20:00+05:30,2026-04-27,derivatives,CNXAUTO,3882.54,962847.24,-37152.76,-3.7153
24,2026-04-27T15:20:00+05:30,2026-04-27,derivatives,CNXIT,5054.72,967901.96,-32098.04,-3.2098
25,2026-04-27T15:20:00+05:30,2026-04-27,derivatives,NSEI,-685.6,967216.36,-32783.64,-3.2784
26,2026-04-28T11:20:00+05:30,2026-04-28,derivatives,NSEBANK,-4104.46,963111.9,-36888.1,-3.6888
27,2026-04-29T12:10:00+05:30,2026-04-29,derivatives,CNXFMCG,9667.7,972779.6,-27220.4,-2.722
28,2026-04-29T15:20:00+05:30,2026-04-29,derivatives,CNXAUTO,-6476.04,966303.56,-33696.44,-3.3696
29,2026-04-29T15:20:00+05:30,2026-04-29,derivatives,NSEBANK,-71.14,966232.42,-33767.58,-3.3768
