rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
BEST,1,volatility_adjusted,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.554909,1260.047989,1303.568749,2026-04-02T15:10:00+05:30,1303.308035,TARGET,4.492833,68,100436.75,1.0,1003.61,0.0,6026.2,86669.73,0.0,301310.25,risk_budget,fixed_percent_risk,1955.21,52.59,1902.62,2.1953,1.8958,70,103895.13
BEST,2,volatility_adjusted,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.4808,2380.623878,2452.194645,2026-04-02T13:35:00+05:30,2451.704206,TARGET,7.557094,41,100436.75,1.0,997.65,1003.61,6026.2,98583.71,86669.73,301310.25,risk_budget,fixed_percent_risk,1936.16,59.73,1876.43,1.9034,1.8808,51,101992.51
BEST,3,volatility_adjusted,commodities,CLF,2026-04-14,OPEN_EQUALS_HIGH,SHORT,2026-04-14T09:15:00-04:00,96.080002,96.129997,95.330002,95.529999,2368.0,-1.6179,2026-04-14T09:40:00-04:00,95.209999,2026-04-14T09:45:00-04:00,95.200957,96.099218,93.404436,2026-04-14T10:05:00-04:00,93.423117,TARGET,0.420714,1079,102762.54,1.0,989.96,0.0,6165.75,102721.83,0.0,308287.62,per_trade_allocation,fixed_percent_risk,1918.29,61.06,1857.23,1.808,1.8761,5,104619.77
BEST,4,volatility_adjusted,equity,BHARTIARTL_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,1864.300049,1864.300049,1853.099976,1854.199951,0.0,0.5501,2026-04-16T09:35:00+05:30,1853.0,2026-04-16T09:40:00+05:30,1852.729356,1864.672909,1828.842249,2026-04-16T13:05:00+05:30,1829.208018,TARGET,3.700003,55,102040.64,1.0,677.41,274.47,6122.44,101900.11,97285.54,306121.92,per_trade_allocation,fixed_percent_risk,1293.67,60.75,1232.92,1.2099,1.8201,42,103677.63
BEST,5,volatility_adjusted,equity,ICICIBANK_NS,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,1288.5,1301.400024,1288.5,1301.300049,0.0,0.4757,2026-04-10T09:25:00+05:30,1302.5,2026-04-10T09:30:00+05:30,1303.060609,1288.2423,1332.697227,2026-04-10T15:20:00+05:30,1321.335656,END_OF_DAY,5.271441,67,101742.39,1.0,1010.09,1481.68,6104.54,87305.06,140266.05,305227.17,risk_budget,fixed_percent_risk,1224.43,52.75,1171.68,1.3421,1.16,71,103171.53
BEST,6,volatility_adjusted,commodities,SIF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,72.245003,72.269997,72.040001,72.084999,78.0,-1.1020,2026-04-07T09:30:00-04:00,71.940002,2026-04-07T09:35:00-04:00,71.855629,72.259452,71.047983,2026-04-07T10:00:00-04:00,71.062192,TARGET,0.29,1384,99497.25,1.0,578.89,264.75,5969.83,99448.19,98096.58,298491.75,per_trade_allocation,fixed_percent_risk,1098.12,59.34,1038.78,1.0445,1.7944,6,100947.96
BEST,7,volatility_adjusted,equity,ITC_NS,2026-04-29,OPEN_EQUALS_LOW,LONG,2026-04-29T09:15:00+05:30,305.600006,308.0,305.399994,307.25,493351.0,0.4107,2026-04-29T09:20:00+05:30,309.950012,2026-04-29T09:25:00+05:30,309.81195,305.538886,318.358078,2026-04-29T12:15:00+05:30,314.337114,END_OF_DAY,0.846431,228,99201.92,1.0,988.19,288.29,5952.12,70637.12,51333.16,297605.76,risk_budget,fixed_percent_risk,1031.74,42.69,989.05,1.4002,1.0009,35,100586.22
BEST,8,volatility_adjusted,commodities,NGF,2026-04-24,OPEN_EQUALS_HIGH,SHORT,2026-04-24T09:15:00-04:00,2.693,2.695,2.684,2.687,1068.0,-1.8586,2026-04-24T09:30:00-04:00,2.681,2026-04-24T09:35:00-04:00,2.679464,2.693539,2.651315,2026-04-24T11:45:00-04:00,2.651845,TARGET,0.010357,37701,101020.3,1.0,550.94,0.0,6061.22,101018.47,0.0,303060.9,per_trade_allocation,fixed_percent_risk,1041.26,60.3,980.96,0.9711,1.7805,27,101416.77
BEST,9,volatility_adjusted,equity,RELIANCE_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1355.0,1355.0,1336.400024,1338.699951,0.0,0.4150,2026-04-06T09:20:00+05:30,1331.599976,2026-04-06T09:25:00+05:30,1330.933711,1355.271,1282.259134,2026-04-06T15:20:00+05:30,1306.461191,END_OF_DAY,5.792855,41,102461.74,1.0,1008.94,2017.86,6147.7,54568.28,114365.67,307385.22,risk_budget,fixed_percent_risk,1003.37,32.44,970.93,1.7793,0.9623,72,100122.16
BEST,10,volatility_adjusted,equity,BHARTIARTL_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1815.0,1816.199951,1803.800049,1810.099976,0.0,1.4250,2026-04-01T10:25:00+05:30,1802.800049,2026-04-01T10:30:00+05:30,1802.1395,1815.363,1775.6925,2026-04-01T15:20:00+05:30,1783.756704,END_OF_DAY,3.371434,56,101740.93,1.0,760.85,907.18,6104.46,100919.81,188719.65,305222.79,per_trade_allocation,fixed_percent_risk,1029.44,60.24,969.19,0.9604,1.2738,59,101689.43
