date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,2,2,0,2020.11,119.96,1900.15,1.9002,101900.15,0.0,0.0
2026-03-31,2,2,0,1028.3,122.18,906.12,0.8892,102806.27,0.0,0.0
2026-04-01,7,1,6,-1969.8,399.7,-2369.52,-2.3048,100436.75,-2369.52,-2.3048
2026-04-02,6,2,4,2003.3,288.13,1715.16,1.7077,102151.91,-654.36,-0.6365
2026-04-06,9,2,7,-2526.79,422.41,-2949.22,-2.8871,99202.69,-3603.58,-3.5052
2026-04-07,2,2,0,1565.59,117.89,1447.7,1.4593,100650.39,-2155.88,-2.097
2026-04-08,4,3,1,1434.22,182.45,1251.77,1.2437,101902.16,-904.11,-0.8794
2026-04-09,5,3,2,-51.17,303.48,-354.65,-0.348,101547.51,-1258.76,-1.2244
2026-04-10,8,5,3,1789.07,364.48,1424.59,1.4029,102972.1,0.0,0.0
2026-04-13,1,0,1,-228.76,61.82,-290.57,-0.2822,102681.53,-290.57,-0.2822
2026-04-14,3,2,1,2647.47,183.1,2464.37,2.4,105145.9,0.0,0.0
2026-04-15,7,0,7,-3476.53,429.13,-3905.68,-3.7145,101240.22,-3905.68,-3.7145
2026-04-16,7,3,4,862.43,363.42,498.98,0.4929,101739.2,-3406.7,-3.24
2026-04-17,7,4,3,71.9,363.9,-292.0,-0.287,101447.2,-3698.7,-3.5177
2026-04-20,7,4,3,-277.37,365.83,-643.2,-0.634,100804.0,-4341.9,-4.1294
2026-04-21,4,1,3,-467.29,128.36,-595.64,-0.5909,100208.36,-4937.54,-4.6959
