market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,10,4,6,40.0,179.13,17.91,1857.23,-930.24,1.0449
commodities,GCF,10,2,8,20.0,-1956.44,-195.64,411.93,-606.41,0.2749
commodities,HGF,5,1,4,20.0,-906.89,-181.38,330.67,-375.88,0.2672
commodities,NGF,10,4,6,40.0,-549.71,-54.97,980.96,-752.22,0.8344
commodities,SIF,15,5,10,33.33,-412.28,-27.49,1038.78,-826.66,0.9106
derivatives,CNXAUTO,4,2,2,50.0,-254.47,-63.62,582.92,-583.82,0.7072
derivatives,CNXFMCG,4,3,1,75.0,1041.1,260.27,723.17,-325.41,4.1993
derivatives,CNXIT,2,2,0,100.0,430.36,215.18,359.26,71.1,inf
derivatives,NSEBANK,2,1,1,50.0,4.44,2.22,257.46,-253.02,1.0175
derivatives,NSEI,3,2,1,66.67,261.45,87.15,432.35,-436.87,1.5985
equity,BHARTIARTL_NS,7,4,3,57.14,2132.96,304.71,1232.92,-394.73,3.4005
equity,HDFCBANK_NS,7,2,5,28.57,-2591.49,-370.21,654.58,-1065.34,0.2817
equity,ICICIBANK_NS,4,2,2,50.0,-36.78,-9.19,1171.68,-1078.31,0.9754
equity,INFY_NS,8,5,3,62.5,522.1,65.26,1902.62,-1100.36,1.2134
equity,ITC_NS,8,3,5,37.5,-527.19,-65.9,989.05,-637.69,0.7422
equity,KOTAKBANK_NS,6,3,3,50.0,-113.35,-18.89,899.29,-1047.5,0.9364
equity,LT_NS,5,3,2,60.0,580.45,116.09,409.66,-268.64,2.8694
equity,RELIANCE_NS,6,3,3,50.0,776.27,129.38,970.93,-573.23,1.5965
equity,SBIN_NS,2,0,2,0.0,-469.59,-234.8,-148.92,-320.67,0.0
equity,TCS_NS,3,3,0,100.0,2716.39,905.46,1876.43,4.77,inf
