rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
BEST,1,fixed_fractional,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.2,2380.623878,2451.352245,2026-04-02T13:35:00+05:30,2451.152245,TARGET,7.557094,0.2,41,99101.28,1.0,974.82,981.69,5946.08,98572.2,85391.5,297303.84,risk_budget,fixed_percent_risk,1925.04,50.0,1875.04,1.9022,1.9235,51,100634.57
BEST,2,fixed_fractional,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.500049,1260.047989,1303.404169,2026-04-02T15:10:00+05:30,1303.204169,TARGET,4.492833,0.2,67,99101.28,1.0,981.69,0.0,5946.08,85391.5,0.0,297303.84,risk_budget,fixed_percent_risk,1923.18,50.0,1873.18,2.1936,1.9081,70,102507.75
BEST,3,fixed_fractional,commodities,CLF,2026-04-14,OPEN_EQUALS_HIGH,SHORT,2026-04-14T09:15:00-04:00,96.080002,96.129997,95.330002,95.529999,2368.0,-1.6179,2026-04-14T09:40:00-04:00,95.209999,2026-04-14T09:45:00-04:00,95.020001,96.099218,92.861568,2026-04-14T10:05:00-04:00,93.061568,TARGET,0.420714,0.2,746,95467.42,1.0,954.3,0.0,5728.05,70884.92,0.0,286402.26,risk_budget,fixed_percent_risk,1460.99,50.0,1410.99,1.9905,1.4786,5,96878.41
BEST,4,fixed_fractional,commodities,SIF,2026-03-30,OPEN_EQUALS_HIGH,SHORT,2026-03-30T09:15:00-04:00,71.364998,71.400002,71.209999,71.315002,94.0,,2026-03-30T09:30:00-04:00,70.955002,2026-03-30T09:35:00-04:00,70.825002,71.379271,69.716463,2026-03-30T15:20:00-04:00,69.916463,TARGET,0.271429,0.2,1325,100000.0,1.0,999.41,882.25,6000.0,93843.13,99930.6,300000.0,risk_budget,fixed_percent_risk,1203.81,50.0,1153.81,1.2295,1.1545,70,102280.31
BEST,5,fixed_fractional,commodities,SIF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,72.245003,72.269997,72.040001,72.084999,78.0,-1.1020,2026-04-07T09:30:00-04:00,71.940002,2026-04-07T09:35:00-04:00,71.670003,72.259452,70.491105,2026-04-07T10:05:00-04:00,70.691105,TARGET,0.29,0.2,1207,95334.62,1.0,952.86,222.72,5720.08,86505.69,93440.0,286003.86,risk_budget,fixed_percent_risk,1181.53,50.0,1131.53,1.308,1.1875,7,96849.6
BEST,6,fixed_fractional,commodities,CLF,2026-03-30,OPEN_EQUALS_LOW,LONG,2026-03-30T09:15:00-04:00,101.290001,101.75,101.199997,101.610001,2620.0,,2026-03-30T09:25:00-04:00,101.769997,2026-03-30T09:30:00-04:00,101.969997,101.269743,103.370504,2026-03-30T12:00:00-04:00,103.170504,TARGET,0.457142,0.2,980,100000.0,1.0,882.25,0.0,6000.0,99930.6,0.0,300000.0,per_trade_allocation,fixed_percent_risk,1176.5,50.0,1126.5,1.1273,1.2768,31,101126.5
BEST,7,fixed_fractional,equity,BHARTIARTL_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,1864.300049,1864.300049,1853.099976,1854.199951,0.0,0.5501,2026-04-16T09:35:00+05:30,1853.0,2026-04-16T09:40:00+05:30,1852.899976,1864.672909,1829.354109,2026-04-16T13:00:00+05:30,1829.554109,TARGET,3.700003,0.2,50,93605.82,1.0,598.65,206.63,5616.35,92645.0,72963.75,280817.46,per_trade_allocation,fixed_percent_risk,1167.29,50.0,1117.29,1.206,1.8664,41,94859.32
BEST,8,fixed_fractional,equity,ICICIBANK_NS,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,1288.5,1301.400024,1288.5,1301.300049,0.0,0.4757,2026-04-10T09:25:00+05:30,1302.5,2026-04-10T09:30:00+05:30,1303.000049,1288.2423,1332.515546,2026-04-10T15:20:00+05:30,1321.399976,END_OF_DAY,5.271441,0.2,63,95346.4,1.0,942.34,1399.61,5720.78,82089.0,135055.85,286039.2,risk_budget,fixed_percent_risk,1159.2,50.0,1109.2,1.3512,1.1771,71,96708.85
BEST,9,fixed_fractional,commodities,SIF,2026-04-14,OPEN_EQUALS_LOW,LONG,2026-04-14T09:15:00-04:00,78.014999,78.269997,77.964996,78.224998,614.0,3.1058,2026-04-14T09:45:00-04:00,78.385002,2026-04-14T09:50:00-04:00,78.575,77.999396,79.726207,2026-04-14T13:40:00-04:00,79.526207,TARGET,0.269999,0.2,1214,95467.42,1.0,941.58,954.3,5728.05,95390.05,70884.92,286402.26,per_trade_allocation,fixed_percent_risk,1154.77,50.0,1104.77,1.1582,1.1733,47,97983.18
BEST,10,fixed_fractional,commodities,SIF,2026-04-08,OPEN_EQUALS_HIGH,SHORT,2026-04-08T09:15:00-04:00,77.339996,77.385002,77.129997,77.160004,322.0,6.9931,2026-04-08T09:30:00-04:00,77.040001,2026-04-08T09:35:00-04:00,76.8,77.355464,75.689071,2026-04-08T10:30:00-04:00,75.889071,TARGET,0.26393,0.2,1265,97187.1,1.0,955.66,0.0,5831.23,97152.0,0.0,291561.3,per_trade_allocation,fixed_percent_risk,1152.32,50.0,1102.32,1.1346,1.1535,12,98289.42
WORST,1,fixed_fractional,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.719998,113.412677,108.33464,2026-04-02T09:40:00-04:00,113.612677,STOP_LOSS,1.07857,0.2,540,102216.85,1.0,1022.05,255.69,6133.01,60328.8,101708.2,306650.55,risk_budget,fixed_percent_risk,-1022.05,50.0,-1072.05,-1.777,-1.0489,2,101144.8
WORST,2,fixed_fractional,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.150012,744.151128,774.147781,2026-04-01T10:20:00+05:30,743.951128,STOP_LOSS,3.953574,0.2,99,101845.37,1.0,1009.69,0.0,6110.72,74660.85,0.0,305536.11,risk_budget,fixed_percent_risk,-1009.69,50.0,-1059.69,-1.4193,-1.0495,12,100785.68
WORST,3,fixed_fractional,equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.349988,358.0716,334.906763,2026-04-06T13:05:00+05:30,358.2716,STOP_LOSS,1.850002,0.2,127,100839.11,1.0,1006.04,986.54,6050.35,44494.45,67757.8,302517.33,risk_budget,fixed_percent_risk,-1006.04,50.0,-1056.04,-2.3734,-1.0497,45,97941.17
