rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
BEST,1,fractional_kelly,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.2,2380.623878,2451.352245,2026-04-02T13:35:00+05:30,2451.152245,TARGET,7.557094,0.2,41,99101.28,1.0,974.82,981.69,5946.08,98572.2,85391.5,297303.84,risk_budget,kelly_warmup_fixed_percent_risk,1925.04,50.0,1875.04,1.9022,1.9235,51,100634.57
BEST,2,fractional_kelly,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.500049,1260.047989,1303.404169,2026-04-02T15:10:00+05:30,1303.204169,TARGET,4.492833,0.2,67,99101.28,1.0,981.69,0.0,5946.08,85391.5,0.0,297303.84,risk_budget,kelly_warmup_fixed_percent_risk,1923.18,50.0,1873.18,2.1936,1.9081,70,102507.75
BEST,3,fractional_kelly,commodities,SIF,2026-03-30,OPEN_EQUALS_HIGH,SHORT,2026-03-30T09:15:00-04:00,71.364998,71.400002,71.209999,71.315002,94.0,,2026-03-30T09:30:00-04:00,70.955002,2026-03-30T09:35:00-04:00,70.825002,71.379271,69.716463,2026-03-30T15:20:00-04:00,69.916463,TARGET,0.271429,0.2,1325,100000.0,1.0,999.41,882.25,6000.0,93843.13,99930.6,300000.0,risk_budget,kelly_warmup_fixed_percent_risk,1203.81,50.0,1153.81,1.2295,1.1545,70,102280.31
BEST,4,fractional_kelly,commodities,SIF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,72.245003,72.269997,72.040001,72.084999,78.0,-1.1020,2026-04-07T09:30:00-04:00,71.940002,2026-04-07T09:35:00-04:00,71.670003,72.259452,70.491105,2026-04-07T10:05:00-04:00,70.691105,TARGET,0.29,0.2,1207,95334.62,1.0,952.86,222.72,5720.08,86505.69,93440.0,286003.86,risk_budget,kelly_warmup_fixed_percent_risk,1181.53,50.0,1131.53,1.308,1.1875,7,96849.6
BEST,5,fractional_kelly,commodities,CLF,2026-03-30,OPEN_EQUALS_LOW,LONG,2026-03-30T09:15:00-04:00,101.290001,101.75,101.199997,101.610001,2620.0,,2026-03-30T09:25:00-04:00,101.769997,2026-03-30T09:30:00-04:00,101.969997,101.269743,103.370504,2026-03-30T12:00:00-04:00,103.170504,TARGET,0.457142,0.2,980,100000.0,1.0,882.25,0.0,6000.0,99930.6,0.0,300000.0,per_trade_allocation,kelly_warmup_fixed_percent_risk,1176.5,50.0,1126.5,1.1273,1.2768,31,101126.5
BEST,6,fractional_kelly,equity,BHARTIARTL_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1815.0,1816.199951,1803.800049,1810.099976,0.0,1.4250,2026-04-01T10:25:00+05:30,1802.800049,2026-04-01T10:30:00+05:30,1802.3,1815.363,1776.174,2026-04-01T15:20:00+05:30,1783.600024,END_OF_DAY,3.371434,0.2,55,100785.68,1.0,729.47,911.52,6047.14,99126.5,188717.4,302357.04,per_trade_allocation,kelly_warmup_fixed_percent_risk,1028.5,50.0,978.5,0.9871,1.3414,59,100752.66
BEST,7,fractional_kelly,equity,RELIANCE_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1355.0,1355.0,1336.400024,1338.699951,0.0,0.4150,2026-04-06T09:20:00+05:30,1331.599976,2026-04-06T09:25:00+05:30,1330.999951,1355.271,1282.457854,2026-04-06T15:20:00+05:30,1306.399951,END_OF_DAY,5.792855,0.2,41,100839.11,1.0,1003.31,1992.58,6050.35,54571.0,112252.25,302517.33,risk_budget,kelly_warmup_fixed_percent_risk,1008.6,50.0,958.6,1.7566,0.9554,72,98507.77
BEST,8,fractional_kelly,commodities,GCF,2026-04-07,OPEN_EQUALS_HIGH,SHORT,2026-04-07T09:15:00-04:00,4682.0,4682.700195,4675.299805,4676.200195,256.0,0.1647,2026-04-07T09:30:00-04:00,4673.0,2026-04-07T09:35:00-04:00,4672.000195,4682.9364,4650.127786,2026-04-07T10:00:00-04:00,4650.327786,TARGET,8.74285,0.2,20,95334.62,1.0,222.72,0.0,5720.08,93440.0,0.0,286003.86,per_trade_allocation,kelly_warmup_fixed_percent_risk,433.45,50.0,383.45,0.4104,1.7216,6,95718.07
BEST,9,fractional_kelly,commodities,GCF,2026-03-31,OPEN_EQUALS_LOW,LONG,2026-03-31T09:15:00-04:00,4610.899902,4616.700195,4610.600098,4613.200195,354.0,1.8353,2026-03-31T09:40:00-04:00,4618.0,2026-03-31T09:45:00-04:00,4618.599902,4609.977722,4635.844262,2026-03-31T09:50:00-04:00,4635.644262,TARGET,9.050119,0.2,22,102280.31,1.0,194.09,0.0,6136.82,101609.2,0.0,306840.93,per_trade_allocation,kelly_warmup_fixed_percent_risk,374.98,50.0,324.98,0.3198,1.6744,2,102605.29
BEST,10,fractional_kelly,equity,HDFCBANK_NS,2026-04-08,OPEN_EQUALS_LOW,LONG,2026-04-08T09:15:00+05:30,798.849976,809.349976,798.849976,807.900024,0.0,3.4646,2026-04-08T09:35:00+05:30,811.349976,2026-04-08T09:40:00+05:30,811.45,798.690206,836.969589,2026-04-08T15:20:00+05:30,816.500012,END_OF_DAY,5.017862,0.2,74,96849.6,1.0,959.02,291.88,5810.98,60047.3,95673.4,290548.8,risk_budget,kelly_warmup_fixed_percent_risk,373.7,50.0,323.7,0.5391,0.3375,69,97445.1
