date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,2,2,0,2380.31,100.0,2280.31,2.2803,102280.31,0.0,0.0
2026-03-31,2,1,1,-334.94,100.0,-434.94,-0.4252,101845.37,-434.94,-0.4252
2026-04-01,7,1,6,-2394.09,350.0,-2744.09,-2.6944,99101.28,-3179.03,-3.1082
2026-04-02,6,2,4,2037.83,300.0,1737.83,1.7536,100839.11,-1441.2,-1.4091
2026-04-06,9,1,8,-5054.49,450.0,-5504.49,-5.4587,95334.62,-6945.69,-6.7908
2026-04-07,2,2,0,1614.98,100.0,1514.98,1.5891,96849.6,-5430.71,-5.3096
2026-04-08,4,3,1,1639.82,200.0,1439.82,1.4867,98289.42,-3990.89,-3.9019
2026-04-09,6,2,4,-2303.65,300.0,-2603.65,-2.649,95685.77,-6594.54,-6.4475
2026-04-10,7,4,3,1140.83,350.0,790.83,0.8265,96476.6,-5803.71,-5.6743
2026-04-13,1,0,1,-699.02,50.0,-749.02,-0.7764,95727.58,-6552.73,-6.4066
2026-04-14,3,2,1,2405.6,150.0,2255.6,2.3563,97983.18,-4297.13,-4.2013
2026-04-15,7,0,7,-4027.36,350.0,-4377.36,-4.4675,93605.82,-8674.49,-8.4811
2026-04-16,7,3,4,103.13,350.0,-246.87,-0.2637,93358.95,-8921.36,-8.7225
2026-04-17,7,3,4,-750.7,350.0,-1100.7,-1.179,92258.25,-10022.06,-9.7986
2026-04-20,7,3,4,-1702.03,350.0,-2052.03,-2.2242,90206.22,-12074.09,-11.8049
2026-04-21,6,0,6,-2456.48,300.0,-2756.48,-3.0558,87449.74,-14830.57,-14.4999
2026-04-22,5,4,1,848.51,250.0,598.51,0.6844,88048.25,-14232.06,-13.9148
2026-04-23,6,1,5,-2388.66,300.0,-2688.66,-3.0536,85359.59,-16920.72,-16.5435
2026-04-24,6,2,4,-1466.37,300.0,-1766.37,-2.0693,83593.22,-18687.09,-18.2705
2026-04-27,9,2,7,-2743.97,450.0,-3193.97,-3.8208,80399.25,-21881.06,-21.3932
2026-04-28,5,0,5,-2835.65,250.0,-3085.65,-3.8379,77313.6,-24966.71,-24.4101
2026-04-29,7,5,2,1343.73,350.0,993.73,1.2853,78307.33,-23972.98,-23.4385
