sizing_method,trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
fractional_kelly,1,2026-03-30T12:00:00-04:00,2026-03-30,commodities,CLF,1126.5,101126.5,0.0,0.0
fractional_kelly,2,2026-03-30T15:20:00-04:00,2026-03-30,commodities,SIF,1153.81,102280.31,0.0,0.0
fractional_kelly,3,2026-03-31T09:50:00-04:00,2026-03-31,commodities,GCF,324.98,102605.29,0.0,0.0
fractional_kelly,4,2026-03-31T10:35:00-04:00,2026-03-31,commodities,CLF,-759.92,101845.37,-759.92,-0.7406
fractional_kelly,5,2026-04-01T10:20:00+05:30,2026-04-01,equity,HDFCBANK_NS,-1059.69,100785.68,-1819.61,-1.7734
fractional_kelly,6,2026-04-01T13:10:00+05:30,2026-04-01,derivatives,CNXAUTO,-576.01,100209.67,-2395.62,-2.3348
fractional_kelly,7,2026-04-01T13:15:00+05:30,2026-04-01,derivatives,NSEI,-435.51,99774.16,-2831.13,-2.7592
fractional_kelly,8,2026-04-01T15:20:00+05:30,2026-04-01,equity,BHARTIARTL_NS,978.5,100752.66,-1852.63,-1.8056
fractional_kelly,9,2026-04-01T15:20:00+05:30,2026-04-01,equity,RELIANCE_NS,-393.1,100359.56,-2245.73,-2.1887
fractional_kelly,10,2026-04-01T09:40:00-04:00,2026-04-01,commodities,SIF,-881.25,99478.31,-3126.98,-3.0476
fractional_kelly,11,2026-04-01T10:00:00-04:00,2026-04-01,commodities,GCF,-377.03,99101.28,-3504.01,-3.415
fractional_kelly,12,2026-04-02T13:35:00+05:30,2026-04-02,equity,SBIN_NS,-341.75,98759.53,-3845.76,-3.7481
fractional_kelly,13,2026-04-02T13:35:00+05:30,2026-04-02,equity,TCS_NS,1875.04,100634.57,-1970.72,-1.9207
fractional_kelly,14,2026-04-02T15:10:00+05:30,2026-04-02,equity,INFY_NS,1873.18,102507.75,-97.54,-0.0951
fractional_kelly,15,2026-04-02T15:20:00+05:30,2026-04-02,equity,RELIANCE_NS,-290.9,102216.85,-388.44,-0.3786
fractional_kelly,16,2026-04-02T09:40:00-04:00,2026-04-02,commodities,CLF,-1072.05,101144.8,-1460.49,-1.4234
fractional_kelly,17,2026-04-02T09:40:00-04:00,2026-04-02,commodities,GCF,-305.69,100839.11,-1766.18,-1.7213
fractional_kelly,18,2026-04-06T11:45:00+05:30,2026-04-06,equity,ICICIBANK_NS,-1049.75,99789.36,-2815.93,-2.7444
fractional_kelly,19,2026-04-06T12:25:00+05:30,2026-04-06,equity,HDFCBANK_NS,-792.15,98997.21,-3608.08,-3.5165
fractional_kelly,20,2026-04-06T13:05:00+05:30,2026-04-06,equity,KOTAKBANK_NS,-1056.04,97941.17,-4664.12,-4.5457
fractional_kelly,21,2026-04-06T15:20:00+05:30,2026-04-06,equity,BHARTIARTL_NS,-392.0,97549.17,-5056.12,-4.9277
fractional_kelly,22,2026-04-06T15:20:00+05:30,2026-04-06,equity,RELIANCE_NS,958.6,98507.77,-4097.52,-3.9935
fractional_kelly,23,2026-04-06T09:25:00-04:00,2026-04-06,commodities,HGF,-1034.76,97473.01,-5132.28,-5.002
fractional_kelly,24,2026-04-06T10:15:00-04:00,2026-04-06,commodities,CLF,-1034.54,96438.47,-6166.82,-6.0102
fractional_kelly,25,2026-04-06T11:30:00-04:00,2026-04-06,commodities,GCF,-224.79,96213.68,-6391.61,-6.2293
fractional_kelly,26,2026-04-06T15:20:00-04:00,2026-04-06,commodities,NGF,-879.06,95334.62,-7270.67,-7.0861
fractional_kelly,27,2026-04-07T10:00:00-04:00,2026-04-07,commodities,GCF,383.45,95718.07,-6887.22,-6.7123
fractional_kelly,28,2026-04-07T10:05:00-04:00,2026-04-07,commodities,SIF,1131.53,96849.6,-5755.69,-5.6095
fractional_kelly,29,2026-04-08T15:20:00+05:30,2026-04-08,derivatives,NSEI,271.8,97121.4,-5483.89,-5.3446
fractional_kelly,30,2026-04-08T15:20:00+05:30,2026-04-08,equity,HDFCBANK_NS,323.7,97445.1,-5160.19,-5.0292
fractional_kelly,31,2026-04-08T15:20:00+05:30,2026-04-08,equity,LT_NS,-258.0,97187.1,-5418.19,-5.2806
