market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,10,2,8,20.0,-4726.74,-472.67,1410.99,-1072.05,0.3493
commodities,GCF,10,2,8,20.0,-1508.89,-150.89,383.45,-513.24,0.3195
commodities,HGF,5,0,5,0.0,-4641.82,-928.36,-847.33,-1034.76,0.0
commodities,NGF,10,0,10,0.0,-9197.11,-919.71,-839.19,-1013.76,0.0
commodities,SIF,15,4,11,26.67,-4521.86,-301.46,1153.81,-991.24,0.4984
derivatives,CNXAUTO,4,2,2,50.0,-266.26,-66.56,580.75,-576.01,0.6908
derivatives,CNXFMCG,4,3,1,75.0,1148.12,287.03,712.45,-174.35,7.5851
derivatives,CNXIT,2,2,0,100.0,389.05,194.52,347.4,41.65,inf
derivatives,NSEBANK,2,1,1,50.0,-3.82,-1.91,253.25,-257.07,0.9851
derivatives,NSEI,3,2,1,66.67,154.55,51.52,318.26,-435.51,1.3549
equity,BHARTIARTL_NS,7,4,3,57.14,1982.42,283.2,1117.29,-392.0,3.4301
equity,HDFCBANK_NS,7,2,5,28.57,-2386.01,-340.86,617.8,-1059.69,0.2829
equity,ICICIBANK_NS,4,2,2,50.0,57.14,14.29,1109.2,-1049.75,1.0436
equity,INFY_NS,7,4,3,57.14,389.64,55.66,1873.18,-1030.66,1.1695
equity,ITC_NS,8,3,5,37.5,-1340.94,-167.62,659.75,-672.0,0.4124
equity,KOTAKBANK_NS,6,2,4,33.33,-390.54,-65.09,758.5,-1056.04,0.7827
equity,LT_NS,5,3,2,60.0,463.0,92.6,384.7,-258.0,2.7808
equity,RELIANCE_NS,8,3,5,37.5,737.51,92.19,958.6,-505.4,1.5964
equity,SBIN_NS,2,0,2,0.0,-476.75,-238.38,-135.0,-341.75,0.0
equity,TCS_NS,2,2,0,100.0,2446.64,1223.32,1875.04,571.6,inf
