rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,slippage_points,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
BEST,1,volatility_adjusted,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.500049,1260.047989,1303.404169,2026-04-02T15:10:00+05:30,1303.204169,TARGET,4.492833,0.2,611,896476.24,1.0,8952.41,0.0,53788.57,778719.53,0.0,2689428.72,risk_budget,fixed_percent_risk,17538.22,328.54,17209.68,2.21,1.9224,70,929511.69
BEST,2,volatility_adjusted,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.2,2380.623878,2451.352245,2026-04-02T13:35:00+05:30,2451.152245,TARGET,7.557094,0.2,372,896476.24,1.0,8844.72,8952.41,53788.57,894362.4,778719.53,2689428.72,per_trade_allocation,fixed_percent_risk,17466.24,369.55,17096.69,1.9116,1.933,51,912302.01
BEST,3,volatility_adjusted,equity,BHARTIARTL_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1815.0,1816.199951,1803.800049,1810.099976,0.0,1.4250,2026-04-01T10:25:00+05:30,1802.800049,2026-04-01T10:30:00+05:30,1802.3,1815.363,1776.174,2026-04-01T15:20:00+05:30,1783.600024,END_OF_DAY,3.371434,0.2,523,943446.9,1.0,6936.55,8948.49,56606.81,942602.9,1861191.58,2830340.7,per_trade_allocation,fixed_percent_risk,9780.09,378.84,9401.25,0.9974,1.3553,59,942747.99
BEST,4,volatility_adjusted,equity,ICICIBANK_NS,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00+05:30,1288.5,1301.400024,1288.5,1301.300049,0.0,0.4757,2026-04-10T09:25:00+05:30,1302.5,2026-04-10T09:30:00+05:30,1303.000049,1288.2423,1332.515546,2026-04-10T15:20:00+05:30,1321.399976,END_OF_DAY,5.271441,0.2,509,762219.17,1.0,7613.49,13540.43,45733.15,663227.02,1363824.05,2286657.51,risk_budget,fixed_percent_risk,9365.56,285.21,9080.35,1.3691,1.1927,71,774783.48
BEST,5,volatility_adjusted,derivatives,CNXFMCG,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00+05:30,48400.550781,48855.101562,48392.800781,48791.300781,0.0,-0.0649,2026-04-17T09:20:00+05:30,48895.101562,2026-04-17T09:25:00+05:30,48897.75,48390.870671,49911.508658,2026-04-17T15:20:00+05:30,49660.199219,END_OF_DAY,94.046596,5.0,12,633907.7,1.0,6142.55,0.0,38034.46,586773.0,0.0,1901723.1,risk_budget,fixed_percent_risk,9149.39,383.83,8765.56,1.4939,1.427,72,642673.26
BEST,6,volatility_adjusted,equity,RELIANCE_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1355.0,1355.0,1336.400024,1338.699951,0.0,0.4150,2026-04-06T09:20:00+05:30,1331.599976,2026-04-06T09:25:00+05:30,1330.999951,1355.271,1282.457854,2026-04-06T15:20:00+05:30,1306.399951,END_OF_DAY,5.792855,0.2,364,892177.54,1.0,8907.46,17824.59,53530.65,484483.98,1006097.41,2676532.62,risk_budget,fixed_percent_risk,8954.4,216.53,8737.87,1.8035,0.981,72,872809.33
BEST,7,volatility_adjusted,equity,BHARTIARTL_NS,2026-04-16,OPEN_EQUALS_HIGH,SHORT,2026-04-16T09:15:00+05:30,1864.300049,1864.300049,1853.099976,1854.199951,0.0,0.5501,2026-04-16T09:35:00+05:30,1853.0,2026-04-16T09:40:00+05:30,1852.899976,1864.672909,1829.354109,2026-04-16T13:00:00+05:30,1829.554109,TARGET,3.700003,0.2,354,656098.04,1.0,4238.42,1790.78,39365.88,655926.59,632352.5,1968294.12,per_trade_allocation,fixed_percent_risk,8264.44,277.56,7986.88,1.2176,1.8844,41,666700.44
BEST,8,volatility_adjusted,equity,RELIANCE_NS,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00+05:30,1341.400024,1351.5,1341.400024,1346.0,0.0,-0.3121,2026-04-17T11:00:00+05:30,1351.900024,2026-04-17T11:05:00+05:30,1351.899951,1341.131744,1373.436365,2026-04-17T15:20:00+05:30,1365.200024,END_OF_DAY,1.414315,0.2,468,633907.7,1.0,5133.12,11939.43,38034.46,632689.18,1220529.6,1901723.1,per_trade_allocation,fixed_percent_risk,6224.43,273.47,5950.96,0.9406,1.1593,52,653854.99
BEST,9,volatility_adjusted,equity,KOTAKBANK_NS,2026-04-17,OPEN_EQUALS_LOW,LONG,2026-04-17T09:15:00+05:30,376.75,379.549988,376.75,378.549988,0.0,-0.4360,2026-04-17T09:20:00+05:30,379.850006,2026-04-17T09:25:00+05:30,379.95,376.67465,386.5007,2026-04-17T15:20:00+05:30,383.250012,END_OF_DAY,1.003573,0.2,1668,633907.7,1.0,5796.88,6142.55,38034.46,633756.6,586773.0,1901723.1,per_trade_allocation,fixed_percent_risk,5504.42,273.65,5230.77,0.8254,0.9023,72,647904.03
BEST,10,volatility_adjusted,equity,HDFCBANK_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,814.900024,814.900024,808.75,810.0,0.0,-0.2204,2026-04-09T09:30:00+05:30,806.0,2026-04-09T09:35:00+05:30,806.05,815.063004,788.023991,2026-04-09T15:20:00+05:30,799.749988,END_OF_DAY,2.407139,0.2,870,802245.2,1.0,8015.31,8020.95,48134.71,701263.5,772947.92,2406735.6,risk_budget,fixed_percent_risk,5481.01,294.44,5186.57,0.7396,0.6471,70,797389.13
WORST,1,volatility_adjusted,commodities,SIF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,74.995003,75.150002,74.974998,75.110001,206.0,-0.4711,2026-04-01T09:25:00-04:00,75.220001,2026-04-01T09:30:00-04:00,75.405002,74.980004,76.254998,2026-04-01T09:40:00-04:00,74.780004,STOP_LOSS,0.318213,0.2,12454,939159.0,1.0,7783.73,0.0,56349.54,939093.89,0.0,2817477.0,per_trade_allocation,fixed_percent_risk,-7783.73,16094.06,-23877.79,-2.5426,-3.0677,3,915281.21
WORST,2,volatility_adjusted,commodities,CLF,2026-03-31,OPEN_EQUALS_HIGH,SHORT,2026-03-31T09:15:00-04:00,103.169998,103.269997,102.93,103.029999,1598.0,-0.7504,2026-03-31T09:45:00-04:00,102.870003,2026-03-31T09:50:00-04:00,102.679997,103.190632,101.658727,2026-03-31T10:35:00-04:00,103.390632,STOP_LOSS,0.445,0.2,9514,976955.2,1.0,6760.98,0.0,58617.31,976897.49,0.0,2930865.6,per_trade_allocation,fixed_percent_risk,-6760.98,16927.18,-23688.16,-2.4248,-3.5037,10,953267.04
WORST,3,volatility_adjusted,commodities,CLF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,111.330002,111.889999,111.25,111.870003,2377.0,0.0090,2026-04-06T09:20:00-04:00,112.239998,2026-04-06T09:25:00-04:00,112.439998,111.307736,114.704522,2026-04-06T10:15:00-04:00,111.107736,STOP_LOSS,0.505715,0.2,6551,872809.33,1.0,8727.65,0.0,52368.56,736594.43,0.0,2618427.99,risk_budget,fixed_percent_risk,-8727.65,12600.8,-21328.45,-2.8955,-2.4438,11,840676.46
WORST,4,volatility_adjusted,commodities,SIF,2026-04-10,OPEN_EQUALS_LOW,LONG,2026-04-10T09:15:00-04:00,76.235001,76.43,76.18,76.315002,298.0,0.3158,2026-04-10T09:20:00-04:00,76.440002,2026-04-10T09:25:00-04:00,76.664996,76.219754,77.555482,2026-04-10T09:40:00-04:00,76.019754,STOP_LOSS,0.241785,0.2,10181,780558.13,1.0,6569.22,0.0,46833.49,780526.32,0.0,2341674.39,per_trade_allocation,fixed_percent_risk,-6569.22,13383.26,-19952.48,-2.5563,-3.0373,4,760605.65
WORST,5,volatility_adjusted,commodities,SIF,2026-04-09,OPEN_EQUALS_LOW,LONG,2026-04-09T09:15:00-04:00,74.565002,74.654999,74.550003,74.605003,133.0,0.4648,2026-04-09T09:20:00-04:00,74.669998,2026-04-09T09:25:00-04:00,74.899997,74.550089,75.599812,2026-04-09T10:30:00-04:00,74.350089,STOP_LOSS,0.18,0.2,10576,792179.9,1.0,5815.82,0.0,47530.79,792142.37,0.0,2376539.7,per_trade_allocation,fixed_percent_risk,-5815.82,13592.46,-19408.28,-2.4501,-3.3372,14,772771.62
WORST,6,volatility_adjusted,commodities,CLF,2026-04-15,OPEN_EQUALS_HIGH,SHORT,2026-04-15T09:15:00-04:00,91.43,91.440002,91.129997,91.309998,1343.0,-0.2944,2026-04-15T09:25:00-04:00,90.959999,2026-04-15T09:30:00-04:00,90.740002,91.448286,89.323435,2026-04-15T09:55:00-04:00,91.648286,STOP_LOSS,0.417858,0.2,7703,699672.12,1.0,6996.51,0.0,41980.33,698970.24,0.0,2099016.36,risk_budget,fixed_percent_risk,-6996.51,12152.02,-19148.53,-2.7395,-2.7369,6,680523.59
