date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,2,0,2,23816.68,33423.59,-9606.91,-0.9607,990393.09,-9606.91,-0.9607
2026-03-31,2,0,2,-3113.49,34012.56,-37126.05,-3.7486,953267.04,-46732.96,-4.6733
2026-04-01,7,1,6,-22811.18,33979.62,-56790.8,-5.9575,896476.24,-103523.76,-10.3524
2026-04-02,7,2,5,21202.76,25501.46,-4298.7,-0.4795,892177.54,-107822.46,-10.7822
2026-04-06,9,1,8,-44530.67,31445.81,-75976.48,-8.5158,816201.06,-183798.94,-18.3799
2026-04-07,2,0,2,13890.85,26633.26,-12742.41,-1.5612,803458.65,-196541.35,-19.6541
2026-04-08,4,2,2,13473.61,14687.06,-1213.45,-0.151,802245.2,-197754.8,-19.7755
2026-04-09,7,2,5,-21704.0,15676.74,-37380.74,-4.6595,764864.46,-235135.54,-23.5136
2026-04-10,8,5,3,9510.91,27918.25,-18407.34,-2.4066,746457.12,-253542.88,-25.3543
2026-04-13,1,0,1,-5409.24,12947.67,-18356.91,-2.4592,728100.21,-271899.79,-27.19
2026-04-14,3,1,2,17899.55,33977.89,-16078.34,-2.2083,712021.87,-287978.13,-28.7978
2026-04-15,7,1,6,-30027.48,25896.35,-55923.83,-7.8542,656098.04,-343901.96,-34.3902
2026-04-16,7,3,4,2149.85,24340.19,-22190.34,-3.3822,633907.7,-366092.3,-36.6092
2026-04-17,7,3,4,929.84,26497.71,-25567.87,-4.0334,608339.83,-391660.17,-39.166
2026-04-20,7,3,4,-11197.18,13584.51,-24781.69,-4.0737,583558.14,-416441.86,-41.6442
2026-04-21,7,1,6,-14838.5,1894.2,-16732.7,-2.8674,566825.44,-433174.56,-43.3175
2026-04-22,5,4,1,5740.76,10701.75,-4960.99,-0.8752,561864.45,-438135.55,-43.8136
2026-04-23,6,1,5,-14683.72,21048.02,-35731.74,-6.3595,526132.71,-473867.29,-47.3867
2026-04-24,6,2,4,-8115.44,10559.25,-18674.69,-3.5494,507458.02,-492541.98,-49.2542
2026-04-27,9,3,6,-16817.45,19955.61,-36773.06,-7.2465,470684.96,-529315.04,-52.9315
2026-04-28,5,0,5,-16301.94,8909.45,-25211.39,-5.3563,445473.57,-554526.43,-55.4526
2026-04-29,5,4,1,8836.71,975.58,7861.13,1.7647,453334.7,-546665.3,-54.6665
