sizing_method,trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
fixed_fractional,1,2026-03-30T12:00:00-04:00,2026-03-30,commodities,CLF,-5613.89,994386.11,-5613.89,-0.5614
fixed_fractional,2,2026-03-30T15:20:00-04:00,2026-03-30,commodities,SIF,-3993.02,990393.09,-9606.91,-0.9607
fixed_fractional,3,2026-03-31T09:50:00-04:00,2026-03-31,commodities,GCF,-13437.89,976955.2,-23044.8,-2.3045
fixed_fractional,4,2026-03-31T10:35:00-04:00,2026-03-31,commodities,CLF,-23688.16,953267.04,-46732.96,-4.6733
fixed_fractional,5,2026-04-01T10:20:00+05:30,2026-04-01,equity,HDFCBANK_NS,-9820.14,943446.9,-56553.1,-5.6553
fixed_fractional,6,2026-04-01T13:10:00+05:30,2026-04-01,derivatives,CNXAUTO,-5570.96,937875.94,-62124.06,-6.2124
fixed_fractional,7,2026-04-01T13:15:00+05:30,2026-04-01,derivatives,NSEI,-4529.2,933346.74,-66653.26,-6.6653
fixed_fractional,8,2026-04-01T15:20:00+05:30,2026-04-01,equity,BHARTIARTL_NS,9401.25,942747.99,-57252.01,-5.7252
fixed_fractional,9,2026-04-01T15:20:00+05:30,2026-04-01,equity,RELIANCE_NS,-3588.99,939159.0,-60841.0,-6.0841
fixed_fractional,10,2026-04-01T09:40:00-04:00,2026-04-01,commodities,SIF,-23877.79,915281.21,-84718.79,-8.4719
fixed_fractional,11,2026-04-01T10:00:00-04:00,2026-04-01,commodities,GCF,-18804.97,896476.24,-103523.76,-10.3524
fixed_fractional,12,2026-04-02T13:00:00+05:30,2026-04-02,derivatives,NSEI,-1065.86,895410.38,-104589.62,-10.459
fixed_fractional,13,2026-04-02T13:35:00+05:30,2026-04-02,equity,SBIN_NS,-205.06,895205.32,-104794.68,-10.4795
fixed_fractional,14,2026-04-02T13:35:00+05:30,2026-04-02,equity,TCS_NS,17096.69,912302.01,-87697.99,-8.7698
fixed_fractional,15,2026-04-02T15:10:00+05:30,2026-04-02,equity,INFY_NS,17209.68,929511.69,-70488.31,-7.0488
fixed_fractional,16,2026-04-02T15:20:00+05:30,2026-04-02,equity,RELIANCE_NS,-2560.01,926951.68,-73048.32,-7.3048
fixed_fractional,17,2026-04-02T09:40:00-04:00,2026-04-02,commodities,CLF,-18838.02,908113.66,-91886.34,-9.1886
fixed_fractional,18,2026-04-02T09:40:00-04:00,2026-04-02,commodities,GCF,-18238.45,889875.21,-110124.79,-11.0125
fixed_fractional,19,2026-04-06T11:45:00+05:30,2026-04-06,equity,ICICIBANK_NS,-9243.31,880631.9,-119368.1,-11.9368
fixed_fractional,20,2026-04-06T12:25:00+05:30,2026-04-06,equity,HDFCBANK_NS,-6360.86,874271.04,-125728.96,-12.5729
fixed_fractional,21,2026-04-06T13:05:00+05:30,2026-04-06,equity,KOTAKBANK_NS,-9085.33,865185.71,-134814.29,-13.4814
fixed_fractional,22,2026-04-06T15:20:00+05:30,2026-04-06,equity,BHARTIARTL_NS,-3342.45,861843.26,-138156.74,-13.8157
fixed_fractional,23,2026-04-06T15:20:00+05:30,2026-04-06,equity,RELIANCE_NS,8713.74,870557.0,-129443.0,-12.9443
fixed_fractional,24,2026-04-06T09:25:00-04:00,2026-04-06,commodities,HGF,-10776.69,859780.31,-140219.69,-14.022
fixed_fractional,25,2026-04-06T10:15:00-04:00,2026-04-06,commodities,CLF,-21273.22,838507.09,-161492.91,-16.1493
fixed_fractional,26,2026-04-06T11:30:00-04:00,2026-04-06,commodities,GCF,-15965.74,822541.35,-177458.65,-17.7459
fixed_fractional,27,2026-04-06T15:20:00-04:00,2026-04-06,commodities,NGF,-8398.46,814142.89,-185857.11,-18.5857
fixed_fractional,28,2026-04-07T10:00:00-04:00,2026-04-07,commodities,GCF,-10204.56,803938.33,-196061.67,-19.6062
fixed_fractional,29,2026-04-07T10:05:00-04:00,2026-04-07,commodities,SIF,-2531.59,801406.74,-198593.26,-19.8593
fixed_fractional,30,2026-04-08T15:20:00+05:30,2026-04-08,derivatives,NSEI,2159.91,803566.65,-196433.35,-19.6433
fixed_fractional,31,2026-04-08T15:20:00+05:30,2026-04-08,equity,HDFCBANK_NS,2894.88,806461.53,-193538.47,-19.3538
fixed_fractional,32,2026-04-08T15:20:00+05:30,2026-04-08,equity,LT_NS,-2047.4,804414.13,-195585.87,-19.5586
