sizing_method,trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
volatility_adjusted,1,2026-03-30T12:00:00-04:00,2026-03-30,commodities,CLF,-5613.89,994386.11,-5613.89,-0.5614
volatility_adjusted,2,2026-03-30T15:20:00-04:00,2026-03-30,commodities,SIF,-3993.02,990393.09,-9606.91,-0.9607
volatility_adjusted,3,2026-03-31T09:50:00-04:00,2026-03-31,commodities,GCF,-13437.89,976955.2,-23044.8,-2.3045
volatility_adjusted,4,2026-03-31T10:35:00-04:00,2026-03-31,commodities,CLF,-23688.16,953267.04,-46732.96,-4.6733
volatility_adjusted,5,2026-04-01T10:20:00+05:30,2026-04-01,equity,HDFCBANK_NS,-9820.14,943446.9,-56553.1,-5.6553
volatility_adjusted,6,2026-04-01T13:10:00+05:30,2026-04-01,derivatives,CNXAUTO,-5570.96,937875.94,-62124.06,-6.2124
volatility_adjusted,7,2026-04-01T13:15:00+05:30,2026-04-01,derivatives,NSEI,-4529.2,933346.74,-66653.26,-6.6653
volatility_adjusted,8,2026-04-01T15:20:00+05:30,2026-04-01,equity,BHARTIARTL_NS,9401.25,942747.99,-57252.01,-5.7252
volatility_adjusted,9,2026-04-01T15:20:00+05:30,2026-04-01,equity,RELIANCE_NS,-3588.99,939159.0,-60841.0,-6.0841
volatility_adjusted,10,2026-04-01T09:40:00-04:00,2026-04-01,commodities,SIF,-23877.79,915281.21,-84718.79,-8.4719
volatility_adjusted,11,2026-04-01T10:00:00-04:00,2026-04-01,commodities,GCF,-18804.97,896476.24,-103523.76,-10.3524
volatility_adjusted,12,2026-04-02T13:00:00+05:30,2026-04-02,derivatives,NSEI,-1065.86,895410.38,-104589.62,-10.459
volatility_adjusted,13,2026-04-02T13:35:00+05:30,2026-04-02,equity,SBIN_NS,-205.06,895205.32,-104794.68,-10.4795
volatility_adjusted,14,2026-04-02T13:35:00+05:30,2026-04-02,equity,TCS_NS,17096.69,912302.01,-87697.99,-8.7698
volatility_adjusted,15,2026-04-02T15:10:00+05:30,2026-04-02,equity,INFY_NS,17209.68,929511.69,-70488.31,-7.0488
volatility_adjusted,16,2026-04-02T15:20:00+05:30,2026-04-02,equity,RELIANCE_NS,-2560.01,926951.68,-73048.32,-7.3048
volatility_adjusted,17,2026-04-02T09:40:00-04:00,2026-04-02,commodities,CLF,-16535.69,910415.99,-89584.01,-8.9584
volatility_adjusted,18,2026-04-02T09:40:00-04:00,2026-04-02,commodities,GCF,-18238.45,892177.54,-107822.46,-10.7822
volatility_adjusted,19,2026-04-06T11:45:00+05:30,2026-04-06,equity,ICICIBANK_NS,-9268.85,882908.69,-117091.31,-11.7091
volatility_adjusted,20,2026-04-06T12:25:00+05:30,2026-04-06,equity,HDFCBANK_NS,-6375.68,876533.01,-123466.99,-12.3467
volatility_adjusted,21,2026-04-06T13:05:00+05:30,2026-04-06,equity,KOTAKBANK_NS,-9109.47,867423.54,-132576.46,-13.2576
volatility_adjusted,22,2026-04-06T15:20:00+05:30,2026-04-06,equity,BHARTIARTL_NS,-3352.08,864071.46,-135928.54,-13.5929
volatility_adjusted,23,2026-04-06T15:20:00+05:30,2026-04-06,equity,RELIANCE_NS,8737.87,872809.33,-127190.67,-12.7191
volatility_adjusted,24,2026-04-06T09:25:00-04:00,2026-04-06,commodities,HGF,-10804.42,862004.91,-137995.09,-13.7995
volatility_adjusted,25,2026-04-06T10:15:00-04:00,2026-04-06,commodities,CLF,-21328.45,840676.46,-159323.54,-15.9324
volatility_adjusted,26,2026-04-06T11:30:00-04:00,2026-04-06,commodities,GCF,-16055.18,824621.28,-175378.72,-17.5379
volatility_adjusted,27,2026-04-06T15:20:00-04:00,2026-04-06,commodities,NGF,-8420.22,816201.06,-183798.94,-18.3799
volatility_adjusted,28,2026-04-07T10:00:00-04:00,2026-04-07,commodities,GCF,-10204.56,805996.5,-194003.5,-19.4003
volatility_adjusted,29,2026-04-07T10:05:00-04:00,2026-04-07,commodities,SIF,-2537.85,803458.65,-196541.35,-19.6541
volatility_adjusted,30,2026-04-08T15:20:00+05:30,2026-04-08,derivatives,NSEI,2159.91,805618.56,-194381.44,-19.4381
volatility_adjusted,31,2026-04-08T15:20:00+05:30,2026-04-08,equity,HDFCBANK_NS,2899.64,808518.2,-191481.8,-19.1482
volatility_adjusted,32,2026-04-08T15:20:00+05:30,2026-04-08,equity,LT_NS,-2047.4,806470.8,-193529.2,-19.3529
volatility_adjusted,33,2026-04-08T10:30:00-04:00,2026-04-08,commodities,SIF,-4225.6,802245.2,-197754.8,-19.7755
volatility_adjusted,34,2026-04-09T10:30:00+05:30,2026-04-09,derivatives,NSEBANK,-1736.4,800508.8,-199491.2,-19.9491
volatility_adjusted,35,2026-04-09T12:55:00+05:30,2026-04-09,equity,INFY_NS,-8306.24,792202.56,-207797.44,-20.7797
volatility_adjusted,36,2026-04-09T15:20:00+05:30,2026-04-09,equity,HDFCBANK_NS,5186.57,797389.13,-202610.87,-20.2611
volatility_adjusted,37,2026-04-09T15:20:00+05:30,2026-04-09,equity,ITC_NS,-5396.01,791993.12,-208006.88,-20.8007
volatility_adjusted,38,2026-04-09T15:20:00+05:30,2026-04-09,equity,RELIANCE_NS,186.78,792179.9,-207820.1,-20.782
volatility_adjusted,39,2026-04-09T10:30:00-04:00,2026-04-09,commodities,SIF,-19408.28,772771.62,-227228.38,-22.7228
volatility_adjusted,40,2026-04-09T15:20:00-04:00,2026-04-09,commodities,NGF,-7907.16,764864.46,-235135.54,-23.5136
volatility_adjusted,41,2026-04-10T09:25:00+05:30,2026-04-10,equity,BHARTIARTL_NS,-2645.29,762219.17,-237780.83,-23.7781
volatility_adjusted,42,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,NSEBANK,3483.96,765703.13,-234296.87,-23.4297
volatility_adjusted,43,2026-04-10T15:20:00+05:30,2026-04-10,equity,ICICIBANK_NS,9080.35,774783.48,-225216.52,-22.5217
volatility_adjusted,44,2026-04-10T15:20:00+05:30,2026-04-10,equity,INFY_NS,4745.35,779528.83,-220471.17,-22.0471
volatility_adjusted,45,2026-04-10T15:20:00+05:30,2026-04-10,equity,LT_NS,1025.09,780553.92,-219446.08,-21.9446
volatility_adjusted,46,2026-04-10T15:20:00+05:30,2026-04-10,equity,TCS_NS,4.21,780558.13,-219441.87,-21.9442
volatility_adjusted,47,2026-04-10T09:40:00-04:00,2026-04-10,commodities,SIF,-19952.48,760605.65,-239394.35,-23.9394
volatility_adjusted,48,2026-04-10T15:20:00-04:00,2026-04-10,commodities,GCF,-14148.53,746457.12,-253542.88,-25.3543
volatility_adjusted,49,2026-04-13T10:55:00-04:00,2026-04-13,commodities,SIF,-18356.91,728100.21,-271899.79,-27.19
volatility_adjusted,50,2026-04-14T09:30:00-04:00,2026-04-14,commodities,GCF,-14194.54,713905.67,-286094.33,-28.6094
volatility_adjusted,51,2026-04-14T10:05:00-04:00,2026-04-14,commodities,CLF,1903.11,715808.78,-284191.22,-28.4191
volatility_adjusted,52,2026-04-14T13:40:00-04:00,2026-04-14,commodities,SIF,-3786.91,712021.87,-287978.13,-28.7978
volatility_adjusted,53,2026-04-15T11:35:00+05:30,2026-04-15,equity,INFY_NS,-7345.56,704676.31,-295323.69,-29.5324
volatility_adjusted,54,2026-04-15T15:20:00+05:30,2026-04-15,derivatives,CNXFMCG,-2170.55,702505.76,-297494.24,-29.7494
volatility_adjusted,55,2026-04-15T15:20:00+05:30,2026-04-15,equity,ITC_NS,-2882.85,699622.91,-300377.09,-30.0377
volatility_adjusted,56,2026-04-15T15:20:00+05:30,2026-04-15,equity,LT_NS,49.21,699672.12,-300327.88,-30.0328
volatility_adjusted,57,2026-04-15T09:55:00-04:00,2026-04-15,commodities,CLF,-19148.53,680523.59,-319476.41,-31.9476
volatility_adjusted,58,2026-04-15T10:35:00-04:00,2026-04-15,commodities,NGF,-7810.32,672713.27,-327286.73,-32.7287
volatility_adjusted,59,2026-04-15T11:35:00-04:00,2026-04-15,commodities,SIF,-16615.23,656098.04,-343901.96,-34.3902
volatility_adjusted,60,2026-04-16T11:10:00+05:30,2026-04-16,equity,ITC_NS,-172.87,655925.17,-344074.83,-34.4075
volatility_adjusted,61,2026-04-16T12:00:00+05:30,2026-04-16,derivatives,NSEI,2788.39,658713.56,-341286.44,-34.1286
volatility_adjusted,62,2026-04-16T13:00:00+05:30,2026-04-16,equity,BHARTIARTL_NS,7986.88,666700.44,-333299.56,-33.33
volatility_adjusted,63,2026-04-16T15:20:00+05:30,2026-04-16,equity,KOTAKBANK_NS,4639.71,671340.15,-328659.85,-32.866
volatility_adjusted,64,2026-04-16T15:20:00+05:30,2026-04-16,equity,RELIANCE_NS,-3507.86,667832.29,-332167.71,-33.2168
volatility_adjusted,65,2026-04-16T09:35:00-04:00,2026-04-16,commodities,CLF,-17683.51,650148.78,-349851.22,-34.9851
volatility_adjusted,66,2026-04-16T09:45:00-04:00,2026-04-16,commodities,SIF,-16241.08,633907.7,-366092.3,-36.6092
volatility_adjusted,67,2026-04-17T15:20:00+05:30,2026-04-17,derivatives,CNXFMCG,8765.56,642673.26,-357326.74,-35.7327
volatility_adjusted,68,2026-04-17T15:20:00+05:30,2026-04-17,equity,KOTAKBANK_NS,5230.77,647904.03,-352095.97,-35.2096
volatility_adjusted,69,2026-04-17T15:20:00+05:30,2026-04-17,equity,RELIANCE_NS,5950.96,653854.99,-346145.01,-34.6145
volatility_adjusted,70,2026-04-17T10:00:00-04:00,2026-04-17,commodities,GCF,-14496.14,639358.85,-360641.15,-36.0641
volatility_adjusted,71,2026-04-17T10:15:00-04:00,2026-04-17,commodities,CLF,-8665.43,630693.42,-369306.58,-36.9307
volatility_adjusted,72,2026-04-17T14:25:00-04:00,2026-04-17,commodities,SIF,-15612.06,615081.36,-384918.64,-38.4919
volatility_adjusted,73,2026-04-17T15:20:00-04:00,2026-04-17,commodities,NGF,-6741.53,608339.83,-391660.17,-39.166
volatility_adjusted,74,2026-04-20T15:20:00+05:30,2026-04-20,equity,BHARTIARTL_NS,2624.77,610964.6,-389035.4,-38.9035
volatility_adjusted,75,2026-04-20T15:20:00+05:30,2026-04-20,equity,INFY_NS,1080.16,612044.76,-387955.24,-38.7955
volatility_adjusted,76,2026-04-20T15:20:00+05:30,2026-04-20,equity,ITC_NS,434.77,612479.53,-387520.47,-38.752
volatility_adjusted,77,2026-04-20T15:20:00+05:30,2026-04-20,equity,KOTAKBANK_NS,-1.52,612478.01,-387521.99,-38.7522
volatility_adjusted,78,2026-04-20T10:00:00-04:00,2026-04-20,commodities,NGF,-6855.85,605622.16,-394377.84,-39.4378
volatility_adjusted,79,2026-04-20T10:20:00-04:00,2026-04-20,commodities,SIF,-14382.19,591239.97,-408760.03,-40.876
volatility_adjusted,80,2026-04-20T10:50:00-04:00,2026-04-20,commodities,HGF,-7681.83,583558.14,-416441.86,-41.6442
volatility_adjusted,81,2026-04-21T09:50:00+05:30,2026-04-21,equity,ITC_NS,-2753.49,580804.65,-419195.35,-41.9195
volatility_adjusted,82,2026-04-21T12:05:00+05:30,2026-04-21,equity,HDFCBANK_NS,-4839.49,575965.16,-424034.84,-42.4035
volatility_adjusted,83,2026-04-21T12:05:00+05:30,2026-04-21,equity,ICICIBANK_NS,-380.12,575585.04,-424414.96,-42.4415
volatility_adjusted,84,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,CNXAUTO,-2009.8,573575.24,-426424.76,-42.6425
volatility_adjusted,85,2026-04-21T15:20:00+05:30,2026-04-21,derivatives,NSEI,134.19,573709.43,-426290.57,-42.6291
