market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,4,0,4,0.0,-69413.29,-17353.32,-5613.89,-23688.16,0.0
commodities,GCF,5,0,5,0.0,-76651.61,-15330.32,-10204.56,-18804.97,0.0
commodities,HGF,1,0,1,0.0,-10776.69,-10776.69,-10776.69,-10776.69,0.0
commodities,NGF,1,0,1,0.0,-8398.46,-8398.46,-8398.46,-8398.46,0.0
commodities,SIF,3,0,3,0.0,-30402.4,-10134.13,-2531.59,-23877.79,0.0
derivatives,CNXAUTO,1,0,1,0.0,-5570.96,-5570.96,-5570.96,-5570.96,0.0
derivatives,NSEI,3,1,2,33.33,-3435.15,-1145.05,2159.91,-4529.2,0.386
equity,BHARTIARTL_NS,2,1,1,50.0,6058.8,3029.4,9401.25,-3342.45,2.8127
equity,HDFCBANK_NS,3,1,2,33.33,-13286.12,-4428.71,2894.88,-9820.14,0.1789
equity,ICICIBANK_NS,1,0,1,0.0,-9243.31,-9243.31,-9243.31,-9243.31,0.0
equity,INFY_NS,1,1,0,100.0,17209.68,17209.68,17209.68,17209.68,inf
equity,KOTAKBANK_NS,1,0,1,0.0,-9085.33,-9085.33,-9085.33,-9085.33,0.0
equity,LT_NS,1,0,1,0.0,-2047.4,-2047.4,-2047.4,-2047.4,0.0
equity,RELIANCE_NS,3,1,2,33.33,2564.74,854.91,8713.74,-3588.99,1.4171
equity,SBIN_NS,1,0,1,0.0,-205.06,-205.06,-205.06,-205.06,0.0
equity,TCS_NS,1,1,0,100.0,17096.69,17096.69,17096.69,17096.69,inf
