rank_type,rank,variant,market,instrument,session_date,signal,scope,structure_tag,direction,signal_time,entry_time,entry_price,pivot_level,pivot_time,stop_price,stop_source,target_price,risk_reward,atr_at_signal,order_block_high,order_block_low,order_block_time,quantity,notional,position_risk_amount,slippage_points,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
BEST,1,combined_all,equity,RELIANCE_NS,2026-04-27,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-27T09:50:00+05:30,2026-04-27T09:55:00+05:30,1337.000049,1330.300049,2026-04-24T14:30:00+05:30,1323.935111,order_block_low,1363.129924,2.0,4.528573,1325.900024,1324.199951,2026-04-27T09:40:00+05:30,74,98938.0,981.61,0.2,60,2026-04-27T14:50:00+05:30,1362.929924,TARGET,1918.81,50.0,1868.81,1.8889,1.9038
BEST,2,combined_all,equity,HDFCBANK_NS,2026-04-02,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-02T11:55:00+05:30,2026-04-02T12:00:00+05:30,735.95,734.25,2026-04-02T09:35:00+05:30,728.754244,order_block_low,750.341511,2.0,1.33214,730.5,728.900024,2026-04-02T10:40:00+05:30,135,99353.25,998.43,0.2,38,2026-04-02T15:05:00+05:30,750.141511,TARGET,1915.85,50.0,1865.85,1.878,1.8688
BEST,3,combined_all,derivatives,CNXIT,2026-04-02,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-02T10:55:00+05:30,2026-04-02T11:00:00+05:30,29699.599609,29662.949219,2026-04-02T09:25:00+05:30,29397.218989,order_block_low,30304.360849,2.0,69.832171,29502.800781,29403.099609,2026-04-02T10:00:00+05:30,3,89098.8,922.14,5.0,33,2026-04-02T13:40:00+05:30,30299.360849,TARGET,1799.28,50.0,1749.28,1.9633,1.897
BEST,4,combined_all,equity,HDFCBANK_NS,2026-04-09,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-09T09:15:00+05:30,2026-04-09T09:20:00+05:30,809.8,810.200012,2026-04-08T13:50:00+05:30,817.1634,order_block_high,795.0732,2.0,1.835715,817.0,815.75,2026-04-08T15:05:00+05:30,123,99605.4,930.3,0.2,63,2026-04-09T14:30:00+05:30,795.2732,TARGET,1786.8,50.0,1736.8,1.7437,1.8669
BEST,5,combined_all,equity,KOTAKBANK_NS,2026-04-06,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-06T12:05:00+05:30,2026-04-06T12:10:00+05:30,354.300006,353.700012,2026-04-06T10:20:00+05:30,351.129772,order_block_low,360.640474,2.0,0.714292,351.899994,351.200012,2026-04-06T11:10:00+05:30,282,99912.6,950.41,0.2,37,2026-04-06T15:10:00+05:30,360.440474,TARGET,1731.61,50.0,1681.61,1.6831,1.7694
BEST,6,combined_all,equity,ICICIBANK_NS,2026-04-06,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-06T11:40:00+05:30,2026-04-06T11:45:00+05:30,1213.000049,1212.099976,2026-04-06T09:35:00+05:30,1202.359456,order_block_low,1234.281235,2.0,2.364284,1205.699951,1202.599976,2026-04-06T09:50:00+05:30,82,99466.0,888.93,0.2,43,2026-04-06T15:15:00+05:30,1234.081235,TARGET,1728.66,50.0,1678.66,1.6877,1.8884
BEST,7,combined_all,equity,LT_NS,2026-04-06,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-06T11:45:00+05:30,2026-04-06T11:50:00+05:30,3618.2,3617.899902,2026-04-06T10:50:00+05:30,3586.682422,order_block_low,3681.235155,2.0,8.728551,3595.5,3587.399902,2026-04-06T11:10:00+05:30,27,97691.4,856.37,0.2,17,2026-04-06T13:10:00+05:30,3681.035155,TARGET,1696.55,50.0,1646.55,1.6855,1.9227
BEST,8,combined_all,equity,TCS_NS,2026-04-24,SWING_BEARISH_BOS,swing,BOS,SHORT,2026-04-24T09:15:00+05:30,2026-04-24T09:20:00+05:30,2502.199902,2504.0,2026-04-22T12:25:00+05:30,2560.0119,order_block_high,2386.575907,2.0,5.449951,2559.5,2552.899902,2026-04-23T11:05:00+05:30,17,42537.4,986.2,0.2,66,2026-04-24T14:50:00+05:30,2403.000049,OPPOSITE_STRUCTURE,1686.4,50.0,1636.4,3.847,1.6593
BEST,9,combined_all,equity,LT_NS,2026-04-09,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-09T09:15:00+05:30,2026-04-09T09:20:00+05:30,3969.499951,3993.800049,2026-04-08T14:10:00+05:30,4014.702682,order_block_high,3879.094489,2.0,10.885707,4013.899902,4008.100098,2026-04-08T15:20:00+05:30,22,87329.0,998.86,0.2,73,2026-04-09T15:20:00+05:30,3893.2,SESSION_END,1678.6,50.0,1628.6,1.8649,1.6305
BEST,10,combined_all,commodities,CLF,2026-04-13,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-13T12:20:00-04:00,2026-04-13T12:25:00-04:00,101.789998,102.110001,2026-04-13T11:15:00-04:00,103.21064,order_block_high,98.948713,2.0,0.480001,103.190002,102.650002,2026-04-13T11:40:00-04:00,617,62804.43,999.94,0.2,15,2026-04-13T13:35:00-04:00,99.148713,TARGET,1629.67,50.0,1579.67,2.5152,1.5798
WORST,1,combined_all,commodities,HGF,2026-04-08,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-08T10:50:00-04:00,2026-04-08T10:55:00-04:00,5.5435,5.7445,2026-04-08T09:35:00-04:00,5.778656,order_block_high,5.073189,2.0,0.013214,5.7775,5.7645,2026-04-08T10:10:00-04:00,2298,12738.96,999.99,0.2,25,2026-04-08T12:55:00-04:00,5.978656,STOP_LOSS,-999.99,50.0,-1049.99,-8.2423,-1.05
WORST,2,combined_all,commodities,HGF,2026-04-13,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-13T12:00:00-04:00,2026-04-13T12:05:00-04:00,5.756,5.958,2026-04-13T11:20:00-04:00,5.976695,order_block_high,5.314609,2.0,0.010107,5.9755,5.9635,2026-04-13T11:45:00-04:00,2377,13682.01,999.99,0.2,5,2026-04-13T12:25:00-04:00,6.176695,STOP_LOSS,-999.99,50.0,-1049.99,-7.6743,-1.05
WORST,3,combined_all,commodities,HGF,2026-04-23,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-23T12:50:00-04:00,2026-04-23T12:55:00-04:00,6.2825,6.082,2026-04-23T12:00:00-04:00,6.069286,order_block_low,6.708928,2.0,0.005036,6.0775,6.0705,2026-04-23T12:30:00-04:00,2420,15203.65,999.98,0.2,3,2026-04-23T13:05:00-04:00,5.869286,STOP_LOSS,-999.98,50.0,-1049.98,-6.9061,-1.05
WORST,4,combined_all,commodities,HGF,2026-04-14,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-14T11:10:00-04:00,2026-04-14T11:15:00-04:00,5.8695,6.073,2026-04-14T10:10:00-04:00,6.093218,order_block_high,5.422063,2.0,0.009321,6.092,6.083,2026-04-14T10:30:00-04:00,2360,13852.02,999.98,0.2,6,2026-04-14T11:40:00-04:00,6.293218,STOP_LOSS,-999.97,50.0,-1049.97,-7.5799,-1.05
WORST,5,combined_all,commodities,NGF,2026-04-07,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-07T12:55:00-04:00,2026-04-07T13:00:00-04:00,3.072,2.87,2026-04-07T12:20:00-04:00,2.857428,order_block_low,3.501143,2.0,0.007929,2.87,2.858,2026-04-07T12:20:00-04:00,2412,7409.66,999.95,0.2,28,2026-04-07T15:15:00-04:00,2.657428,STOP_LOSS,-999.95,50.0,-1049.95,-14.17,-1.05
WORST,6,combined_all,commodities,NGF,2026-04-14,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-14T09:15:00-04:00,2026-04-14T09:20:00-04:00,2.848,2.642,2026-04-13T13:20:00-04:00,2.618476,order_block_low,3.307048,2.0,0.007071,2.627,2.619,2026-04-13T14:30:00-04:00,2328,6630.14,999.93,0.2,6,2026-04-14T09:45:00-04:00,2.418476,STOP_LOSS,-999.93,50.0,-1049.93,-15.8357,-1.05
WORST,7,combined_all,commodities,HGF,2026-04-15,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-04-15T09:15:00-04:00,2026-04-15T09:20:00-04:00,6.2955,6.09,2026-04-14T13:40:00-04:00,6.076784,order_block_low,6.732931,2.0,0.003536,6.083,6.078,2026-04-14T14:20:00-04:00,2388,15033.65,999.89,0.2,4,2026-04-15T09:35:00-04:00,5.876784,STOP_LOSS,-999.89,50.0,-1049.89,-6.9836,-1.05
WORST,8,combined_all,commodities,SIF,2026-04-24,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-24T11:00:00-04:00,2026-04-24T11:05:00-04:00,75.530003,75.785004,2026-04-24T10:25:00-04:00,76.150229,order_block_high,74.289552,2.0,0.212858,76.135002,75.985001,2026-04-24T10:40:00-04:00,1219,92071.07,999.86,0.2,9,2026-04-24T11:45:00-04:00,76.350229,STOP_LOSS,-999.86,50.0,-1049.86,-1.1403,-1.05
WORST,9,combined_all,commodities,HGF,2026-04-13,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-13T09:15:00-04:00,2026-04-13T09:20:00-04:00,5.669,5.8715,2026-04-10T14:45:00-04:00,5.882676,order_block_high,5.241648,2.0,0.003964,5.8815,5.8765,2026-04-10T15:20:00-04:00,2417,13701.97,999.86,0.2,6,2026-04-13T09:45:00-04:00,6.082676,STOP_LOSS,-999.85,50.0,-1049.85,-7.6621,-1.05
WORST,10,combined_all,commodities,CLF,2026-03-31,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-03-31T12:30:00-04:00,2026-03-31T12:35:00-04:00,105.000003,104.779999,2026-03-31T11:30:00-04:00,103.9792,order_block_low,107.041609,2.0,0.432858,104.5,104.0,2026-03-31T11:50:00-04:00,819,85995.0,999.84,0.2,1,2026-03-31T12:35:00-04:00,103.7792,STOP_LOSS,-999.84,50.0,-1049.84,-1.2208,-1.05
