date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,9,2,7,-5622.43,450.0,-6072.43,-6.0724,93927.57,-6072.43,-6.0724
2026-03-31,7,2,5,-3230.2,350.0,-3580.2,-3.8117,90347.37,-9652.63,-9.6526
2026-04-01,45,12,33,-9003.34,2250.0,-11253.34,-12.4556,79094.03,-20905.97,-20.906
2026-04-02,50,18,32,2054.56,2500.0,-445.44,-0.5632,78648.59,-21351.41,-21.3514
2026-04-06,41,14,27,-1014.38,2050.0,-3064.38,-3.8963,75584.21,-24415.79,-24.4158
2026-04-07,49,21,28,-4569.95,2450.0,-7019.95,-9.2876,68564.26,-31435.74,-31.4357
2026-04-08,40,11,29,-5455.71,2000.0,-7455.71,-10.874,61108.55,-38891.45,-38.8914
2026-04-09,42,13,29,-2202.06,2100.0,-4302.06,-7.04,56806.49,-43193.51,-43.1935
2026-04-10,50,14,36,-9546.34,2500.0,-12046.34,-21.2059,44760.15,-55239.85,-55.2398
2026-04-13,57,14,43,-4776.89,2850.0,-7626.89,-17.0395,37133.26,-62866.74,-62.8667
2026-04-14,11,4,7,-4595.38,550.0,-5145.38,-13.8565,31987.88,-68012.12,-68.0121
2026-04-15,44,12,32,-9962.01,2200.0,-12162.01,-38.0207,19825.87,-80174.13,-80.1741
2026-04-16,54,14,40,-11256.73,2700.0,-13956.73,-70.3966,5869.14,-94130.86,-94.1309
2026-04-17,44,12,32,-6093.24,2200.0,-8293.24,-141.3025,-2424.1,-102424.1,-102.4241
2026-04-20,18,8,10,-3871.11,900.0,-4771.11,196.8199,-7195.21,-107195.21,-107.1952
2026-04-21,49,17,32,-6426.94,2450.0,-8876.94,123.3729,-16072.15,-116072.15,-116.0721
2026-04-22,40,16,24,-421.49,2000.0,-2421.49,15.0664,-18493.64,-118493.64,-118.4936
2026-04-23,45,20,25,-4312.58,2250.0,-6562.58,35.4856,-25056.22,-125056.22,-125.0562
2026-04-24,40,11,29,-4685.0,2000.0,-6685.0,26.68,-31741.22,-131741.22,-131.7412
2026-04-27,48,12,36,-8354.16,2400.0,-10754.16,33.8807,-42495.38,-142495.38,-142.4954
2026-04-28,43,16,27,-1357.28,2150.0,-3507.28,8.2533,-46002.66,-146002.66,-146.0027
2026-04-29,20,13,7,7742.71,1000.0,6742.71,-14.6572,-39259.95,-139259.95,-139.2599
