date,trades,wins,losses,gross_pnl,costs,net_pnl,day_return_pct,ending_equity,drawdown,drawdown_pct
2026-03-30,2,0,2,-1066.83,100.0,-1166.83,-1.1668,98833.17,-1166.83,-1.1668
2026-04-01,1,0,1,-700.12,50.0,-750.12,-0.759,98083.05,-1916.95,-1.9169
2026-04-02,3,1,2,-1021.05,150.0,-1171.05,-1.1939,96912.0,-3088.0,-3.088
2026-04-06,8,2,6,97.37,400.0,-302.63,-0.3123,96609.37,-3390.63,-3.3906
2026-04-07,14,6,8,-1389.18,700.0,-2089.18,-2.1625,94520.19,-5479.81,-5.4798
2026-04-08,10,2,8,-2298.99,500.0,-2798.99,-2.9613,91721.2,-8278.8,-8.2788
2026-04-09,8,1,7,-2496.29,400.0,-2896.29,-3.1577,88824.91,-11175.09,-11.1751
2026-04-10,10,5,5,-175.98,500.0,-675.98,-0.761,88148.93,-11851.07,-11.8511
2026-04-13,13,3,10,-3891.97,650.0,-4541.97,-5.1526,83606.96,-16393.04,-16.393
2026-04-14,3,3,0,832.47,150.0,682.47,0.8163,84289.43,-15710.57,-15.7106
2026-04-15,7,2,5,-291.35,350.0,-641.35,-0.7609,83648.08,-16351.92,-16.3519
2026-04-16,15,0,15,-7586.17,750.0,-8336.17,-9.9658,75311.91,-24688.09,-24.6881
2026-04-17,8,2,6,-929.41,400.0,-1329.41,-1.7652,73982.5,-26017.5,-26.0175
2026-04-20,4,2,2,-602.65,200.0,-802.65,-1.0849,73179.85,-26820.15,-26.8201
2026-04-21,10,5,5,691.04,500.0,191.04,0.2611,73370.89,-26629.11,-26.6291
2026-04-22,10,5,5,-324.25,500.0,-824.25,-1.1234,72546.64,-27453.36,-27.4534
2026-04-23,10,7,3,1292.85,500.0,792.85,1.0929,73339.49,-26660.51,-26.6605
2026-04-24,8,4,4,2850.63,400.0,2450.63,3.3415,75790.12,-24209.88,-24.2099
2026-04-27,4,0,4,-2001.66,200.0,-2201.66,-2.9049,73588.46,-26411.54,-26.4115
2026-04-28,12,4,8,-1246.05,600.0,-1846.05,-2.5086,71742.41,-28257.59,-28.2576
2026-04-29,7,4,3,2348.35,350.0,1998.35,2.7855,73740.76,-26259.24,-26.2592
