trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-03-30T13:00:00-04:00,2026-03-30,commodities,HGF,-1031.75,98968.25,-1031.75,-1.0317
2,2026-03-30T13:10:00-04:00,2026-03-30,commodities,GCF,-592.03,98376.22,-1623.78,-1.6238
3,2026-03-30T13:30:00-04:00,2026-03-30,commodities,SIF,-1049.41,97326.81,-2673.19,-2.6732
4,2026-03-30T14:20:00-04:00,2026-03-30,commodities,CLF,-538.52,96788.29,-3211.71,-3.2117
5,2026-03-30T15:05:00-04:00,2026-03-30,commodities,CLF,-1049.08,95739.21,-4260.79,-4.2608
6,2026-03-30T15:20:00-04:00,2026-03-30,commodities,GCF,132.6,95871.81,-4128.19,-4.1282
7,2026-03-30T15:20:00-04:00,2026-03-30,commodities,HGF,-964.76,94907.05,-5092.95,-5.0929
8,2026-03-30T15:20:00-04:00,2026-03-30,commodities,NGF,-992.73,93914.32,-6085.68,-6.0857
9,2026-03-30T15:20:00-04:00,2026-03-30,commodities,SIF,13.25,93927.57,-6072.43,-6.0724
10,2026-03-31T10:50:00-04:00,2026-03-31,commodities,CLF,-1048.3,92879.27,-7120.73,-7.1207
11,2026-03-31T12:35:00-04:00,2026-03-31,commodities,CLF,-1049.84,91829.43,-8170.57,-8.1706
12,2026-03-31T12:40:00-04:00,2026-03-31,commodities,NGF,-1049.53,90779.9,-9220.1,-9.2201
13,2026-03-31T15:20:00-04:00,2026-03-31,commodities,GCF,869.0,91648.9,-8351.1,-8.3511
14,2026-03-31T15:20:00-04:00,2026-03-31,commodities,HGF,-723.52,90925.38,-9074.62,-9.0746
15,2026-03-31T15:20:00-04:00,2026-03-31,commodities,NGF,-974.26,89951.12,-10048.88,-10.0489
16,2026-03-31T15:20:00-04:00,2026-03-31,commodities,SIF,396.25,90347.37,-9652.63,-9.6526
17,2026-04-01T09:45:00-04:00,2026-04-01,commodities,SIF,-1049.36,89298.01,-10701.99,-10.702
18,2026-04-01T11:25:00+05:30,2026-04-01,derivatives,NSEBANK,22.55,89320.56,-10679.44,-10.6794
19,2026-04-01T11:25:00-04:00,2026-04-01,commodities,CLF,-42.32,89278.24,-10721.76,-10.7218
20,2026-04-01T11:25:00-04:00,2026-04-01,commodities,NGF,-791.2,88487.04,-11512.96,-11.513
21,2026-04-01T11:30:00+05:30,2026-04-01,equity,HDFCBANK_NS,-693.2,87793.84,-12206.16,-12.2062
22,2026-04-01T11:30:00+05:30,2026-04-01,equity,SBIN_NS,-203.45,87590.39,-12409.61,-12.4096
23,2026-04-01T11:45:00+05:30,2026-04-01,equity,ICICIBANK_NS,-279.6,87310.79,-12689.21,-12.6892
24,2026-04-01T12:05:00+05:30,2026-04-01,equity,ITC_NS,-747.2,86563.59,-13436.41,-13.4364
25,2026-04-01T12:05:00+05:30,2026-04-01,equity,LT_NS,-779.74,85783.85,-14216.15,-14.2161
26,2026-04-01T12:05:00+05:30,2026-04-01,equity,SBIN_NS,1306.24,87090.09,-12909.91,-12.9099
27,2026-04-01T12:10:00+05:30,2026-04-01,derivatives,CNXAUTO,85.8,87175.89,-12824.11,-12.8241
28,2026-04-01T12:10:00+05:30,2026-04-01,derivatives,CNXFMCG,-357.0,86818.89,-13181.11,-13.1811
29,2026-04-01T12:35:00-04:00,2026-04-01,commodities,NGF,-1049.65,85769.24,-14230.76,-14.2308
30,2026-04-01T12:45:00+05:30,2026-04-01,derivatives,NSEBANK,360.55,86129.79,-13870.21,-13.8702
31,2026-04-01T12:50:00+05:30,2026-04-01,derivatives,NSEI,-375.4,85754.39,-14245.61,-14.2456
32,2026-04-01T13:20:00+05:30,2026-04-01,derivatives,NSEI,-315.85,85438.54,-14561.46,-14.5615
33,2026-04-01T13:30:00+05:30,2026-04-01,equity,INFY_NS,1068.06,86506.6,-13493.4,-13.4934
34,2026-04-01T13:40:00+05:30,2026-04-01,derivatives,CNXFMCG,-607.09,85899.51,-14100.49,-14.1005
35,2026-04-01T13:40:00+05:30,2026-04-01,equity,BHARTIARTL_NS,748.81,86648.32,-13351.68,-13.3517
36,2026-04-01T13:40:00+05:30,2026-04-01,equity,ICICIBANK_NS,-628.56,86019.76,-13980.24,-13.9802
37,2026-04-01T13:40:00+05:30,2026-04-01,equity,ITC_NS,-851.82,85167.94,-14832.06,-14.8321
38,2026-04-01T13:40:00+05:30,2026-04-01,equity,LT_NS,-885.08,84282.86,-15717.14,-15.7171
39,2026-04-01T13:45:00+05:30,2026-04-01,derivatives,CNXAUTO,-342.0,83940.86,-16059.14,-16.0591
40,2026-04-01T13:50:00-04:00,2026-04-01,commodities,CLF,-1049.16,82891.7,-17108.3,-17.1083
41,2026-04-01T14:00:00-04:00,2026-04-01,commodities,GCF,424.0,83315.7,-16684.3,-16.6843
42,2026-04-01T14:00:00-04:00,2026-04-01,commodities,HGF,-930.85,82384.85,-17615.15,-17.6151
43,2026-04-01T14:15:00-04:00,2026-04-01,commodities,SIF,-1049.73,81335.12,-18664.88,-18.6649
44,2026-04-01T14:35:00+05:30,2026-04-01,equity,TCS_NS,1203.81,82538.93,-17461.07,-17.4611
45,2026-04-01T14:40:00+05:30,2026-04-01,equity,HDFCBANK_NS,-262.8,82276.13,-17723.87,-17.7239
46,2026-04-01T15:00:00+05:30,2026-04-01,derivatives,CNXFMCG,-512.55,81763.58,-18236.42,-18.2364
47,2026-04-01T15:15:00+05:30,2026-04-01,equity,INFY_NS,-483.34,81280.24,-18719.76,-18.7198
48,2026-04-01T15:20:00+05:30,2026-04-01,derivatives,CNXAUTO,257.8,81538.04,-18461.96,-18.462
49,2026-04-01T15:20:00+05:30,2026-04-01,derivatives,CNXIT,598.3,82136.34,-17863.66,-17.8637
50,2026-04-01T15:20:00+05:30,2026-04-01,derivatives,NSEBANK,-97.2,82039.14,-17960.86,-17.9609
51,2026-04-01T15:20:00+05:30,2026-04-01,derivatives,NSEI,-260.4,81778.74,-18221.26,-18.2213
52,2026-04-01T15:20:00+05:30,2026-04-01,equity,BHARTIARTL_NS,-363.6,81415.14,-18584.86,-18.5849
53,2026-04-01T15:20:00+05:30,2026-04-01,equity,HDFCBANK_NS,204.6,81619.74,-18380.26,-18.3803
54,2026-04-01T15:20:00+05:30,2026-04-01,equity,ITC_NS,-238.65,81381.09,-18618.91,-18.6189
55,2026-04-01T15:20:00+05:30,2026-04-01,equity,KOTAKBANK_NS,-127.2,81253.89,-18746.11,-18.7461
56,2026-04-01T15:20:00+05:30,2026-04-01,equity,LT_NS,-149.9,81103.99,-18896.01,-18.896
57,2026-04-01T15:20:00+05:30,2026-04-01,equity,RELIANCE_NS,-93.2,81010.79,-18989.21,-18.9892
58,2026-04-01T15:20:00+05:30,2026-04-01,equity,RELIANCE_NS,-179.59,80831.2,-19168.8,-19.1688
59,2026-04-01T15:20:00-04:00,2026-04-01,commodities,GCF,210.0,81041.2,-18958.8,-18.9588
60,2026-04-01T15:20:00-04:00,2026-04-01,commodities,HGF,-966.6,80074.6,-19925.4,-19.9254
61,2026-04-01T15:20:00-04:00,2026-04-01,commodities,NGF,-980.57,79094.03,-20905.97,-20.906
62,2026-04-02T09:40:00+05:30,2026-04-02,equity,TCS_NS,-963.58,78130.45,-21869.55,-21.8695
63,2026-04-02T10:15:00+05:30,2026-04-02,equity,ITC_NS,-332.45,77798.0,-22202.0,-22.202
64,2026-04-02T10:35:00+05:30,2026-04-02,derivatives,CNXFMCG,-264.3,77533.7,-22466.3,-22.4663
65,2026-04-02T10:35:00-04:00,2026-04-02,commodities,NGF,-1043.74,76489.96,-23510.04,-23.51
66,2026-04-02T11:00:00+05:30,2026-04-02,derivatives,CNXIT,-796.85,75693.11,-24306.89,-24.3069
67,2026-04-02T11:20:00+05:30,2026-04-02,equity,LT_NS,-35.6,75657.51,-24342.49,-24.3425
68,2026-04-02T11:35:00+05:30,2026-04-02,derivatives,CNXFMCG,-232.8,75424.71,-24575.29,-24.5753
69,2026-04-02T11:40:00+05:30,2026-04-02,equity,SBIN_NS,-82.9,75341.81,-24658.19,-24.6582
70,2026-04-02T11:55:00+05:30,2026-04-02,derivatives,CNXAUTO,-93.05,75248.76,-24751.24,-24.7512
71,2026-04-02T12:00:00+05:30,2026-04-02,derivatives,NSEBANK,-458.7,74790.06,-25209.94,-25.2099
72,2026-04-02T12:00:00+05:30,2026-04-02,derivatives,NSEI,-172.4,74617.66,-25382.34,-25.3823
73,2026-04-02T12:00:00+05:30,2026-04-02,equity,HDFCBANK_NS,-404.75,74212.91,-25787.09,-25.7871
74,2026-04-02T12:00:00+05:30,2026-04-02,equity,KOTAKBANK_NS,-269.3,73943.61,-26056.39,-26.0564
75,2026-04-02T12:05:00+05:30,2026-04-02,derivatives,NSEBANK,-197.42,73746.19,-26253.81,-26.2538
76,2026-04-02T12:05:00+05:30,2026-04-02,equity,RELIANCE_NS,327.3,74073.49,-25926.51,-25.9265
77,2026-04-02T12:30:00+05:30,2026-04-02,derivatives,CNXFMCG,-219.2,73854.29,-26145.71,-26.1457
78,2026-04-02T12:35:00+05:30,2026-04-02,equity,ITC_NS,849.71,74704.0,-25296.0,-25.296
79,2026-04-02T12:35:00+05:30,2026-04-02,equity,LT_NS,873.73,75577.73,-24422.27,-24.4223
80,2026-04-02T12:35:00+05:30,2026-04-02,equity,SBIN_NS,635.95,76213.68,-23786.32,-23.7863
81,2026-04-02T12:45:00-04:00,2026-04-02,commodities,SIF,-513.43,75700.25,-24299.75,-24.2997
82,2026-04-02T12:55:00-04:00,2026-04-02,commodities,CLF,-234.6,75465.65,-24534.35,-24.5343
83,2026-04-02T13:10:00+05:30,2026-04-02,equity,INFY_NS,-702.1,74763.55,-25236.45,-25.2364
84,2026-04-02T13:25:00+05:30,2026-04-02,derivatives,CNXAUTO,860.9,75624.45,-24375.55,-24.3755
