trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-03-30T15:20:00-04:00,2026-03-30,commodities,HGF,-946.64,99053.36,-946.64,-0.9466
2,2026-03-30T15:20:00-04:00,2026-03-30,commodities,SIF,-220.19,98833.17,-1166.83,-1.1668
3,2026-04-01T15:20:00-04:00,2026-04-01,commodities,NGF,-750.12,98083.05,-1916.95,-1.9169
4,2026-04-02T15:05:00+05:30,2026-04-02,equity,HDFCBANK_NS,-1036.85,97046.2,-2953.8,-2.9538
5,2026-04-02T15:20:00+05:30,2026-04-02,derivatives,CNXIT,57.5,97103.7,-2896.3,-2.8963
6,2026-04-02T15:20:00-04:00,2026-04-02,commodities,CLF,-191.7,96912.0,-3088.0,-3.088
7,2026-04-06T15:20:00+05:30,2026-04-06,derivatives,CNXAUTO,-33.8,96878.2,-3121.8,-3.1218
8,2026-04-06T15:20:00+05:30,2026-04-06,equity,ITC_NS,17.25,96895.45,-3104.55,-3.1046
9,2026-04-06T15:20:00+05:30,2026-04-06,equity,KOTAKBANK_NS,-15.7,96879.75,-3120.25,-3.1202
10,2026-04-06T15:20:00+05:30,2026-04-06,equity,RELIANCE_NS,508.0,97387.75,-2612.25,-2.6122
11,2026-04-06T15:20:00+05:30,2026-04-06,equity,SBIN_NS,-111.05,97276.7,-2723.3,-2.7233
12,2026-04-06T15:20:00+05:30,2026-04-06,equity,TCS_NS,-44.0,97232.7,-2767.3,-2.7673
13,2026-04-06T15:20:00-04:00,2026-04-06,commodities,CLF,-255.32,96977.38,-3022.62,-3.0226
14,2026-04-06T15:20:00-04:00,2026-04-06,commodities,SIF,-368.01,96609.37,-3390.63,-3.3906
15,2026-04-07T09:30:00+05:30,2026-04-07,equity,INFY_NS,-1045.82,95563.55,-4436.45,-4.4365
16,2026-04-07T15:00:00+05:30,2026-04-07,derivatives,CNXAUTO,-567.18,94996.37,-5003.63,-5.0036
17,2026-04-07T15:20:00+05:30,2026-04-07,derivatives,CNXIT,1039.0,96035.37,-3964.63,-3.9646
18,2026-04-07T15:20:00+05:30,2026-04-07,derivatives,NSEBANK,-70.85,95964.52,-4035.48,-4.0355
19,2026-04-07T15:20:00+05:30,2026-04-07,derivatives,NSEI,283.6,96248.12,-3751.88,-3.7519
20,2026-04-07T15:20:00+05:30,2026-04-07,equity,BHARTIARTL_NS,388.0,96636.12,-3363.88,-3.3639
21,2026-04-07T15:20:00+05:30,2026-04-07,equity,HDFCBANK_NS,-151.25,96484.87,-3515.13,-3.5151
22,2026-04-07T15:20:00+05:30,2026-04-07,equity,ICICIBANK_NS,484.1,96968.97,-3031.03,-3.031
23,2026-04-07T15:20:00+05:30,2026-04-07,equity,INFY_NS,745.8,97714.77,-2285.23,-2.2852
24,2026-04-07T15:20:00+05:30,2026-04-07,equity,KOTAKBANK_NS,164.5,97879.27,-2120.73,-2.1207
25,2026-04-07T15:20:00-04:00,2026-04-07,commodities,GCF,-1031.52,96847.75,-3152.25,-3.1522
26,2026-04-07T15:20:00-04:00,2026-04-07,commodities,HGF,-918.54,95929.21,-4070.79,-4.0708
27,2026-04-07T15:20:00-04:00,2026-04-07,commodities,NGF,-919.73,95009.48,-4990.52,-4.9905
28,2026-04-07T15:20:00-04:00,2026-04-07,commodities,SIF,-489.29,94520.19,-5479.81,-5.4798
29,2026-04-08T15:20:00+05:30,2026-04-08,equity,HDFCBANK_NS,5.9,94526.09,-5473.91,-5.4739
30,2026-04-08T15:20:00+05:30,2026-04-08,equity,KOTAKBANK_NS,-111.5,94414.59,-5585.41,-5.5854
31,2026-04-08T15:20:00+05:30,2026-04-08,equity,LT_NS,-35.2,94379.39,-5620.61,-5.6206
32,2026-04-08T15:20:00+05:30,2026-04-08,equity,RELIANCE_NS,264.6,94643.99,-5356.01,-5.356
33,2026-04-08T15:20:00+05:30,2026-04-08,equity,SBIN_NS,-207.6,94436.39,-5563.61,-5.5636
34,2026-04-08T15:20:00-04:00,2026-04-08,commodities,CLF,-231.35,94205.04,-5794.96,-5.795
35,2026-04-08T15:20:00-04:00,2026-04-08,commodities,GCF,-480.5,93724.54,-6275.46,-6.2755
36,2026-04-08T15:20:00-04:00,2026-04-08,commodities,HGF,-712.61,93011.93,-6988.07,-6.9881
37,2026-04-08T15:20:00-04:00,2026-04-08,commodities,NGF,-779.12,92232.81,-7767.19,-7.7672
38,2026-04-08T15:20:00-04:00,2026-04-08,commodities,SIF,-511.61,91721.2,-8278.8,-8.2788
39,2026-04-09T12:50:00+05:30,2026-04-09,derivatives,CNXIT,-962.64,90758.56,-9241.44,-9.2414
40,2026-04-09T15:20:00+05:30,2026-04-09,derivatives,CNXAUTO,-515.6,90242.96,-9757.04,-9.757
41,2026-04-09T15:20:00+05:30,2026-04-09,derivatives,CNXIT,-38.25,90204.71,-9795.29,-9.7953
42,2026-04-09T15:20:00+05:30,2026-04-09,equity,BHARTIARTL_NS,-675.1,89529.61,-10470.39,-10.4704
43,2026-04-09T15:20:00+05:30,2026-04-09,equity,INFY_NS,-403.5,89126.11,-10873.89,-10.8739
44,2026-04-09T15:20:00+05:30,2026-04-09,equity,ITC_NS,-314.0,88812.11,-11187.89,-11.1879
45,2026-04-09T15:20:00+05:30,2026-04-09,equity,KOTAKBANK_NS,-101.0,88711.11,-11288.89,-11.2889
46,2026-04-09T15:20:00+05:30,2026-04-09,equity,TCS_NS,113.8,88824.91,-11175.09,-11.1751
47,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,CNXFMCG,104.4,88929.31,-11070.69,-11.0707
48,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,CNXIT,24.85,88954.16,-11045.84,-11.0458
49,2026-04-10T15:20:00+05:30,2026-04-10,derivatives,NSEI,-43.0,88911.16,-11088.84,-11.0888
50,2026-04-10T15:20:00+05:30,2026-04-10,equity,BHARTIARTL_NS,-137.4,88773.76,-11226.24,-11.2262
51,2026-04-10T15:20:00+05:30,2026-04-10,equity,ICICIBANK_NS,112.5,88886.26,-11113.74,-11.1137
52,2026-04-10T15:20:00+05:30,2026-04-10,equity,INFY_NS,489.0,89375.26,-10624.74,-10.6247
53,2026-04-10T15:20:00+05:30,2026-04-10,equity,ITC_NS,-350.2,89025.06,-10974.94,-10.9749
54,2026-04-10T15:20:00+05:30,2026-04-10,equity,RELIANCE_NS,-217.9,88807.16,-11192.84,-11.1928
55,2026-04-10T15:20:00+05:30,2026-04-10,equity,TCS_NS,127.8,88934.96,-11065.04,-11.065
56,2026-04-10T15:20:00-04:00,2026-04-10,commodities,HGF,-786.03,88148.93,-11851.07,-11.8511
57,2026-04-13T11:45:00+05:30,2026-04-13,equity,BHARTIARTL_NS,-1028.3,87120.63,-12879.37,-12.8794
58,2026-04-13T13:30:00+05:30,2026-04-13,equity,LT_NS,-987.54,86133.09,-13866.91,-13.8669
59,2026-04-13T15:20:00+05:30,2026-04-13,derivatives,CNXFMCG,-308.75,85824.34,-14175.66,-14.1757
60,2026-04-13T15:20:00+05:30,2026-04-13,derivatives,NSEI,-302.25,85522.09,-14477.91,-14.4779
61,2026-04-13T15:20:00+05:30,2026-04-13,equity,HDFCBANK_NS,-171.0,85351.09,-14648.91,-14.6489
62,2026-04-13T15:20:00+05:30,2026-04-13,equity,ICICIBANK_NS,793.6,86144.69,-13855.31,-13.8553
63,2026-04-13T15:20:00+05:30,2026-04-13,equity,KOTAKBANK_NS,-496.9,85647.79,-14352.21,-14.3522
64,2026-04-13T15:20:00+05:30,2026-04-13,equity,LT_NS,-167.0,85480.79,-14519.21,-14.5192
65,2026-04-13T15:20:00+05:30,2026-04-13,equity,RELIANCE_NS,17.5,85498.29,-14501.71,-14.5017
66,2026-04-13T15:20:00+05:30,2026-04-13,equity,SBIN_NS,-789.5,84708.79,-15291.21,-15.2912
67,2026-04-13T15:20:00+05:30,2026-04-13,equity,TCS_NS,414.6,85123.39,-14876.61,-14.8766
68,2026-04-13T15:20:00-04:00,2026-04-13,commodities,CLF,-770.48,84352.91,-15647.09,-15.6471
