market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,47,12,35,25.53,-17269.49,-367.44,1579.67,-1049.84,0.2671
commodities,GCF,49,21,28,42.86,-2270.38,-46.33,869.0,-598.87,0.7325
commodities,HGF,48,0,48,0.0,-46276.78,-964.1,-722.15,-1049.99,0.0
commodities,NGF,46,0,46,0.0,-45021.22,-978.72,-779.12,-1049.95,0.0
commodities,SIF,45,10,35,22.22,-18270.4,-406.01,1317.93,-1049.86,0.1764
derivatives,CNXAUTO,46,13,33,28.26,-4259.24,-92.59,860.9,-947.4,0.5517
derivatives,CNXFMCG,41,13,28,31.71,-2477.39,-60.42,857.0,-905.27,0.6878
derivatives,CNXIT,37,16,21,43.24,-573.51,-15.5,1749.28,-796.85,0.9255
derivatives,NSEBANK,39,17,22,43.59,353.74,9.07,647.24,-458.7,1.081
derivatives,NSEI,47,12,35,25.53,-4139.71,-88.08,1083.27,-652.8,0.5603
equity,BHARTIARTL_NS,38,17,21,44.74,3057.16,80.45,1478.79,-827.6,1.4351
equity,HDFCBANK_NS,46,16,30,34.78,-2393.91,-52.04,1865.85,-886.55,0.8062
equity,ICICIBANK_NS,35,17,18,48.57,3728.54,106.53,1678.66,-1047.78,1.3968
equity,INFY_NS,43,15,28,34.88,-4498.91,-104.63,1068.06,-1045.82,0.5712
equity,ITC_NS,34,10,24,29.41,-2946.01,-86.65,1313.25,-851.82,0.6374
equity,KOTAKBANK_NS,39,14,25,35.9,1560.07,40.0,1681.61,-1005.09,1.182
equity,LT_NS,47,17,30,36.17,-3596.43,-76.52,1646.55,-977.65,0.723
equity,RELIANCE_NS,38,17,21,44.74,1653.4,43.51,1868.81,-646.63,1.2742
equity,SBIN_NS,41,18,23,43.9,1679.11,40.95,1306.24,-1042.62,1.1895
equity,TCS_NS,40,21,19,52.5,2701.41,67.54,1636.4,-963.58,1.3515
