market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,45,12,33,26.67,-16669.74,-370.44,1579.67,-1049.84,0.2741
commodities,GCF,47,21,26,44.68,-1596.58,-33.97,869.0,-598.87,0.7956
commodities,HGF,47,0,47,0.0,-46107.85,-981.02,-723.52,-1049.99,0.0
commodities,NGF,46,0,46,0.0,-45424.51,-987.49,-845.29,-1049.95,0.0
commodities,SIF,43,10,33,23.26,-17873.9,-415.67,1317.93,-1049.86,0.1817
derivatives,CNXAUTO,45,13,32,28.89,-3764.49,-83.66,860.9,-968.25,0.582
derivatives,CNXFMCG,41,13,28,31.71,-2045.24,-49.88,1090.0,-905.27,0.7423
derivatives,CNXIT,36,15,21,41.67,-1476.86,-41.02,1749.28,-796.85,0.802
derivatives,NSEBANK,40,18,22,45.0,409.99,10.25,647.24,-458.7,1.0944
derivatives,NSEI,47,11,36,23.4,-3981.33,-84.71,1083.27,-652.8,0.5667
equity,BHARTIARTL_NS,38,17,21,44.74,2454.65,64.6,1478.79,-892.4,1.3218
equity,HDFCBANK_NS,43,16,27,37.21,-43.81,-1.02,1865.85,-717.68,0.9957
equity,ICICIBANK_NS,33,16,17,48.48,3982.27,120.67,1678.66,-1047.78,1.4524
equity,INFY_NS,41,14,27,34.15,-4479.23,-109.25,1068.06,-804.0,0.556
equity,ITC_NS,34,10,24,29.41,-2885.95,-84.88,1777.58,-851.82,0.6616
equity,KOTAKBANK_NS,38,14,24,36.84,1431.15,37.66,1681.61,-1005.09,1.163
equity,LT_NS,47,17,30,36.17,-3680.83,-78.32,1646.55,-977.65,0.7183
equity,RELIANCE_NS,39,17,22,43.59,2065.19,52.95,1868.81,-646.63,1.3347
equity,SBIN_NS,40,17,23,42.5,518.59,12.96,1306.24,-1042.62,1.052
equity,TCS_NS,40,20,20,50.0,2612.84,65.32,1900.43,-963.58,1.3221
