market,instrument,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,best_trade,worst_trade,profit_factor
commodities,CLF,9,1,8,11.11,-2004.33,-222.7,293.2,-770.48,0.1276
commodities,GCF,8,2,6,25.0,-1243.52,-155.44,847.6,-1031.52,0.4738
commodities,HGF,11,0,11,0.0,-9371.8,-851.98,-712.61,-966.83,0.0
commodities,NGF,7,0,7,0.0,-5984.2,-854.89,-750.12,-941.25,0.0
commodities,SIF,10,2,8,20.0,-2194.1,-219.41,382.62,-511.61,0.1855
derivatives,CNXAUTO,7,0,7,0.0,-1653.03,-236.15,-17.9,-567.18,0.0
derivatives,CNXFMCG,6,3,3,50.0,950.45,158.41,812.25,-308.75,3.6575
derivatives,CNXIT,9,4,5,44.44,-649.63,-72.18,1039.0,-962.64,0.6786
derivatives,NSEBANK,4,2,2,50.0,-213.12,-53.28,319.4,-754.57,0.7418
derivatives,NSEI,9,5,4,55.56,79.61,8.85,751.0,-974.54,1.0574
equity,BHARTIARTL_NS,8,2,6,25.0,-1394.5,-174.31,449.2,-1028.3,0.3751
equity,HDFCBANK_NS,10,4,6,40.0,-2766.84,-276.68,385.6,-1049.71,0.2341
equity,ICICIBANK_NS,8,5,3,62.5,355.3,44.41,793.6,-809.5,1.2008
equity,INFY_NS,8,3,5,37.5,-1359.06,-169.88,745.8,-1045.82,0.5128
equity,ITC_NS,9,4,5,44.44,532.81,59.2,1313.25,-492.79,1.365
equity,KOTAKBANK_NS,11,3,8,27.27,-1836.2,-166.93,236.5,-855.8,0.2297
equity,LT_NS,7,2,5,28.57,-1325.24,-189.32,255.2,-987.54,0.2499
equity,RELIANCE_NS,8,6,2,75.0,1401.1,175.14,508.0,-217.9,4.9815
equity,SBIN_NS,10,3,7,30.0,-878.74,-87.87,520.6,-789.5,0.5151
equity,TCS_NS,8,7,1,87.5,3295.8,411.98,1702.7,-44.0,75.9045
