variant,market,instrument,session_date,signal,scope,structure_tag,direction,signal_time,entry_time,entry_price,pivot_level,pivot_time,stop_price,stop_source,target_price,risk_reward,atr_at_signal,order_block_high,order_block_low,order_block_time,quantity,notional,position_risk_amount,slippage_points,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
combined_all,commodities,CLF,2026-03-30,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-03-30T11:55:00-04:00,2026-03-30T12:00:00-04:00,103.159999,102.699997,2026-03-30T11:20:00-04:00,101.4797,order_block_low,106.520597,2.0,0.445714,102.050003,101.5,2026-03-30T11:40:00-04:00,531,54777.96,998.44,0.2,28,2026-03-30T14:20:00-04:00,102.240002,OPPOSITE_STRUCTURE,-488.52,50.0,-538.52,-0.9831,-0.5394
combined_all,commodities,CLF,2026-03-30,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-03-30T14:15:00-04:00,2026-03-30T14:20:00-04:00,102.240002,102.459999,2026-03-30T12:40:00-04:00,103.750749,order_block_high,99.218509,2.0,0.369286,103.730003,103.330002,2026-03-30T13:30:00-04:00,584,59708.16,999.08,0.2,10,2026-03-30T15:05:00-04:00,103.950749,STOP_LOSS,-999.08,50.0,-1049.08,-1.757,-1.05
combined_all,commodities,CLF,2026-03-31,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-03-31T10:10:00-04:00,2026-03-31T10:15:00-04:00,101.990002,102.349998,2026-03-30T14:20:00-04:00,104.230841,order_block_high,97.508325,2.0,0.552858,104.209999,103.75,2026-03-30T15:10:00-04:00,409,41713.91,998.3,0.2,8,2026-03-31T10:50:00-04:00,104.430841,STOP_LOSS,-998.3,50.0,-1048.3,-2.5131,-1.0501
combined_all,commodities,CLF,2026-03-31,INTERNAL_BULLISH_BOS,internal,BOS,LONG,2026-03-31T12:30:00-04:00,2026-03-31T12:35:00-04:00,105.000003,104.779999,2026-03-31T11:30:00-04:00,103.9792,order_block_low,107.041609,2.0,0.432858,104.5,104.0,2026-03-31T11:50:00-04:00,819,85995.0,999.84,0.2,1,2026-03-31T12:35:00-04:00,103.7792,STOP_LOSS,-999.84,50.0,-1049.84,-1.2208,-1.05
combined_all,commodities,CLF,2026-04-01,INTERNAL_BEARISH_BOS,internal,BOS,SHORT,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,100.12,100.800003,2026-03-31T14:30:00-04:00,102.5205,order_block_high,95.318999,2.0,0.63,102.5,102.209999,2026-03-31T15:05:00-04:00,384,38446.08,998.59,0.2,25,2026-04-01T11:25:00-04:00,100.100002,OPPOSITE_STRUCTURE,7.68,50.0,-42.32,-0.1101,-0.0424
combined_all,commodities,CLF,2026-04-01,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-01T11:20:00-04:00,2026-04-01T11:25:00-04:00,100.100002,99.580002,2026-04-01T10:40:00-04:00,98.580278,order_block_low,103.139448,2.0,0.566428,99.089996,98.599998,2026-04-01T10:50:00-04:00,581,58158.1,999.16,0.2,30,2026-04-01T13:50:00-04:00,98.380278,STOP_LOSS,-999.16,50.0,-1049.16,-1.804,-1.05
combined_all,commodities,CLF,2026-04-02,SWING_BULLISH_BOS,swing,BOS,LONG,2026-04-02T09:15:00-04:00,2026-04-02T09:20:00-04:00,113.299998,105.040001,2026-03-31T12:35:00-04:00,98.210357,order_block_low,143.479281,2.0,1.265,99.260002,98.230003,2026-04-01T10:30:00-04:00,65,7364.5,993.83,0.2,43,2026-04-02T12:55:00-04:00,110.460004,OPPOSITE_STRUCTURE,-184.6,50.0,-234.6,-3.1855,-0.2361
combined_all,commodities,CLF,2026-04-02,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-02T12:50:00-04:00,2026-04-02T12:55:00-04:00,110.460004,110.760002,2026-04-02T12:00:00-04:00,112.182436,order_block_high,107.01514,2.0,0.638572,112.160004,111.790001,2026-04-02T12:20:00-04:00,520,57439.2,999.66,0.2,16,2026-04-02T14:10:00-04:00,112.382436,STOP_LOSS,-999.66,50.0,-1049.66,-1.8274,-1.05
combined_all,commodities,CLF,2026-04-06,INTERNAL_BULLISH_CHoCH,internal,CHoCH,LONG,2026-04-06T09:35:00-04:00,2026-04-06T09:40:00-04:00,112.909999,112.300003,2026-04-02T14:25:00-04:00,110.747843,order_block_low,117.234312,2.0,0.496429,111.300003,110.769997,2026-04-02T15:00:00-04:00,423,47760.93,999.19,0.2,9,2026-04-06T10:20:00-04:00,110.547843,STOP_LOSS,-999.19,50.0,-1049.19,-2.1968,-1.05
combined_all,commodities,CLF,2026-04-06,INTERNAL_BEARISH_CHoCH,internal,CHoCH,SHORT,2026-04-06T10:30:00-04:00,2026-04-06T10:35:00-04:00,110.55,110.769997,2026-04-02T15:00:00-04:00,113.162627,order_block_high,105.324745,2.0,0.692857,113.139999,111.93,2026-04-06T09:35:00-04:00,355,39245.25,998.48,0.2,30,2026-04-06T13:05:00-04:00,112.939998,OPPOSITE_STRUCTURE,-848.45,50.0,-898.45,-2.2893,-0.8998
